address,round(avg(available_bikes)),HOUR,DOW,last_update
"Merrion Square West",8,6,Thursday,"2018-03-29 06:04:27"
"Merrion Square West",10,7,Thursday,"2018-03-29 07:05:22"
"Merrion Square West",19,8,Thursday,"2018-03-29 08:03:27"
"Merrion Square West",19,9,Thursday,"2018-03-29 09:03:06"
"Merrion Square West",18,10,Thursday,"2018-03-29 10:03:40"
"Merrion Square West",19,11,Thursday,"2018-03-29 11:07:40"
"Merrion Square West",18,12,Thursday,"2018-03-29 12:01:24"
"Merrion Square West",18,13,Thursday,"2018-03-29 13:01:36"
"Merrion Square West",19,14,Thursday,"2018-03-29 14:02:19"
"Merrion Square West",19,15,Thursday,"2018-03-29 15:07:16"
"Merrion Square West",17,16,Thursday,"2018-03-29 16:05:50"
"Merrion Square West",12,17,Thursday,"2018-03-29 17:02:25"
"Merrion Square West",11,18,Thursday,"2018-03-29 18:00:50"
"Merrion Square West",11,19,Thursday,"2018-03-29 19:01:07"
"Merrion Square West",8,20,Thursday,"2018-03-29 20:08:14"
"Merrion Square West",8,21,Thursday,"2018-03-29 21:00:23"
"Merrion Square West",6,22,Thursday,"2018-03-29 22:02:19"
"Merrion Square West",3,23,Thursday,"2018-03-29 23:01:25"
"Merrion Square West",6,6,Friday,"2018-03-30 06:03:51"
"Merrion Square West",8,7,Friday,"2018-03-30 07:02:17"
"Merrion Square West",15,8,Friday,"2018-03-30 08:11:23"
"Merrion Square West",16,9,Friday,"2018-03-30 09:10:37"
"Merrion Square West",15,10,Friday,"2018-03-30 10:06:59"
"Merrion Square West",17,11,Friday,"2018-03-30 11:02:23"
"Merrion Square West",20,12,Friday,"2018-03-30 12:03:01"
"Merrion Square West",20,13,Friday,"2018-03-30 13:09:47"
"Merrion Square West",20,14,Friday,"2018-03-30 14:09:07"
"Merrion Square West",19,15,Friday,"2018-03-30 15:09:42"
"Merrion Square West",19,16,Friday,"2018-03-30 16:05:20"
"Merrion Square West",19,17,Friday,"2018-03-30 17:03:42"
"Merrion Square West",19,18,Friday,"2018-03-30 18:02:23"
"Merrion Square West",20,19,Friday,"2018-03-30 19:09:26"
"Merrion Square West",19,20,Friday,"2018-03-30 20:03:02"
"Merrion Square West",18,21,Friday,"2018-03-30 21:06:33"
