address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Molesworth Street,6,6,Thursday,29/03/2018 06:07,0
Molesworth Street,9,7,Thursday,29/03/2018 07:05,0
Molesworth Street,16,8,Thursday,29/03/2018 08:00,0
Molesworth Street,19,9,Thursday,29/03/2018 09:03,0
Molesworth Street,19,10,Thursday,29/03/2018 10:00,0
Molesworth Street,19,11,Thursday,29/03/2018 11:05,10
Molesworth Street,18,12,Thursday,29/03/2018 12:00,30
Molesworth Street,15,13,Thursday,29/03/2018 13:01,30
Molesworth Street,10,14,Thursday,29/03/2018 14:05,45
Molesworth Street,6,15,Thursday,29/03/2018 15:00,40
Molesworth Street,4,16,Thursday,29/03/2018 16:02,30
Molesworth Street,1,17,Thursday,29/03/2018 17:04,30
Molesworth Street,1,18,Thursday,29/03/2018 18:03,30
Molesworth Street,1,19,Thursday,29/03/2018 19:06,40
Molesworth Street,1,20,Thursday,29/03/2018 20:07,30
Molesworth Street,1,21,Thursday,29/03/2018 21:02,25
Molesworth Street,0,22,Thursday,29/03/2018 22:06,30
Molesworth Street,0,23,Thursday,29/03/2018 23:08,40
Molesworth Street,6,6,Friday,30/03/2018 06:06,0
Molesworth Street,10,7,Friday,30/03/2018 07:01,0
Molesworth Street,17,8,Friday,30/03/2018 08:01,0
Molesworth Street,19,9,Friday,30/03/2018 09:03,0
Molesworth Street,19,10,Friday,30/03/2018 10:04,20
Molesworth Street,18,11,Friday,30/03/2018 11:00,20
Molesworth Street,18,12,Friday,30/03/2018 12:02,20
Molesworth Street,15,13,Friday,30/03/2018 13:07,20
Molesworth Street,14,14,Friday,30/03/2018 14:08,20
Molesworth Street,11,15,Friday,30/03/2018 15:09,0
Molesworth Street,9,16,Friday,30/03/2018 16:06,0
Molesworth Street,11,17,Friday,30/03/2018 17:09,20
Molesworth Street,11,18,Friday,30/03/2018 18:09,0
Molesworth Street,10,19,Friday,30/03/2018 19:03,0
Molesworth Street,9,20,Friday,30/03/2018 20:02,0
Molesworth Street,9,21,Friday,30/03/2018 21:10,0
Molesworth Street,7,22,Friday,30/03/2018 22:00,0
Molesworth Street,2,23,Friday,30/03/2018 23:08,0
Molesworth Street,5,6,Saturday,31/03/2018 06:03,0
Molesworth Street,9,7,Saturday,31/03/2018 07:08,0
Molesworth Street,15,8,Saturday,31/03/2018 08:13,0
Molesworth Street,17,9,Saturday,31/03/2018 09:02,0
Molesworth Street,17,10,Saturday,31/03/2018 10:01,0
Molesworth Street,18,11,Saturday,31/03/2018 11:02,0
Molesworth Street,16,12,Saturday,31/03/2018 12:02,0
Molesworth Street,15,13,Saturday,31/03/2018 13:01,0
Molesworth Street,15,14,Saturday,31/03/2018 14:01,0
Molesworth Street,18,15,Saturday,31/03/2018 15:02,0
Molesworth Street,14,16,Saturday,31/03/2018 16:00,0
Molesworth Street,10,17,Saturday,31/03/2018 17:03,0
Molesworth Street,9,18,Saturday,31/03/2018 18:07,0
Molesworth Street,11,19,Saturday,31/03/2018 19:08,0
Molesworth Street,13,20,Saturday,31/03/2018 20:02,0
Molesworth Street,14,21,Saturday,31/03/2018 21:06,0
Molesworth Street,11,22,Saturday,31/03/2018 22:07,0
Molesworth Street,11,23,Saturday,31/03/2018 23:03,0
Molesworth Street,12,6,Sunday,01/04/2018 06:02,30
Molesworth Street,14,7,Sunday,01/04/2018 07:04,30
