address,round(avg(available_bikes)),HOUR,DOW,last_update
"Molesworth Street",6,6,Thursday,"2018-03-29 06:07:33"
"Molesworth Street",9,7,Thursday,"2018-03-29 07:05:33"
"Molesworth Street",16,8,Thursday,"2018-03-29 08:00:27"
"Molesworth Street",19,9,Thursday,"2018-03-29 09:03:19"
"Molesworth Street",19,10,Thursday,"2018-03-29 10:00:27"
"Molesworth Street",19,11,Thursday,"2018-03-29 11:05:03"
"Molesworth Street",18,12,Thursday,"2018-03-29 12:00:58"
"Molesworth Street",15,13,Thursday,"2018-03-29 13:01:12"
"Molesworth Street",10,14,Thursday,"2018-03-29 14:05:25"
"Molesworth Street",6,15,Thursday,"2018-03-29 15:00:00"
"Molesworth Street",4,16,Thursday,"2018-03-29 16:02:02"
"Molesworth Street",1,17,Thursday,"2018-03-29 17:04:59"
"Molesworth Street",1,18,Thursday,"2018-03-29 18:03:25"
"Molesworth Street",1,19,Thursday,"2018-03-29 19:06:58"
"Molesworth Street",1,20,Thursday,"2018-03-29 20:07:59"
"Molesworth Street",1,21,Thursday,"2018-03-29 21:02:42"
"Molesworth Street",0,22,Thursday,"2018-03-29 22:06:06"
"Molesworth Street",0,23,Thursday,"2018-03-29 23:08:11"
"Molesworth Street",6,6,Friday,"2018-03-30 06:06:17"
"Molesworth Street",10,7,Friday,"2018-03-30 07:01:42"
"Molesworth Street",17,8,Friday,"2018-03-30 08:01:31"
"Molesworth Street",19,9,Friday,"2018-03-30 09:03:35"
"Molesworth Street",19,10,Friday,"2018-03-30 10:04:30"
"Molesworth Street",18,11,Friday,"2018-03-30 11:00:01"
"Molesworth Street",18,12,Friday,"2018-03-30 12:02:12"
"Molesworth Street",15,13,Friday,"2018-03-30 13:07:52"
"Molesworth Street",14,14,Friday,"2018-03-30 14:08:08"
"Molesworth Street",11,15,Friday,"2018-03-30 15:09:48"
"Molesworth Street",9,16,Friday,"2018-03-30 16:06:16"
"Molesworth Street",11,17,Friday,"2018-03-30 17:09:25"
"Molesworth Street",11,18,Friday,"2018-03-30 18:09:10"
"Molesworth Street",10,19,Friday,"2018-03-30 19:03:28"
"Molesworth Street",9,20,Friday,"2018-03-30 20:02:29"
"Molesworth Street",9,21,Friday,"2018-03-30 21:10:00"
"Molesworth Street",7,22,Friday,"2018-03-30 22:00:30"
"Molesworth Street",2,23,Friday,"2018-03-30 23:08:32"
"Molesworth Street",5,6,Saturday,"2018-03-31 06:03:51"
"Molesworth Street",9,7,Saturday,"2018-03-31 07:08:26"
"Molesworth Street",15,8,Saturday,"2018-03-31 08:13:37"
"Molesworth Street",17,9,Saturday,"2018-03-31 09:02:26"
"Molesworth Street",17,10,Saturday,"2018-03-31 10:01:11"
"Molesworth Street",18,11,Saturday,"2018-03-31 11:02:01"
"Molesworth Street",16,12,Saturday,"2018-03-31 12:02:18"
"Molesworth Street",15,13,Saturday,"2018-03-31 13:01:49"
"Molesworth Street",15,14,Saturday,"2018-03-31 14:01:20"
"Molesworth Street",18,15,Saturday,"2018-03-31 15:02:15"
"Molesworth Street",14,16,Saturday,"2018-03-31 16:00:12"
"Molesworth Street",10,17,Saturday,"2018-03-31 17:03:22"
"Molesworth Street",9,18,Saturday,"2018-03-31 18:07:29"
"Molesworth Street",11,19,Saturday,"2018-03-31 19:08:57"
"Molesworth Street",13,20,Saturday,"2018-03-31 20:02:16"
"Molesworth Street",14,21,Saturday,"2018-03-31 21:06:08"
"Molesworth Street",11,22,Saturday,"2018-03-31 22:07:00"
"Molesworth Street",11,23,Saturday,"2018-03-31 23:03:03"
"Molesworth Street",12,6,Sunday,"2018-04-01 06:02:49"
"Molesworth Street",14,7,Sunday,"2018-04-01 07:04:08"
"Molesworth Street",16,8,Sunday,"2018-04-01 08:03:09"
"Molesworth Street",19,9,Sunday,"2018-04-01 09:02:48"
"Molesworth Street",18,10,Sunday,"2018-04-01 10:05:08"
"Molesworth Street",18,11,Sunday,"2018-04-01 11:05:18"
"Molesworth Street",14,12,Sunday,"2018-04-01 12:08:52"
"Molesworth Street",13,13,Sunday,"2018-04-01 13:06:31"
"Molesworth Street",16,14,Sunday,"2018-04-01 14:04:13"
"Molesworth Street",16,15,Sunday,"2018-04-01 15:04:58"
"Molesworth Street",13,16,Sunday,"2018-04-01 16:01:17"
"Molesworth Street",14,17,Sunday,"2018-04-01 17:08:38"
"Molesworth Street",12,18,Sunday,"2018-04-01 18:11:38"
"Molesworth Street",12,19,Sunday,"2018-04-01 19:02:40"
"Molesworth Street",13,20,Sunday,"2018-04-01 20:02:03"
"Molesworth Street",12,21,Sunday,"2018-04-01 21:07:25"
"Molesworth Street",11,22,Sunday,"2018-04-01 22:00:04"
"Molesworth Street",10,23,Sunday,"2018-04-01 23:06:39"
"Molesworth Street",15,6,Monday,"2018-04-02 06:07:33"
"Molesworth Street",14,7,Monday,"2018-04-02 07:02:04"
"Molesworth Street",15,8,Monday,"2018-04-02 08:03:08"
"Molesworth Street",15,9,Monday,"2018-04-02 09:09:00"
"Molesworth Street",13,10,Monday,"2018-04-02 10:01:26"
"Molesworth Street",12,11,Monday,"2018-04-02 11:09:12"
"Molesworth Street",12,12,Monday,"2018-04-02 12:02:45"
"Molesworth Street",14,13,Monday,"2018-04-02 13:05:44"
"Molesworth Street",15,14,Monday,"2018-04-02 14:09:17"
"Molesworth Street",13,15,Monday,"2018-04-02 15:03:06"
"Molesworth Street",14,16,Monday,"2018-04-02 16:10:28"
"Molesworth Street",15,17,Monday,"2018-04-02 17:00:08"
"Molesworth Street",15,18,Monday,"2018-04-02 18:01:14"
"Molesworth Street",14,19,Monday,"2018-04-02 19:04:03"
"Molesworth Street",14,20,Monday,"2018-04-02 20:04:25"
"Molesworth Street",14,21,Monday,"2018-04-02 21:09:37"
"Molesworth Street",12,22,Monday,"2018-04-02 22:05:26"
"Molesworth Street",9,23,Monday,"2018-04-02 23:05:08"
"Molesworth Street",15,6,Tuesday,"2018-04-03 06:00:53"
"Molesworth Street",17,7,Tuesday,"2018-04-03 07:01:17"
"Molesworth Street",20,8,Tuesday,"2018-04-03 08:01:00"
"Molesworth Street",19,9,Tuesday,"2018-04-03 09:01:59"
"Molesworth Street",19,10,Tuesday,"2018-04-03 10:07:54"
"Molesworth Street",18,11,Tuesday,"2018-04-03 11:03:38"
"Molesworth Street",17,12,Tuesday,"2018-04-03 12:01:41"
"Molesworth Street",16,13,Tuesday,"2018-04-03 13:06:47"
"Molesworth Street",18,14,Tuesday,"2018-04-03 14:03:11"
"Molesworth Street",17,15,Tuesday,"2018-04-03 15:03:25"
"Molesworth Street",17,16,Tuesday,"2018-04-03 16:19:36"
"Molesworth Street",18,17,Tuesday,"2018-04-03 17:01:28"
"Molesworth Street",15,18,Tuesday,"2018-04-03 18:02:25"
"Molesworth Street",15,19,Tuesday,"2018-04-03 19:06:05"
"Molesworth Street",13,20,Tuesday,"2018-04-03 20:06:35"
"Molesworth Street",9,21,Tuesday,"2018-04-03 21:01:37"
"Molesworth Street",3,22,Tuesday,"2018-04-03 22:04:27"
"Molesworth Street",0,23,Tuesday,"2018-04-03 23:05:43"
"Molesworth Street",3,6,Wednesday,"2018-04-04 06:02:45"
"Molesworth Street",6,7,Wednesday,"2018-04-04 07:08:36"
"Molesworth Street",10,8,Wednesday,"2018-04-04 08:01:50"
"Molesworth Street",12,9,Wednesday,"2018-04-04 09:09:40"
"Molesworth Street",13,10,Wednesday,"2018-04-04 10:05:48"
"Molesworth Street",11,11,Wednesday,"2018-04-04 11:00:45"
"Molesworth Street",15,12,Wednesday,"2018-04-04 12:03:13"
"Molesworth Street",16,13,Wednesday,"2018-04-04 13:00:09"
"Molesworth Street",12,14,Wednesday,"2018-04-04 14:05:37"
"Molesworth Street",7,15,Wednesday,"2018-04-04 15:04:58"
"Molesworth Street",1,16,Wednesday,"2018-04-04 16:05:02"
"Molesworth Street",0,17,Wednesday,"2018-04-04 17:05:03"
"Molesworth Street",2,18,Wednesday,"2018-04-04 18:01:31"
"Molesworth Street",1,19,Wednesday,"2018-04-04 19:01:06"
"Molesworth Street",0,20,Wednesday,"2018-04-04 20:03:12"
"Molesworth Street",0,21,Wednesday,"2018-04-04 21:06:16"
"Molesworth Street",0,22,Wednesday,"2018-04-04 22:02:44"
"Molesworth Street",0,23,Wednesday,"2018-04-04 23:03:36"
