address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Mount Brown,14,6,Thursday,29/03/2018 06:07,0
Mount Brown,5,7,Thursday,29/03/2018 07:07,0
Mount Brown,0,8,Thursday,29/03/2018 08:01,0
Mount Brown,0,9,Thursday,29/03/2018 09:02,0
Mount Brown,0,10,Thursday,29/03/2018 10:05,0
Mount Brown,0,11,Thursday,29/03/2018 11:06,10
Mount Brown,0,12,Thursday,29/03/2018 12:07,30
Mount Brown,1,13,Thursday,29/03/2018 13:08,30
Mount Brown,2,14,Thursday,29/03/2018 14:08,45
Mount Brown,1,15,Thursday,29/03/2018 15:06,40
Mount Brown,2,16,Thursday,29/03/2018 16:01,30
Mount Brown,5,17,Thursday,29/03/2018 17:02,30
Mount Brown,8,18,Thursday,29/03/2018 18:07,30
Mount Brown,7,19,Thursday,29/03/2018 19:00,40
Mount Brown,9,20,Thursday,29/03/2018 20:06,30
Mount Brown,9,21,Thursday,29/03/2018 21:02,25
Mount Brown,9,22,Thursday,29/03/2018 22:05,30
Mount Brown,7,23,Thursday,29/03/2018 23:08,40
Mount Brown,8,6,Friday,30/03/2018 06:04,0
Mount Brown,7,7,Friday,30/03/2018 07:00,0
Mount Brown,5,8,Friday,30/03/2018 08:10,0
Mount Brown,5,9,Friday,30/03/2018 09:00,0
Mount Brown,3,10,Friday,30/03/2018 10:07,20
Mount Brown,1,11,Friday,30/03/2018 11:04,20
Mount Brown,0,12,Friday,30/03/2018 12:02,20
Mount Brown,1,13,Friday,30/03/2018 13:07,20
Mount Brown,1,14,Friday,30/03/2018 14:01,20
Mount Brown,2,15,Friday,30/03/2018 15:10,0
Mount Brown,2,16,Friday,30/03/2018 16:00,0
Mount Brown,1,17,Friday,30/03/2018 17:07,20
Mount Brown,0,18,Friday,30/03/2018 18:02,0
Mount Brown,2,19,Friday,30/03/2018 19:06,0
Mount Brown,3,20,Friday,30/03/2018 20:08,0
Mount Brown,3,21,Friday,30/03/2018 21:06,0
Mount Brown,4,22,Friday,30/03/2018 22:02,0
Mount Brown,6,23,Friday,30/03/2018 23:03,0
Mount Brown,5,6,Saturday,31/03/2018 06:01,0
Mount Brown,3,7,Saturday,31/03/2018 07:03,0
Mount Brown,2,8,Saturday,31/03/2018 08:08,0
Mount Brown,0,9,Saturday,31/03/2018 09:00,0
Mount Brown,1,10,Saturday,31/03/2018 10:05,0
Mount Brown,1,11,Saturday,31/03/2018 11:07,0
Mount Brown,0,12,Saturday,31/03/2018 12:01,0
Mount Brown,0,13,Saturday,31/03/2018 13:02,0
Mount Brown,0,14,Saturday,31/03/2018 14:07,0
Mount Brown,0,15,Saturday,31/03/2018 15:08,0
Mount Brown,2,16,Saturday,31/03/2018 16:09,0
Mount Brown,4,17,Saturday,31/03/2018 17:08,0
Mount Brown,7,18,Saturday,31/03/2018 18:06,0
Mount Brown,6,19,Saturday,31/03/2018 19:07,0
Mount Brown,7,20,Saturday,31/03/2018 20:05,0
Mount Brown,7,21,Saturday,31/03/2018 21:04,0
Mount Brown,9,22,Saturday,31/03/2018 22:05,0
Mount Brown,9,23,Saturday,31/03/2018 23:09,0
Mount Brown,10,6,Sunday,01/04/2018 06:03,30
Mount Brown,9,7,Sunday,01/04/2018 07:08,30
Mount Brown,9,8,Sunday,01/04/2018 08:02,0
Mount Brown,8,9,Sunday,01/04/2018 09:01,0
Mount Brown,7,10,Sunday,01/04/2018 10:01,0
Mount Brown,7,11,Sunday,01/04/2018 11:05,0
Mount Brown,6,12,Sunday,01/04/2018 12:08,0
Mount Brown,3,13,Sunday,01/04/2018 13:08,0
Mount Brown,1,14,Sunday,01/04/2018 14:02,0
Mount Brown,0,15,Sunday,01/04/2018 15:01,0
Mount Brown,0,16,Sunday,01/04/2018 16:01,0
Mount Brown,0,17,Sunday,01/04/2018 17:02,0
Mount Brown,1,18,Sunday,01/04/2018 18:02,0
Mount Brown,1,19,Sunday,01/04/2018 19:03,0
Mount Brown,1,20,Sunday,01/04/2018 20:06,45
Mount Brown,2,21,Sunday,01/04/2018 21:03,50
Mount Brown,2,22,Sunday,01/04/2018 22:07,50
Mount Brown,2,23,Sunday,01/04/2018 23:08,60
Mount Brown,3,6,Monday,02/04/2018 06:00,70
Mount Brown,3,7,Monday,02/04/2018 07:01,70
Mount Brown,2,8,Monday,02/04/2018 08:05,60
Mount Brown,2,9,Monday,02/04/2018 09:01,70
Mount Brown,2,10,Monday,02/04/2018 10:04,65
Mount Brown,2,11,Monday,02/04/2018 11:05,70
Mount Brown,2,12,Monday,02/04/2018 12:01,70
Mount Brown,2,13,Monday,02/04/2018 13:08,70
Mount Brown,1,14,Monday,02/04/2018 14:04,60
Mount Brown,0,15,Monday,02/04/2018 15:05,60
Mount Brown,3,16,Monday,02/04/2018 16:01,60
Mount Brown,4,17,Monday,02/04/2018 17:02,50
