address,round(avg(available_bikes)),HOUR,DOW,last_update
"Mount Brown",14,6,Thursday,"2018-03-29 06:07:45"
"Mount Brown",5,7,Thursday,"2018-03-29 07:07:40"
"Mount Brown",0,8,Thursday,"2018-03-29 08:01:32"
"Mount Brown",0,9,Thursday,"2018-03-29 09:02:26"
"Mount Brown",0,10,Thursday,"2018-03-29 10:05:33"
"Mount Brown",0,11,Thursday,"2018-03-29 11:06:28"
"Mount Brown",0,12,Thursday,"2018-03-29 12:07:23"
"Mount Brown",1,13,Thursday,"2018-03-29 13:08:18"
"Mount Brown",2,14,Thursday,"2018-03-29 14:08:53"
"Mount Brown",1,15,Thursday,"2018-03-29 15:06:31"
"Mount Brown",2,16,Thursday,"2018-03-29 16:01:13"
"Mount Brown",5,17,Thursday,"2018-03-29 17:02:57"
"Mount Brown",8,18,Thursday,"2018-03-29 18:07:46"
"Mount Brown",7,19,Thursday,"2018-03-29 19:00:57"
"Mount Brown",9,20,Thursday,"2018-03-29 20:06:49"
"Mount Brown",9,21,Thursday,"2018-03-29 21:02:51"
"Mount Brown",9,22,Thursday,"2018-03-29 22:05:03"
"Mount Brown",7,23,Thursday,"2018-03-29 23:08:14"
"Mount Brown",8,6,Friday,"2018-03-30 06:04:50"
"Mount Brown",7,7,Friday,"2018-03-30 07:00:23"
"Mount Brown",5,8,Friday,"2018-03-30 08:10:10"
"Mount Brown",5,9,Friday,"2018-03-30 09:00:55"
"Mount Brown",3,10,Friday,"2018-03-30 10:07:38"
"Mount Brown",1,11,Friday,"2018-03-30 11:04:29"
"Mount Brown",0,12,Friday,"2018-03-30 12:02:29"
"Mount Brown",1,13,Friday,"2018-03-30 13:07:39"
"Mount Brown",1,14,Friday,"2018-03-30 14:01:53"
"Mount Brown",2,15,Friday,"2018-03-30 15:10:02"
"Mount Brown",2,16,Friday,"2018-03-30 16:00:48"
"Mount Brown",1,17,Friday,"2018-03-30 17:07:49"
"Mount Brown",0,18,Friday,"2018-03-30 18:02:24"
"Mount Brown",2,19,Friday,"2018-03-30 19:06:11"
"Mount Brown",3,20,Friday,"2018-03-30 20:08:45"
"Mount Brown",3,21,Friday,"2018-03-30 21:06:48"
"Mount Brown",4,22,Friday,"2018-03-30 22:02:59"
"Mount Brown",6,23,Friday,"2018-03-30 23:03:57"
"Mount Brown",5,6,Saturday,"2018-03-31 06:01:22"
"Mount Brown",3,7,Saturday,"2018-03-31 07:03:30"
"Mount Brown",2,8,Saturday,"2018-03-31 08:08:47"
"Mount Brown",0,9,Saturday,"2018-03-31 09:00:13"
"Mount Brown",1,10,Saturday,"2018-03-31 10:05:35"
"Mount Brown",1,11,Saturday,"2018-03-31 11:07:00"
"Mount Brown",0,12,Saturday,"2018-03-31 12:01:27"
"Mount Brown",0,13,Saturday,"2018-03-31 13:02:26"
"Mount Brown",0,14,Saturday,"2018-03-31 14:07:40"
"Mount Brown",0,15,Saturday,"2018-03-31 15:08:38"
"Mount Brown",2,16,Saturday,"2018-03-31 16:09:39"
"Mount Brown",4,17,Saturday,"2018-03-31 17:08:33"
"Mount Brown",7,18,Saturday,"2018-03-31 18:06:28"
"Mount Brown",6,19,Saturday,"2018-03-31 19:07:52"
"Mount Brown",7,20,Saturday,"2018-03-31 20:05:18"
"Mount Brown",7,21,Saturday,"2018-03-31 21:04:55"
"Mount Brown",9,22,Saturday,"2018-03-31 22:05:19"
"Mount Brown",9,23,Saturday,"2018-03-31 23:09:07"
"Mount Brown",10,6,Sunday,"2018-04-01 06:03:23"
"Mount Brown",9,7,Sunday,"2018-04-01 07:08:26"
"Mount Brown",9,8,Sunday,"2018-04-01 08:02:20"
"Mount Brown",8,9,Sunday,"2018-04-01 09:01:42"
"Mount Brown",7,10,Sunday,"2018-04-01 10:01:17"
"Mount Brown",7,11,Sunday,"2018-04-01 11:05:56"
"Mount Brown",6,12,Sunday,"2018-04-01 12:08:51"
"Mount Brown",3,13,Sunday,"2018-04-01 13:08:46"
"Mount Brown",1,14,Sunday,"2018-04-01 14:02:37"
"Mount Brown",0,15,Sunday,"2018-04-01 15:01:00"
"Mount Brown",0,16,Sunday,"2018-04-01 16:01:55"
"Mount Brown",0,17,Sunday,"2018-04-01 17:02:49"
"Mount Brown",1,18,Sunday,"2018-04-01 18:02:07"
"Mount Brown",1,19,Sunday,"2018-04-01 19:03:02"
"Mount Brown",1,20,Sunday,"2018-04-01 20:06:29"
"Mount Brown",2,21,Sunday,"2018-04-01 21:03:28"
"Mount Brown",2,22,Sunday,"2018-04-01 22:07:52"
"Mount Brown",2,23,Sunday,"2018-04-01 23:08:45"
"Mount Brown",3,6,Monday,"2018-04-02 06:00:15"
"Mount Brown",3,7,Monday,"2018-04-02 07:01:09"
"Mount Brown",2,8,Monday,"2018-04-02 08:05:35"
"Mount Brown",2,9,Monday,"2018-04-02 09:01:57"
"Mount Brown",2,10,Monday,"2018-04-02 10:04:07"
"Mount Brown",2,11,Monday,"2018-04-02 11:05:02"
"Mount Brown",2,12,Monday,"2018-04-02 12:01:29"
"Mount Brown",2,13,Monday,"2018-04-02 13:08:26"
"Mount Brown",1,14,Monday,"2018-04-02 14:04:27"
"Mount Brown",0,15,Monday,"2018-04-02 15:05:45"
"Mount Brown",3,16,Monday,"2018-04-02 16:01:45"
"Mount Brown",4,17,Monday,"2018-04-02 17:02:44"
"Mount Brown",3,18,Monday,"2018-04-02 18:03:19"
"Mount Brown",5,19,Monday,"2018-04-02 19:07:22"
"Mount Brown",5,20,Monday,"2018-04-02 20:01:33"
