address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Mount Street Lower,3,6,Thursday,29/03/2018 06:02,0
Mount Street Lower,26,7,Thursday,29/03/2018 07:05,0
Mount Street Lower,38,8,Thursday,29/03/2018 08:00,0
Mount Street Lower,38,9,Thursday,29/03/2018 09:05,0
Mount Street Lower,40,10,Thursday,29/03/2018 10:10,0
Mount Street Lower,37,11,Thursday,29/03/2018 11:01,10
Mount Street Lower,36,12,Thursday,29/03/2018 12:05,30
Mount Street Lower,38,13,Thursday,29/03/2018 13:00,30
Mount Street Lower,38,14,Thursday,29/03/2018 14:02,45
Mount Street Lower,33,15,Thursday,29/03/2018 15:02,40
Mount Street Lower,17,16,Thursday,29/03/2018 16:00,30
Mount Street Lower,1,17,Thursday,29/03/2018 17:02,30
Mount Street Lower,2,18,Thursday,29/03/2018 18:03,30
Mount Street Lower,3,19,Thursday,29/03/2018 19:01,40
Mount Street Lower,4,20,Thursday,29/03/2018 20:03,30
Mount Street Lower,3,21,Thursday,29/03/2018 21:03,25
Mount Street Lower,5,22,Thursday,29/03/2018 22:01,30
Mount Street Lower,1,23,Thursday,29/03/2018 23:03,40
Mount Street Lower,2,6,Friday,30/03/2018 06:00,0
Mount Street Lower,5,7,Friday,30/03/2018 07:02,0
Mount Street Lower,4,8,Friday,30/03/2018 08:04,0
Mount Street Lower,3,9,Friday,30/03/2018 09:04,0
Mount Street Lower,0,10,Friday,30/03/2018 10:09,20
Mount Street Lower,2,11,Friday,30/03/2018 11:08,20
Mount Street Lower,1,12,Friday,30/03/2018 12:04,20
Mount Street Lower,3,13,Friday,30/03/2018 13:03,20
Mount Street Lower,10,14,Friday,30/03/2018 14:03,20
Mount Street Lower,19,15,Friday,30/03/2018 15:09,0
Mount Street Lower,17,16,Friday,30/03/2018 16:02,0
Mount Street Lower,13,17,Friday,30/03/2018 17:02,20
Mount Street Lower,10,18,Friday,30/03/2018 18:03,0
Mount Street Lower,11,19,Friday,30/03/2018 19:10,0
Mount Street Lower,12,20,Friday,30/03/2018 20:03,0
Mount Street Lower,11,21,Friday,30/03/2018 21:04,0
Mount Street Lower,9,22,Friday,30/03/2018 22:00,0
Mount Street Lower,8,23,Friday,30/03/2018 23:01,0
Mount Street Lower,10,6,Saturday,31/03/2018 06:05,0
Mount Street Lower,11,7,Saturday,31/03/2018 07:03,0
Mount Street Lower,11,8,Saturday,31/03/2018 08:04,0
Mount Street Lower,7,9,Saturday,31/03/2018 09:09,0
Mount Street Lower,3,10,Saturday,31/03/2018 10:01,0
Mount Street Lower,1,11,Saturday,31/03/2018 11:00,0
Mount Street Lower,2,12,Saturday,31/03/2018 12:02,0
Mount Street Lower,0,13,Saturday,31/03/2018 13:10,0
Mount Street Lower,4,14,Saturday,31/03/2018 14:01,0
Mount Street Lower,3,15,Saturday,31/03/2018 15:05,0
Mount Street Lower,5,16,Saturday,31/03/2018 16:08,0
Mount Street Lower,9,17,Saturday,31/03/2018 17:03,0
Mount Street Lower,11,18,Saturday,31/03/2018 18:00,0
Mount Street Lower,9,19,Saturday,31/03/2018 19:00,0
