address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Newman House,2,6,Thursday,29/03/2018 06:07,0
Newman House,8,7,Thursday,29/03/2018 07:01,0
Newman House,26,8,Thursday,29/03/2018 08:02,0
Newman House,33,9,Thursday,29/03/2018 09:06,0
Newman House,34,10,Thursday,29/03/2018 10:09,0
Newman House,35,11,Thursday,29/03/2018 11:04,10
Newman House,34,12,Thursday,29/03/2018 12:01,30
Newman House,37,13,Thursday,29/03/2018 13:06,30
Newman House,37,14,Thursday,29/03/2018 14:06,45
Newman House,34,15,Thursday,29/03/2018 15:09,40
Newman House,21,16,Thursday,29/03/2018 16:02,30
Newman House,9,17,Thursday,29/03/2018 17:00,30
Newman House,4,18,Thursday,29/03/2018 18:02,30
Newman House,0,19,Thursday,29/03/2018 19:03,40
Newman House,2,20,Thursday,29/03/2018 20:04,30
Newman House,2,21,Thursday,29/03/2018 21:09,25
Newman House,1,22,Thursday,29/03/2018 22:02,30
Newman House,1,23,Thursday,29/03/2018 23:03,40
Newman House,1,6,Friday,30/03/2018 06:03,0
Newman House,3,7,Friday,30/03/2018 07:01,0
Newman House,6,8,Friday,30/03/2018 08:04,0
Newman House,3,9,Friday,30/03/2018 09:06,0
Newman House,2,10,Friday,30/03/2018 10:10,20
Newman House,3,11,Friday,30/03/2018 11:03,20
Newman House,4,12,Friday,30/03/2018 12:01,20
Newman House,4,13,Friday,30/03/2018 13:02,20
Newman House,3,14,Friday,30/03/2018 14:03,20
Newman House,5,15,Friday,30/03/2018 15:04,0
Newman House,5,16,Friday,30/03/2018 16:02,0
Newman House,6,17,Friday,30/03/2018 17:06,20
Newman House,6,18,Friday,30/03/2018 18:05,0
Newman House,7,19,Friday,30/03/2018 19:00,0
Newman House,7,20,Friday,30/03/2018 20:03,0
Newman House,7,21,Friday,30/03/2018 21:04,0
Newman House,7,22,Friday,30/03/2018 22:05,0
Newman House,7,23,Friday,30/03/2018 23:06,0
Newman House,7,6,Saturday,31/03/2018 06:03,0
