address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
North Circular Road,18,6,Thursday,29/03/2018 06:02,0
North Circular Road,6,7,Thursday,29/03/2018 07:01,0
North Circular Road,0,8,Thursday,29/03/2018 08:07,0
North Circular Road,9,9,Thursday,29/03/2018 09:10,0
North Circular Road,5,10,Thursday,29/03/2018 10:02,0
North Circular Road,5,11,Thursday,29/03/2018 11:11,10
North Circular Road,7,12,Thursday,29/03/2018 12:09,30
North Circular Road,4,13,Thursday,29/03/2018 13:01,30
North Circular Road,4,14,Thursday,29/03/2018 14:09,45
North Circular Road,8,15,Thursday,29/03/2018 15:00,40
North Circular Road,19,16,Thursday,29/03/2018 16:01,30
North Circular Road,23,17,Thursday,29/03/2018 17:06,30
North Circular Road,16,18,Thursday,29/03/2018 18:01,30
North Circular Road,17,19,Thursday,29/03/2018 19:05,40
North Circular Road,19,20,Thursday,29/03/2018 20:02,30
North Circular Road,20,21,Thursday,29/03/2018 21:09,25
North Circular Road,22,22,Thursday,29/03/2018 22:09,30
North Circular Road,23,23,Thursday,29/03/2018 23:00,40
North Circular Road,8,6,Friday,30/03/2018 06:06,0
North Circular Road,15,7,Friday,30/03/2018 07:06,0
North Circular Road,8,8,Friday,30/03/2018 08:07,0
North Circular Road,20,9,Friday,30/03/2018 09:05,0
North Circular Road,14,10,Friday,30/03/2018 10:00,20
North Circular Road,12,11,Friday,30/03/2018 11:01,20
North Circular Road,12,12,Friday,30/03/2018 12:03,20
North Circular Road,11,13,Friday,30/03/2018 13:03,20
North Circular Road,8,14,Friday,30/03/2018 14:08,20
North Circular Road,11,15,Friday,30/03/2018 15:04,0
North Circular Road,15,16,Friday,30/03/2018 16:03,0
North Circular Road,19,17,Friday,30/03/2018 17:00,20
North Circular Road,16,18,Friday,30/03/2018 18:03,0
North Circular Road,13,19,Friday,30/03/2018 19:01,0
North Circular Road,11,20,Friday,30/03/2018 20:03,0
North Circular Road,8,21,Friday,30/03/2018 21:10,0
North Circular Road,10,22,Friday,30/03/2018 22:06,0
North Circular Road,16,23,Friday,30/03/2018 23:08,0
North Circular Road,9,6,Saturday,31/03/2018 06:04,0
North Circular Road,15,7,Saturday,31/03/2018 07:08,0
North Circular Road,17,8,Saturday,31/03/2018 08:02,0
North Circular Road,13,9,Saturday,31/03/2018 09:07,0
North Circular Road,8,10,Saturday,31/03/2018 10:07,0
North Circular Road,4,11,Saturday,31/03/2018 11:02,0
North Circular Road,5,12,Saturday,31/03/2018 12:04,0
North Circular Road,4,13,Saturday,31/03/2018 13:05,0
North Circular Road,1,14,Saturday,31/03/2018 14:04,0
North Circular Road,4,15,Saturday,31/03/2018 15:08,0
North Circular Road,5,16,Saturday,31/03/2018 16:05,0
North Circular Road,5,17,Saturday,31/03/2018 17:04,0
North Circular Road,2,18,Saturday,31/03/2018 18:11,0
North Circular Road,1,19,Saturday,31/03/2018 19:03,0
North Circular Road,1,20,Saturday,31/03/2018 20:01,0
North Circular Road,1,21,Saturday,31/03/2018 21:01,0
North Circular Road,3,22,Saturday,31/03/2018 22:04,0
North Circular Road,7,23,Saturday,31/03/2018 23:10,0
North Circular Road,6,6,Sunday,01/04/2018 06:08,30
North Circular Road,1,7,Sunday,01/04/2018 07:07,30
North Circular Road,1,8,Sunday,01/04/2018 08:08,0
North Circular Road,0,9,Sunday,01/04/2018 09:09,0
North Circular Road,1,10,Sunday,01/04/2018 10:07,0
North Circular Road,1,11,Sunday,01/04/2018 11:08,0
North Circular Road,6,12,Sunday,01/04/2018 12:04,0
North Circular Road,4,13,Sunday,01/04/2018 13:11,0
North Circular Road,5,14,Sunday,01/04/2018 14:01,0
North Circular Road,4,15,Sunday,01/04/2018 15:01,0
North Circular Road,7,16,Sunday,01/04/2018 16:07,0
North Circular Road,6,17,Sunday,01/04/2018 17:04,0
North Circular Road,3,18,Sunday,01/04/2018 18:06,0
North Circular Road,4,19,Sunday,01/04/2018 19:02,0
North Circular Road,2,20,Sunday,01/04/2018 20:04,45
North Circular Road,0,21,Sunday,01/04/2018 21:03,50
North Circular Road,1,22,Sunday,01/04/2018 22:01,50
North Circular Road,1,23,Sunday,01/04/2018 23:05,60
North Circular Road,0,6,Monday,02/04/2018 06:01,70
North Circular Road,0,7,Monday,02/04/2018 07:00,70
North Circular Road,7,8,Monday,02/04/2018 08:03,60
North Circular Road,15,9,Monday,02/04/2018 09:04,70
North Circular Road,10,10,Monday,02/04/2018 10:05,65
North Circular Road,7,11,Monday,02/04/2018 11:01,70
North Circular Road,6,12,Monday,02/04/2018 12:02,70
North Circular Road,5,13,Monday,02/04/2018 13:04,70
North Circular Road,7,14,Monday,02/04/2018 14:07,60
North Circular Road,7,15,Monday,02/04/2018 15:06,60
North Circular Road,9,16,Monday,02/04/2018 16:00,60
North Circular Road,13,17,Monday,02/04/2018 17:05,50
North Circular Road,13,18,Monday,02/04/2018 18:05,40
North Circular Road,15,19,Monday,02/04/2018 19:08,0
North Circular Road,18,20,Monday,02/04/2018 20:00,0
North Circular Road,20,21,Monday,02/04/2018 21:09,40
North Circular Road,18,22,Monday,02/04/2018 22:02,50
North Circular Road,21,23,Monday,02/04/2018 23:01,60
North Circular Road,3,6,Tuesday,03/04/2018 06:07,0
North Circular Road,0,7,Tuesday,03/04/2018 07:02,20
North Circular Road,13,8,Tuesday,03/04/2018 08:00,20
North Circular Road,10,9,Tuesday,03/04/2018 09:07,0
North Circular Road,1,10,Tuesday,03/04/2018 10:01,0
North Circular Road,1,11,Tuesday,03/04/2018 11:07,0
North Circular Road,1,12,Tuesday,03/04/2018 12:07,30
North Circular Road,3,13,Tuesday,03/04/2018 13:05,40
North Circular Road,3,14,Tuesday,03/04/2018 14:04,20
North Circular Road,3,15,Tuesday,03/04/2018 15:04,20
North Circular Road,11,16,Tuesday,03/04/2018 16:03,30
North Circular Road,23,17,Tuesday,03/04/2018 17:00,0
North Circular Road,29,18,Tuesday,03/04/2018 18:03,0
North Circular Road,29,19,Tuesday,03/04/2018 19:05,0
North Circular Road,30,20,Tuesday,03/04/2018 20:01,0
North Circular Road,30,21,Tuesday,03/04/2018 21:00,0
North Circular Road,30,22,Tuesday,03/04/2018 22:04,0
North Circular Road,29,23,Tuesday,03/04/2018 23:02,0
North Circular Road,11,6,Wednesday,04/04/2018 06:02,40
North Circular Road,7,7,Wednesday,04/04/2018 07:03,40
North Circular Road,1,8,Wednesday,04/04/2018 08:01,30
North Circular Road,10,9,Wednesday,04/04/2018 09:03,40
North Circular Road,19,10,Wednesday,04/04/2018 10:04,40
North Circular Road,17,11,Wednesday,04/04/2018 11:05,20
North Circular Road,18,12,Wednesday,04/04/2018 12:09,0
North Circular Road,15,13,Wednesday,04/04/2018 13:04,10
North Circular Road,14,14,Wednesday,04/04/2018 14:09,0
North Circular Road,17,15,Wednesday,04/04/2018 15:01,20
North Circular Road,22,16,Wednesday,04/04/2018 16:01,20
North Circular Road,20,17,Wednesday,04/04/2018 17:01,40
North Circular Road,29,18,Wednesday,04/04/2018 18:07,0
North Circular Road,30,19,Wednesday,04/04/2018 19:05,0
North Circular Road,18,20,Wednesday,04/04/2018 20:02,0
North Circular Road,23,21,Wednesday,04/04/2018 21:04,40
North Circular Road,26,22,Wednesday,04/04/2018 22:00,30
North Circular Road,28,23,Wednesday,04/04/2018 23:03,30
