address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Ormond Quay Upper,5,6,Thursday,29/03/2018 06:09,0
Ormond Quay Upper,2,7,Thursday,29/03/2018 07:04,0
Ormond Quay Upper,2,8,Thursday,29/03/2018 08:04,0
Ormond Quay Upper,9,9,Thursday,29/03/2018 09:03,0
Ormond Quay Upper,5,10,Thursday,29/03/2018 10:10,0
Ormond Quay Upper,9,11,Thursday,29/03/2018 11:04,10
Ormond Quay Upper,10,12,Thursday,29/03/2018 12:05,30
Ormond Quay Upper,11,13,Thursday,29/03/2018 13:00,30
Ormond Quay Upper,13,14,Thursday,29/03/2018 14:05,45
Ormond Quay Upper,18,15,Thursday,29/03/2018 15:10,40
Ormond Quay Upper,15,16,Thursday,29/03/2018 16:07,30
Ormond Quay Upper,17,17,Thursday,29/03/2018 17:07,30
Ormond Quay Upper,22,18,Thursday,29/03/2018 18:07,30
Ormond Quay Upper,26,19,Thursday,29/03/2018 19:08,40
Ormond Quay Upper,27,20,Thursday,29/03/2018 20:05,30
Ormond Quay Upper,25,21,Thursday,29/03/2018 21:10,25
Ormond Quay Upper,26,22,Thursday,29/03/2018 22:00,30
Ormond Quay Upper,24,23,Thursday,29/03/2018 23:00,40
Ormond Quay Upper,20,6,Friday,30/03/2018 06:03,0
Ormond Quay Upper,14,7,Friday,30/03/2018 07:01,0
Ormond Quay Upper,13,8,Friday,30/03/2018 08:03,0
Ormond Quay Upper,11,9,Friday,30/03/2018 09:01,0
Ormond Quay Upper,10,10,Friday,30/03/2018 10:00,20
Ormond Quay Upper,11,11,Friday,30/03/2018 11:00,20
Ormond Quay Upper,9,12,Friday,30/03/2018 12:01,20
Ormond Quay Upper,11,13,Friday,30/03/2018 13:01,20
Ormond Quay Upper,17,14,Friday,30/03/2018 14:00,20
Ormond Quay Upper,19,15,Friday,30/03/2018 15:08,0
Ormond Quay Upper,22,16,Friday,30/03/2018 16:00,0
Ormond Quay Upper,27,17,Friday,30/03/2018 17:00,20
Ormond Quay Upper,19,18,Friday,30/03/2018 18:02,0
Ormond Quay Upper,24,19,Friday,30/03/2018 19:05,0
Ormond Quay Upper,28,20,Friday,30/03/2018 20:10,0
Ormond Quay Upper,15,21,Friday,30/03/2018 21:03,0
Ormond Quay Upper,13,22,Friday,30/03/2018 22:09,0
Ormond Quay Upper,11,23,Friday,30/03/2018 23:01,0
Ormond Quay Upper,15,6,Saturday,31/03/2018 06:01,0
Ormond Quay Upper,15,7,Saturday,31/03/2018 07:08,0
Ormond Quay Upper,18,8,Saturday,31/03/2018 08:07,0
Ormond Quay Upper,21,9,Saturday,31/03/2018 09:07,0
Ormond Quay Upper,21,10,Saturday,31/03/2018 10:09,0
Ormond Quay Upper,23,11,Saturday,31/03/2018 11:02,0
Ormond Quay Upper,27,12,Saturday,31/03/2018 12:08,0
Ormond Quay Upper,29,13,Saturday,31/03/2018 13:09,0
Ormond Quay Upper,29,14,Saturday,31/03/2018 14:08,0
Ormond Quay Upper,29,15,Saturday,31/03/2018 15:00,0
Ormond Quay Upper,28,16,Saturday,31/03/2018 16:01,0
