address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Parnell Square North,8,6,Thursday,29/03/2018 06:08,0
Parnell Square North,5,7,Thursday,29/03/2018 07:05,0
Parnell Square North,0,8,Thursday,29/03/2018 08:06,0
Parnell Square North,16,9,Thursday,29/03/2018 09:00,0
Parnell Square North,16,10,Thursday,29/03/2018 10:05,0
Parnell Square North,13,11,Thursday,29/03/2018 11:05,10
Parnell Square North,12,12,Thursday,29/03/2018 12:06,30
Parnell Square North,12,13,Thursday,29/03/2018 13:02,30
Parnell Square North,13,14,Thursday,29/03/2018 14:09,45
Parnell Square North,15,15,Thursday,29/03/2018 15:00,40
Parnell Square North,17,16,Thursday,29/03/2018 16:05,30
Parnell Square North,20,17,Thursday,29/03/2018 17:07,30
Parnell Square North,20,18,Thursday,29/03/2018 18:04,30
Parnell Square North,20,19,Thursday,29/03/2018 19:05,40
Parnell Square North,18,20,Thursday,29/03/2018 20:03,30
Parnell Square North,19,21,Thursday,29/03/2018 21:05,25
Parnell Square North,19,22,Thursday,29/03/2018 22:05,30
Parnell Square North,19,23,Thursday,29/03/2018 23:09,40
Parnell Square North,20,6,Friday,30/03/2018 06:04,0
Parnell Square North,19,7,Friday,30/03/2018 07:05,0
Parnell Square North,19,8,Friday,30/03/2018 08:01,0
Parnell Square North,20,9,Friday,30/03/2018 09:03,0
Parnell Square North,18,10,Friday,30/03/2018 10:09,20
Parnell Square North,16,11,Friday,30/03/2018 11:00,20
Parnell Square North,17,12,Friday,30/03/2018 12:05,20
Parnell Square North,18,13,Friday,30/03/2018 13:01,20
Parnell Square North,16,14,Friday,30/03/2018 14:03,20
Parnell Square North,16,15,Friday,30/03/2018 15:04,0
Parnell Square North,17,16,Friday,30/03/2018 16:00,0
Parnell Square North,18,17,Friday,30/03/2018 17:03,20
Parnell Square North,16,18,Friday,30/03/2018 18:01,0
Parnell Square North,14,19,Friday,30/03/2018 19:00,0
Parnell Square North,15,20,Friday,30/03/2018 20:06,0
Parnell Square North,16,21,Friday,30/03/2018 21:01,0
Parnell Square North,18,22,Friday,30/03/2018 22:01,0
Parnell Square North,17,23,Friday,30/03/2018 23:01,0
Parnell Square North,17,6,Saturday,31/03/2018 06:01,0
Parnell Square North,16,7,Saturday,31/03/2018 07:00,0
Parnell Square North,17,8,Saturday,31/03/2018 08:07,0
Parnell Square North,17,9,Saturday,31/03/2018 09:07,0
Parnell Square North,16,10,Saturday,31/03/2018 10:07,0
Parnell Square North,15,11,Saturday,31/03/2018 11:06,0
Parnell Square North,14,12,Saturday,31/03/2018 12:00,0
Parnell Square North,13,13,Saturday,31/03/2018 13:04,0
Parnell Square North,11,14,Saturday,31/03/2018 14:10,0
Parnell Square North,11,15,Saturday,31/03/2018 15:08,0
Parnell Square North,13,16,Saturday,31/03/2018 16:00,0
Parnell Square North,9,17,Saturday,31/03/2018 17:01,0
Parnell Square North,9,18,Saturday,31/03/2018 18:01,0
Parnell Square North,10,19,Saturday,31/03/2018 19:09,0
Parnell Square North,10,20,Saturday,31/03/2018 20:06,0
Parnell Square North,10,21,Saturday,31/03/2018 21:05,0
Parnell Square North,9,22,Saturday,31/03/2018 22:07,0
Parnell Square North,8,23,Saturday,31/03/2018 23:01,0
Parnell Square North,7,6,Sunday,01/04/2018 06:03,30
Parnell Square North,7,7,Sunday,01/04/2018 07:04,30
Parnell Square North,6,8,Sunday,01/04/2018 08:08,0
Parnell Square North,4,9,Sunday,01/04/2018 09:07,0
Parnell Square North,2,10,Sunday,01/04/2018 10:04,0
Parnell Square North,0,11,Sunday,01/04/2018 11:03,0
Parnell Square North,0,12,Sunday,01/04/2018 12:04,0
Parnell Square North,1,13,Sunday,01/04/2018 13:08,0
Parnell Square North,2,14,Sunday,01/04/2018 14:00,0
Parnell Square North,2,15,Sunday,01/04/2018 15:01,0
Parnell Square North,1,16,Sunday,01/04/2018 16:02,0
Parnell Square North,0,17,Sunday,01/04/2018 17:04,0
Parnell Square North,0,18,Sunday,01/04/2018 18:02,0
Parnell Square North,0,19,Sunday,01/04/2018 19:03,0
Parnell Square North,0,20,Sunday,01/04/2018 20:05,45
Parnell Square North,1,21,Sunday,01/04/2018 21:06,50
Parnell Square North,1,22,Sunday,01/04/2018 22:01,50
Parnell Square North,3,23,Sunday,01/04/2018 23:07,60
Parnell Square North,3,6,Monday,02/04/2018 06:02,70
Parnell Square North,1,7,Monday,02/04/2018 07:03,70
Parnell Square North,0,8,Monday,02/04/2018 08:07,60
Parnell Square North,0,9,Monday,02/04/2018 09:08,70
Parnell Square North,0,10,Monday,02/04/2018 10:09,65
Parnell Square North,0,11,Monday,02/04/2018 11:10,70
Parnell Square North,0,12,Monday,02/04/2018 12:00,70
Parnell Square North,0,13,Monday,02/04/2018 13:01,70
Parnell Square North,0,14,Monday,02/04/2018 14:02,60
Parnell Square North,0,15,Monday,02/04/2018 15:07,60
Parnell Square North,0,16,Monday,02/04/2018 16:07,60
Parnell Square North,1,17,Monday,02/04/2018 17:08,50
