address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Pearse Street,8,6,Thursday,29/03/2018 06:09,0
Pearse Street,9,7,Thursday,29/03/2018 07:09,0
Pearse Street,23,8,Thursday,29/03/2018 08:00,0
Pearse Street,25,9,Thursday,29/03/2018 09:01,0
Pearse Street,18,10,Thursday,29/03/2018 10:00,0
Pearse Street,25,11,Thursday,29/03/2018 11:04,10
Pearse Street,22,12,Thursday,29/03/2018 12:06,30
Pearse Street,19,13,Thursday,29/03/2018 13:00,30
Pearse Street,12,14,Thursday,29/03/2018 14:05,45
Pearse Street,16,15,Thursday,29/03/2018 15:02,40
Pearse Street,28,16,Thursday,29/03/2018 16:02,30
Pearse Street,29,17,Thursday,29/03/2018 17:02,30
Pearse Street,21,18,Thursday,29/03/2018 18:03,30
Pearse Street,13,19,Thursday,29/03/2018 19:03,40
Pearse Street,7,20,Thursday,29/03/2018 20:00,30
Pearse Street,8,21,Thursday,29/03/2018 21:01,25
Pearse Street,9,22,Thursday,29/03/2018 22:02,30
Pearse Street,9,23,Thursday,29/03/2018 23:00,40
Pearse Street,10,6,Friday,30/03/2018 06:01,0
Pearse Street,12,7,Friday,30/03/2018 07:06,0
Pearse Street,12,8,Friday,30/03/2018 08:00,0
Pearse Street,9,9,Friday,30/03/2018 09:00,0
Pearse Street,9,10,Friday,30/03/2018 10:01,20
Pearse Street,14,11,Friday,30/03/2018 11:03,20
Pearse Street,16,12,Friday,30/03/2018 12:08,20
Pearse Street,21,13,Friday,30/03/2018 13:02,20
Pearse Street,13,14,Friday,30/03/2018 14:03,20
Pearse Street,13,15,Friday,30/03/2018 15:02,0
Pearse Street,17,16,Friday,30/03/2018 16:04,0
Pearse Street,15,17,Friday,30/03/2018 17:06,20
Pearse Street,13,18,Friday,30/03/2018 18:00,0
Pearse Street,10,19,Friday,30/03/2018 19:02,0
Pearse Street,9,20,Friday,30/03/2018 20:04,0
Pearse Street,8,21,Friday,30/03/2018 21:01,0
Pearse Street,7,22,Friday,30/03/2018 22:05,0
Pearse Street,8,23,Friday,30/03/2018 23:01,0
Pearse Street,9,6,Saturday,31/03/2018 06:02,0
Pearse Street,10,7,Saturday,31/03/2018 07:01,0
Pearse Street,14,8,Saturday,31/03/2018 08:03,0
Pearse Street,12,9,Saturday,31/03/2018 09:03,0
Pearse Street,16,10,Saturday,31/03/2018 10:02,0
Pearse Street,15,11,Saturday,31/03/2018 11:09,0
Pearse Street,13,12,Saturday,31/03/2018 12:00,0
Pearse Street,11,13,Saturday,31/03/2018 13:08,0
Pearse Street,9,14,Saturday,31/03/2018 14:05,0
Pearse Street,9,15,Saturday,31/03/2018 15:09,0
Pearse Street,12,16,Saturday,31/03/2018 16:02,0
Pearse Street,8,17,Saturday,31/03/2018 17:01,0
Pearse Street,1,18,Saturday,31/03/2018 18:01,0
Pearse Street,3,19,Saturday,31/03/2018 19:07,0
Pearse Street,5,20,Saturday,31/03/2018 20:05,0
Pearse Street,6,21,Saturday,31/03/2018 21:10,0
Pearse Street,5,22,Saturday,31/03/2018 22:03,0
Pearse Street,5,23,Saturday,31/03/2018 23:08,0
Pearse Street,5,6,Sunday,01/04/2018 06:02,30
Pearse Street,6,7,Sunday,01/04/2018 07:05,30
Pearse Street,8,8,Sunday,01/04/2018 08:10,0
Pearse Street,12,9,Sunday,01/04/2018 09:04,0
Pearse Street,13,10,Sunday,01/04/2018 10:02,0
Pearse Street,15,11,Sunday,01/04/2018 11:08,0
Pearse Street,15,12,Sunday,01/04/2018 12:11,0
Pearse Street,15,13,Sunday,01/04/2018 13:04,0
Pearse Street,16,14,Sunday,01/04/2018 14:04,0
Pearse Street,18,15,Sunday,01/04/2018 15:02,0
Pearse Street,21,16,Sunday,01/04/2018 16:03,0
Pearse Street,20,17,Sunday,01/04/2018 17:06,0
Pearse Street,15,18,Sunday,01/04/2018 18:02,0
Pearse Street,16,19,Sunday,01/04/2018 19:00,0
Pearse Street,15,20,Sunday,01/04/2018 20:01,45
Pearse Street,13,21,Sunday,01/04/2018 21:05,50
Pearse Street,14,22,Sunday,01/04/2018 22:00,50
Pearse Street,14,23,Sunday,01/04/2018 23:01,60
Pearse Street,16,6,Monday,02/04/2018 06:02,70
Pearse Street,18,7,Monday,02/04/2018 07:00,70
Pearse Street,21,8,Monday,02/04/2018 08:01,60
Pearse Street,21,9,Monday,02/04/2018 09:07,70
Pearse Street,23,10,Monday,02/04/2018 10:02,65
Pearse Street,24,11,Monday,02/04/2018 11:02,70
Pearse Street,26,12,Monday,02/04/2018 12:02,70
Pearse Street,26,13,Monday,02/04/2018 13:09,70
Pearse Street,26,14,Monday,02/04/2018 14:06,60
Pearse Street,27,15,Monday,02/04/2018 15:06,60
Pearse Street,25,16,Monday,02/04/2018 16:01,60
Pearse Street,21,17,Monday,02/04/2018 17:01,50
Pearse Street,20,18,Monday,02/04/2018 18:08,40
Pearse Street,18,19,Monday,02/04/2018 19:00,0
Pearse Street,17,20,Monday,02/04/2018 20:08,0
Pearse Street,18,21,Monday,02/04/2018 21:13,40
Pearse Street,19,22,Monday,02/04/2018 22:04,50
Pearse Street,19,23,Monday,02/04/2018 23:07,60
Pearse Street,9,6,Tuesday,03/04/2018 06:03,0
Pearse Street,19,7,Tuesday,03/04/2018 07:01,20
Pearse Street,30,8,Tuesday,03/04/2018 08:02,20
Pearse Street,24,9,Tuesday,03/04/2018 09:01,0
Pearse Street,27,10,Tuesday,03/04/2018 10:03,0
Pearse Street,29,11,Tuesday,03/04/2018 11:06,0
Pearse Street,11,12,Tuesday,03/04/2018 12:03,30
Pearse Street,18,13,Tuesday,03/04/2018 13:04,40
Pearse Street,13,14,Tuesday,03/04/2018 14:03,20
Pearse Street,10,15,Tuesday,03/04/2018 15:03,20
Pearse Street,19,16,Tuesday,03/04/2018 16:03,30
Pearse Street,17,17,Tuesday,03/04/2018 17:00,0
Pearse Street,19,18,Tuesday,03/04/2018 18:05,0
Pearse Street,9,19,Tuesday,03/04/2018 19:00,0
Pearse Street,2,20,Tuesday,03/04/2018 20:03,0
Pearse Street,0,21,Tuesday,03/04/2018 21:04,0
Pearse Street,2,22,Tuesday,03/04/2018 22:04,0
Pearse Street,3,23,Tuesday,03/04/2018 23:01,0
Pearse Street,9,6,Wednesday,04/04/2018 06:05,40
Pearse Street,19,7,Wednesday,04/04/2018 07:02,40
Pearse Street,21,8,Wednesday,04/04/2018 08:04,30
Pearse Street,14,9,Wednesday,04/04/2018 09:02,40
Pearse Street,18,10,Wednesday,04/04/2018 10:02,40
Pearse Street,19,11,Wednesday,04/04/2018 11:00,20
Pearse Street,9,12,Wednesday,04/04/2018 12:05,0
Pearse Street,7,13,Wednesday,04/04/2018 13:00,10
Pearse Street,9,14,Wednesday,04/04/2018 14:00,0
Pearse Street,10,15,Wednesday,04/04/2018 15:01,20
Pearse Street,9,16,Wednesday,04/04/2018 16:00,20
Pearse Street,17,17,Wednesday,04/04/2018 17:06,40
Pearse Street,15,18,Wednesday,04/04/2018 18:05,0
Pearse Street,10,19,Wednesday,04/04/2018 19:02,0
Pearse Street,9,20,Wednesday,04/04/2018 20:06,0
Pearse Street,4,21,Wednesday,04/04/2018 21:07,40
Pearse Street,1,22,Wednesday,04/04/2018 22:05,30
Pearse Street,1,23,Wednesday,04/04/2018 23:06,30
