address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Portobello Road,12,6,Thursday,29/03/2018 06:04,0
Portobello Road,0,7,Thursday,29/03/2018 07:09,0
Portobello Road,1,8,Thursday,29/03/2018 08:05,0
Portobello Road,1,9,Thursday,29/03/2018 09:02,0
Portobello Road,1,10,Thursday,29/03/2018 10:03,0
Portobello Road,1,11,Thursday,29/03/2018 11:06,10
Portobello Road,4,12,Thursday,29/03/2018 12:09,30
Portobello Road,4,13,Thursday,29/03/2018 13:03,30
Portobello Road,4,14,Thursday,29/03/2018 14:01,45
Portobello Road,6,15,Thursday,29/03/2018 15:01,40
Portobello Road,8,16,Thursday,29/03/2018 16:05,30
Portobello Road,14,17,Thursday,29/03/2018 17:02,30
Portobello Road,19,18,Thursday,29/03/2018 18:02,30
Portobello Road,20,19,Thursday,29/03/2018 19:05,40
Portobello Road,24,20,Thursday,29/03/2018 20:12,30
Portobello Road,29,21,Thursday,29/03/2018 21:03,25
Portobello Road,30,22,Thursday,29/03/2018 22:04,30
Portobello Road,29,23,Thursday,29/03/2018 23:05,40
Portobello Road,25,6,Friday,30/03/2018 06:01,0
Portobello Road,16,7,Friday,30/03/2018 07:01,0
Portobello Road,20,8,Friday,30/03/2018 08:03,0
Portobello Road,24,9,Friday,30/03/2018 09:08,0
Portobello Road,18,10,Friday,30/03/2018 10:06,20
Portobello Road,12,11,Friday,30/03/2018 11:01,20
Portobello Road,10,12,Friday,30/03/2018 12:03,20
Portobello Road,11,13,Friday,30/03/2018 13:02,20
Portobello Road,11,14,Friday,30/03/2018 14:01,20
Portobello Road,11,15,Friday,30/03/2018 15:04,0
Portobello Road,10,16,Friday,30/03/2018 16:06,0
Portobello Road,7,17,Friday,30/03/2018 17:09,20
Portobello Road,5,18,Friday,30/03/2018 18:04,0
Portobello Road,7,19,Friday,30/03/2018 19:06,0
Portobello Road,11,20,Friday,30/03/2018 20:00,0
Portobello Road,11,21,Friday,30/03/2018 21:03,0
Portobello Road,14,22,Friday,30/03/2018 22:06,0
Portobello Road,14,23,Friday,30/03/2018 23:08,0
Portobello Road,29,6,Saturday,31/03/2018 06:03,0
Portobello Road,28,7,Saturday,31/03/2018 07:00,0
Portobello Road,25,8,Saturday,31/03/2018 08:02,0
Portobello Road,20,9,Saturday,31/03/2018 09:04,0
Portobello Road,15,10,Saturday,31/03/2018 10:00,0
Portobello Road,17,11,Saturday,31/03/2018 11:08,0
Portobello Road,27,12,Saturday,31/03/2018 12:07,0
Portobello Road,23,13,Saturday,31/03/2018 13:04,0
Portobello Road,16,14,Saturday,31/03/2018 14:02,0
Portobello Road,12,15,Saturday,31/03/2018 15:00,0
Portobello Road,10,16,Saturday,31/03/2018 16:10,0
Portobello Road,10,17,Saturday,31/03/2018 17:10,0
Portobello Road,10,18,Saturday,31/03/2018 18:06,0
Portobello Road,7,19,Saturday,31/03/2018 19:04,0
Portobello Road,4,20,Saturday,31/03/2018 20:01,0
Portobello Road,3,21,Saturday,31/03/2018 21:00,0
Portobello Road,5,22,Saturday,31/03/2018 22:11,0
Portobello Road,5,23,Saturday,31/03/2018 23:07,0
Portobello Road,5,6,Sunday,01/04/2018 06:01,30
Portobello Road,4,7,Sunday,01/04/2018 07:01,30
Portobello Road,2,8,Sunday,01/04/2018 08:05,0
Portobello Road,18,9,Sunday,01/04/2018 09:00,0
Portobello Road,15,10,Sunday,01/04/2018 10:08,0
Portobello Road,16,11,Sunday,01/04/2018 11:02,0
Portobello Road,9,12,Sunday,01/04/2018 12:04,0
Portobello Road,2,13,Sunday,01/04/2018 13:06,0
Portobello Road,0,14,Sunday,01/04/2018 14:02,0
Portobello Road,2,15,Sunday,01/04/2018 15:01,0
Portobello Road,6,16,Sunday,01/04/2018 16:05,0
Portobello Road,10,17,Sunday,01/04/2018 17:00,0
Portobello Road,14,18,Sunday,01/04/2018 18:09,0
Portobello Road,15,19,Sunday,01/04/2018 19:08,0
Portobello Road,15,20,Sunday,01/04/2018 20:06,45
Portobello Road,14,21,Sunday,01/04/2018 21:06,50
Portobello Road,17,22,Sunday,01/04/2018 22:05,50
Portobello Road,19,23,Sunday,01/04/2018 23:00,60
Portobello Road,16,6,Monday,02/04/2018 06:04,70
Portobello Road,15,7,Monday,02/04/2018 07:02,70
Portobello Road,12,8,Monday,02/04/2018 08:06,60
Portobello Road,11,9,Monday,02/04/2018 09:01,70
Portobello Road,11,10,Monday,02/04/2018 10:04,65
Portobello Road,10,11,Monday,02/04/2018 11:00,70
Portobello Road,9,12,Monday,02/04/2018 12:00,70
Portobello Road,10,13,Monday,02/04/2018 13:06,70
Portobello Road,8,14,Monday,02/04/2018 14:03,60
