address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Rothe Abbey,25,6,Thursday,29/03/2018 06:02,0
Rothe Abbey,5,7,Thursday,29/03/2018 07:05,0
Rothe Abbey,0,8,Thursday,29/03/2018 08:08,0
Rothe Abbey,0,9,Thursday,29/03/2018 09:09,0
Rothe Abbey,0,10,Thursday,29/03/2018 10:09,0
Rothe Abbey,10,11,Thursday,29/03/2018 11:08,10
Rothe Abbey,18,12,Thursday,29/03/2018 12:03,30
Rothe Abbey,16,13,Thursday,29/03/2018 13:05,30
Rothe Abbey,15,14,Thursday,29/03/2018 14:06,45
Rothe Abbey,20,15,Thursday,29/03/2018 15:03,40
Rothe Abbey,24,16,Thursday,29/03/2018 16:04,30
Rothe Abbey,27,17,Thursday,29/03/2018 17:01,30
Rothe Abbey,30,18,Thursday,29/03/2018 18:08,30
Rothe Abbey,32,19,Thursday,29/03/2018 19:02,40
Rothe Abbey,32,20,Thursday,29/03/2018 20:03,30
Rothe Abbey,33,21,Thursday,29/03/2018 21:01,25
Rothe Abbey,34,22,Thursday,29/03/2018 22:04,30
Rothe Abbey,35,23,Thursday,29/03/2018 23:07,40
Rothe Abbey,33,6,Friday,30/03/2018 06:01,0
Rothe Abbey,24,7,Friday,30/03/2018 07:05,0
Rothe Abbey,18,8,Friday,30/03/2018 08:06,0
Rothe Abbey,16,9,Friday,30/03/2018 09:10,0
Rothe Abbey,16,10,Friday,30/03/2018 10:01,20
Rothe Abbey,16,11,Friday,30/03/2018 11:00,20
Rothe Abbey,18,12,Friday,30/03/2018 12:03,20
Rothe Abbey,16,13,Friday,30/03/2018 13:08,20
Rothe Abbey,13,14,Friday,30/03/2018 14:08,20
Rothe Abbey,11,15,Friday,30/03/2018 15:09,0
Rothe Abbey,13,16,Friday,30/03/2018 16:01,0
Rothe Abbey,14,17,Friday,30/03/2018 17:08,20
Rothe Abbey,14,18,Friday,30/03/2018 18:03,0
Rothe Abbey,12,19,Friday,30/03/2018 19:09,0
Rothe Abbey,12,20,Friday,30/03/2018 20:00,0
Rothe Abbey,11,21,Friday,30/03/2018 21:05,0
Rothe Abbey,12,22,Friday,30/03/2018 22:09,0
Rothe Abbey,15,23,Friday,30/03/2018 23:08,0
Rothe Abbey,13,6,Saturday,31/03/2018 06:02,0
Rothe Abbey,9,7,Saturday,31/03/2018 07:05,0
Rothe Abbey,12,8,Saturday,31/03/2018 08:05,0
Rothe Abbey,20,9,Saturday,31/03/2018 09:14,0
Rothe Abbey,18,10,Saturday,31/03/2018 10:07,0
Rothe Abbey,16,11,Saturday,31/03/2018 11:02,0
Rothe Abbey,15,12,Saturday,31/03/2018 12:05,0
