address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Sir Patrick's Dun,6,6,Thursday,29/03/2018 06:01,0
Sir Patrick's Dun,28,7,Thursday,29/03/2018 07:05,0
Sir Patrick's Dun,38,8,Thursday,29/03/2018 08:05,0
Sir Patrick's Dun,27,9,Thursday,29/03/2018 09:03,0
Sir Patrick's Dun,29,10,Thursday,29/03/2018 10:04,0
Sir Patrick's Dun,23,11,Thursday,29/03/2018 11:05,10
Sir Patrick's Dun,12,12,Thursday,29/03/2018 12:00,30
Sir Patrick's Dun,20,13,Thursday,29/03/2018 13:01,30
Sir Patrick's Dun,25,14,Thursday,29/03/2018 14:06,45
Sir Patrick's Dun,31,15,Thursday,29/03/2018 15:02,40
Sir Patrick's Dun,6,16,Thursday,29/03/2018 16:02,30
Sir Patrick's Dun,2,17,Thursday,29/03/2018 17:02,30
Sir Patrick's Dun,2,18,Thursday,29/03/2018 18:03,30
Sir Patrick's Dun,9,19,Thursday,29/03/2018 19:07,40
Sir Patrick's Dun,5,20,Thursday,29/03/2018 20:03,30
Sir Patrick's Dun,3,21,Thursday,29/03/2018 21:08,25
Sir Patrick's Dun,5,22,Thursday,29/03/2018 22:10,30
Sir Patrick's Dun,7,23,Thursday,29/03/2018 23:03,40
Sir Patrick's Dun,4,6,Friday,30/03/2018 06:02,0
Sir Patrick's Dun,5,7,Friday,30/03/2018 07:04,0
Sir Patrick's Dun,9,8,Friday,30/03/2018 08:06,0
Sir Patrick's Dun,11,9,Friday,30/03/2018 09:07,0
Sir Patrick's Dun,9,10,Friday,30/03/2018 10:09,20
Sir Patrick's Dun,13,11,Friday,30/03/2018 11:01,20
Sir Patrick's Dun,15,12,Friday,30/03/2018 12:03,20
Sir Patrick's Dun,11,13,Friday,30/03/2018 13:08,20
Sir Patrick's Dun,7,14,Friday,30/03/2018 14:06,20
Sir Patrick's Dun,4,15,Friday,30/03/2018 15:00,0
Sir Patrick's Dun,4,16,Friday,30/03/2018 16:04,0
Sir Patrick's Dun,6,17,Friday,30/03/2018 17:05,20
Sir Patrick's Dun,5,18,Friday,30/03/2018 18:07,0
Sir Patrick's Dun,2,19,Friday,30/03/2018 19:04,0
Sir Patrick's Dun,3,20,Friday,30/03/2018 20:07,0
Sir Patrick's Dun,5,21,Friday,30/03/2018 21:03,0
Sir Patrick's Dun,7,22,Friday,30/03/2018 22:00,0
Sir Patrick's Dun,7,23,Friday,30/03/2018 23:08,0
Sir Patrick's Dun,13,6,Saturday,31/03/2018 06:07,0
Sir Patrick's Dun,16,7,Saturday,31/03/2018 07:06,0
Sir Patrick's Dun,17,8,Saturday,31/03/2018 08:00,0
Sir Patrick's Dun,16,9,Saturday,31/03/2018 09:02,0
Sir Patrick's Dun,13,10,Saturday,31/03/2018 10:04,0
Sir Patrick's Dun,8,11,Saturday,31/03/2018 11:18,0
Sir Patrick's Dun,6,12,Saturday,31/03/2018 12:03,0
Sir Patrick's Dun,8,13,Saturday,31/03/2018 13:01,0
Sir Patrick's Dun,10,14,Saturday,31/03/2018 14:02,0
Sir Patrick's Dun,9,15,Saturday,31/03/2018 15:05,0
Sir Patrick's Dun,10,16,Saturday,31/03/2018 16:01,0
Sir Patrick's Dun,9,17,Saturday,31/03/2018 17:00,0
Sir Patrick's Dun,14,18,Saturday,31/03/2018 18:05,0
Sir Patrick's Dun,16,19,Saturday,31/03/2018 19:02,0
Sir Patrick's Dun,15,20,Saturday,31/03/2018 20:00,0
Sir Patrick's Dun,15,21,Saturday,31/03/2018 21:06,0
Sir Patrick's Dun,14,22,Saturday,31/03/2018 22:01,0
Sir Patrick's Dun,15,23,Saturday,31/03/2018 23:07,0
Sir Patrick's Dun,18,6,Sunday,01/04/2018 06:03,30
Sir Patrick's Dun,20,7,Sunday,01/04/2018 07:01,30
Sir Patrick's Dun,24,8,Sunday,01/04/2018 08:08,0
Sir Patrick's Dun,28,9,Sunday,01/04/2018 09:05,0
Sir Patrick's Dun,33,10,Sunday,01/04/2018 10:00,0
Sir Patrick's Dun,37,11,Sunday,01/04/2018 11:10,0
Sir Patrick's Dun,40,12,Sunday,01/04/2018 12:01,0
Sir Patrick's Dun,36,13,Sunday,01/04/2018 13:01,0
Sir Patrick's Dun,39,14,Sunday,01/04/2018 14:03,0
Sir Patrick's Dun,38,15,Sunday,01/04/2018 15:09,0
Sir Patrick's Dun,38,16,Sunday,01/04/2018 16:03,0
Sir Patrick's Dun,28,17,Sunday,01/04/2018 17:00,0
Sir Patrick's Dun,17,18,Sunday,01/04/2018 18:07,0
Sir Patrick's Dun,7,19,Sunday,01/04/2018 19:03,0
Sir Patrick's Dun,4,20,Sunday,01/04/2018 20:10,45
Sir Patrick's Dun,2,21,Sunday,01/04/2018 21:01,50
Sir Patrick's Dun,1,22,Sunday,01/04/2018 22:04,50
Sir Patrick's Dun,1,23,Sunday,01/04/2018 23:05,60
