address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Smithfield North,19,6,Thursday,29/03/2018 06:04,0
Smithfield North,4,7,Thursday,29/03/2018 07:01,0
Smithfield North,1,8,Thursday,29/03/2018 08:04,0
Smithfield North,0,9,Thursday,29/03/2018 09:05,0
Smithfield North,1,10,Thursday,29/03/2018 10:05,0
Smithfield North,1,11,Thursday,29/03/2018 11:00,10
Smithfield North,2,12,Thursday,29/03/2018 12:07,30
Smithfield North,10,13,Thursday,29/03/2018 13:05,30
Smithfield North,8,14,Thursday,29/03/2018 14:02,45
Smithfield North,1,15,Thursday,29/03/2018 15:03,40
Smithfield North,6,16,Thursday,29/03/2018 16:05,30
Smithfield North,17,17,Thursday,29/03/2018 17:06,30
Smithfield North,25,18,Thursday,29/03/2018 18:00,30
Smithfield North,28,19,Thursday,29/03/2018 19:01,40
Smithfield North,30,20,Thursday,29/03/2018 20:06,30
Smithfield North,30,21,Thursday,29/03/2018 21:07,25
Smithfield North,30,22,Thursday,29/03/2018 22:08,30
Smithfield North,30,23,Thursday,29/03/2018 23:11,40
Smithfield North,22,6,Friday,30/03/2018 06:11,0
Smithfield North,14,7,Friday,30/03/2018 07:05,0
Smithfield North,7,8,Friday,30/03/2018 08:09,0
Smithfield North,6,9,Friday,30/03/2018 09:00,0
Smithfield North,3,10,Friday,30/03/2018 10:01,20
Smithfield North,1,11,Friday,30/03/2018 11:04,20
Smithfield North,3,12,Friday,30/03/2018 12:08,20
Smithfield North,5,13,Friday,30/03/2018 13:03,20
Smithfield North,4,14,Friday,30/03/2018 14:03,20
Smithfield North,3,15,Friday,30/03/2018 15:06,0
Smithfield North,7,16,Friday,30/03/2018 16:00,0
Smithfield North,7,17,Friday,30/03/2018 17:03,20
Smithfield North,7,18,Friday,30/03/2018 18:09,0
Smithfield North,16,19,Friday,30/03/2018 19:05,0
Smithfield North,20,20,Friday,30/03/2018 20:02,0
Smithfield North,23,21,Friday,30/03/2018 21:01,0
Smithfield North,23,22,Friday,30/03/2018 22:00,0
Smithfield North,23,23,Friday,30/03/2018 23:07,0
Smithfield North,22,6,Saturday,31/03/2018 06:01,0
Smithfield North,20,7,Saturday,31/03/2018 07:07,0
Smithfield North,16,8,Saturday,31/03/2018 08:04,0
Smithfield North,15,9,Saturday,31/03/2018 09:02,0
Smithfield North,12,10,Saturday,31/03/2018 10:04,0
Smithfield North,8,11,Saturday,31/03/2018 11:07,0
Smithfield North,7,12,Saturday,31/03/2018 12:08,0
Smithfield North,6,13,Saturday,31/03/2018 13:04,0
Smithfield North,8,14,Saturday,31/03/2018 14:02,0
Smithfield North,7,15,Saturday,31/03/2018 15:00,0
Smithfield North,5,16,Saturday,31/03/2018 16:00,0
Smithfield North,8,17,Saturday,31/03/2018 17:01,0
Smithfield North,9,18,Saturday,31/03/2018 18:06,0
Smithfield North,9,19,Saturday,31/03/2018 19:06,0
Smithfield North,8,20,Saturday,31/03/2018 20:08,0
Smithfield North,7,21,Saturday,31/03/2018 21:07,0
Smithfield North,7,22,Saturday,31/03/2018 22:04,0
Smithfield North,6,23,Saturday,31/03/2018 23:00,0
Smithfield North,8,6,Sunday,01/04/2018 06:03,30
Smithfield North,6,7,Sunday,01/04/2018 07:03,30
Smithfield North,1,8,Sunday,01/04/2018 08:10,0
Smithfield North,1,9,Sunday,01/04/2018 09:01,0
Smithfield North,1,10,Sunday,01/04/2018 10:04,0
Smithfield North,3,11,Sunday,01/04/2018 11:00,0
Smithfield North,1,12,Sunday,01/04/2018 12:08,0
Smithfield North,2,13,Sunday,01/04/2018 13:07,0
Smithfield North,1,14,Sunday,01/04/2018 14:06,0
Smithfield North,1,15,Sunday,01/04/2018 15:10,0
Smithfield North,3,16,Sunday,01/04/2018 16:04,0
Smithfield North,10,17,Sunday,01/04/2018 17:01,0
Smithfield North,15,18,Sunday,01/04/2018 18:06,0
Smithfield North,20,19,Sunday,01/04/2018 19:03,0
Smithfield North,22,20,Sunday,01/04/2018 20:01,45
Smithfield North,22,21,Sunday,01/04/2018 21:07,50
Smithfield North,23,22,Sunday,01/04/2018 22:00,50
Smithfield North,25,23,Sunday,01/04/2018 23:04,60
Smithfield North,24,6,Monday,02/04/2018 06:08,70
Smithfield North,20,7,Monday,02/04/2018 07:10,70
Smithfield North,19,8,Monday,02/04/2018 08:03,60
Smithfield North,17,9,Monday,02/04/2018 09:08,70
Smithfield North,18,10,Monday,02/04/2018 10:06,65
Smithfield North,22,11,Monday,02/04/2018 11:01,70
Smithfield North,25,12,Monday,02/04/2018 12:02,70
Smithfield North,24,13,Monday,02/04/2018 13:03,70
Smithfield North,25,14,Monday,02/04/2018 14:04,60
Smithfield North,27,15,Monday,02/04/2018 15:02,60
Smithfield North,28,16,Monday,02/04/2018 16:03,60
Smithfield North,30,17,Monday,02/04/2018 17:01,50
Smithfield North,30,18,Monday,02/04/2018 18:00,40
Smithfield North,30,19,Monday,02/04/2018 19:01,0
Smithfield North,29,20,Monday,02/04/2018 20:03,0
Smithfield North,28,21,Monday,02/04/2018 21:00,40
Smithfield North,29,22,Monday,02/04/2018 22:02,50
Smithfield North,30,23,Monday,02/04/2018 23:04,60
Smithfield North,19,6,Tuesday,03/04/2018 06:01,0
Smithfield North,1,7,Tuesday,03/04/2018 07:02,20
Smithfield North,2,8,Tuesday,03/04/2018 08:05,20
Smithfield North,0,9,Tuesday,03/04/2018 09:01,0
Smithfield North,3,10,Tuesday,03/04/2018 10:08,0
Smithfield North,1,11,Tuesday,03/04/2018 11:02,0
Smithfield North,0,12,Tuesday,03/04/2018 12:09,30
Smithfield North,5,13,Tuesday,03/04/2018 13:03,40
Smithfield North,2,14,Tuesday,03/04/2018 14:09,20
Smithfield North,2,15,Tuesday,03/04/2018 15:09,20
Smithfield North,10,16,Tuesday,03/04/2018 16:03,30
Smithfield North,25,17,Tuesday,03/04/2018 17:03,0
Smithfield North,29,18,Tuesday,03/04/2018 18:00,0
Smithfield North,29,19,Tuesday,03/04/2018 19:00,0
Smithfield North,29,20,Tuesday,03/04/2018 20:06,0
Smithfield North,27,21,Tuesday,03/04/2018 21:09,0
Smithfield North,23,22,Tuesday,03/04/2018 22:06,0
Smithfield North,25,23,Tuesday,03/04/2018 23:10,0
Smithfield North,19,6,Wednesday,04/04/2018 06:02,40
Smithfield North,8,7,Wednesday,04/04/2018 07:05,40
Smithfield North,3,8,Wednesday,04/04/2018 08:01,30
Smithfield North,0,9,Wednesday,04/04/2018 09:05,40
Smithfield North,1,10,Wednesday,04/04/2018 10:01,40
Smithfield North,1,11,Wednesday,04/04/2018 11:04,20
Smithfield North,4,12,Wednesday,04/04/2018 12:06,0
Smithfield North,6,13,Wednesday,04/04/2018 13:01,10
Smithfield North,2,14,Wednesday,04/04/2018 14:05,0
Smithfield North,3,15,Wednesday,04/04/2018 15:11,20
Smithfield North,7,16,Wednesday,04/04/2018 16:01,20
Smithfield North,18,17,Wednesday,04/04/2018 17:04,40
Smithfield North,28,18,Wednesday,04/04/2018 18:04,0
Smithfield North,25,19,Wednesday,04/04/2018 19:06,0
Smithfield North,23,20,Wednesday,04/04/2018 20:02,0
Smithfield North,24,21,Wednesday,04/04/2018 21:03,40
Smithfield North,25,22,Wednesday,04/04/2018 22:03,30
Smithfield North,26,23,Wednesday,04/04/2018 23:10,30
