address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Smithfield,12,6,Thursday,29/03/2018 06:02,0
Smithfield,3,7,Thursday,29/03/2018 07:02,0
Smithfield,1,8,Thursday,29/03/2018 08:00,0
Smithfield,1,9,Thursday,29/03/2018 09:09,0
Smithfield,3,10,Thursday,29/03/2018 10:02,0
Smithfield,2,11,Thursday,29/03/2018 11:01,10
Smithfield,1,12,Thursday,29/03/2018 12:05,30
Smithfield,4,13,Thursday,29/03/2018 13:03,30
Smithfield,1,14,Thursday,29/03/2018 14:01,45
Smithfield,1,15,Thursday,29/03/2018 15:06,40
Smithfield,3,16,Thursday,29/03/2018 16:04,30
Smithfield,3,17,Thursday,29/03/2018 17:04,30
Smithfield,6,18,Thursday,29/03/2018 18:02,30
Smithfield,8,19,Thursday,29/03/2018 19:06,40
Smithfield,12,20,Thursday,29/03/2018 20:00,30
Smithfield,13,21,Thursday,29/03/2018 21:03,25
Smithfield,13,22,Thursday,29/03/2018 22:09,30
Smithfield,13,23,Thursday,29/03/2018 23:01,40
Smithfield,6,6,Friday,30/03/2018 06:04,0
Smithfield,0,7,Friday,30/03/2018 07:09,0
Smithfield,1,8,Friday,30/03/2018 08:02,0
Smithfield,5,9,Friday,30/03/2018 09:06,0
Smithfield,8,10,Friday,30/03/2018 10:01,20
Smithfield,3,11,Friday,30/03/2018 11:02,20
Smithfield,2,12,Friday,30/03/2018 12:06,20
Smithfield,5,13,Friday,30/03/2018 13:11,20
Smithfield,3,14,Friday,30/03/2018 14:03,20
Smithfield,6,15,Friday,30/03/2018 15:05,0
Smithfield,8,16,Friday,30/03/2018 16:02,0
Smithfield,10,17,Friday,30/03/2018 17:03,20
Smithfield,8,18,Friday,30/03/2018 18:00,0
Smithfield,7,19,Friday,30/03/2018 19:00,0
Smithfield,9,20,Friday,30/03/2018 20:02,0
Smithfield,14,21,Friday,30/03/2018 21:00,0
Smithfield,17,22,Friday,30/03/2018 22:10,0
Smithfield,17,23,Friday,30/03/2018 23:00,0
Smithfield,12,6,Saturday,31/03/2018 06:04,0
Smithfield,11,7,Saturday,31/03/2018 07:00,0
Smithfield,10,8,Saturday,31/03/2018 08:00,0
Smithfield,9,9,Saturday,31/03/2018 09:03,0
Smithfield,6,10,Saturday,31/03/2018 10:03,0
Smithfield,10,11,Saturday,31/03/2018 11:05,0
Smithfield,11,12,Saturday,31/03/2018 12:00,0
Smithfield,7,13,Saturday,31/03/2018 13:03,0
Smithfield,6,14,Saturday,31/03/2018 14:04,0
Smithfield,10,15,Saturday,31/03/2018 15:06,0
Smithfield,12,16,Saturday,31/03/2018 16:10,0
Smithfield,14,17,Saturday,31/03/2018 17:01,0
Smithfield,13,18,Saturday,31/03/2018 18:00,0
Smithfield,7,19,Saturday,31/03/2018 19:08,0
Smithfield,0,20,Saturday,31/03/2018 20:02,0
Smithfield,1,21,Saturday,31/03/2018 21:05,0
Smithfield,4,22,Saturday,31/03/2018 22:04,0
Smithfield,5,23,Saturday,31/03/2018 23:07,0
Smithfield,5,6,Sunday,01/04/2018 06:02,30
Smithfield,5,7,Sunday,01/04/2018 07:06,30
