address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
St James Hospital (Luas),33,6,Thursday,29/03/2018 06:00,0
St James Hospital (Luas),22,7,Thursday,29/03/2018 07:05,0
St James Hospital (Luas),6,8,Thursday,29/03/2018 08:00,0
St James Hospital (Luas),1,9,Thursday,29/03/2018 09:04,0
St James Hospital (Luas),1,10,Thursday,29/03/2018 10:00,0
St James Hospital (Luas),0,11,Thursday,29/03/2018 11:09,10
St James Hospital (Luas),12,12,Thursday,29/03/2018 12:01,30
St James Hospital (Luas),21,13,Thursday,29/03/2018 13:05,30
St James Hospital (Luas),18,14,Thursday,29/03/2018 14:05,45
St James Hospital (Luas),12,15,Thursday,29/03/2018 15:02,40
St James Hospital (Luas),10,16,Thursday,29/03/2018 16:06,30
St James Hospital (Luas),17,17,Thursday,29/03/2018 17:05,30
St James Hospital (Luas),27,18,Thursday,29/03/2018 18:06,30
St James Hospital (Luas),28,19,Thursday,29/03/2018 19:01,40
St James Hospital (Luas),29,20,Thursday,29/03/2018 20:00,30
St James Hospital (Luas),30,21,Thursday,29/03/2018 21:09,25
St James Hospital (Luas),31,22,Thursday,29/03/2018 22:05,30
St James Hospital (Luas),32,23,Thursday,29/03/2018 23:01,40
St James Hospital (Luas),38,6,Friday,30/03/2018 06:05,0
St James Hospital (Luas),34,7,Friday,30/03/2018 07:09,0
St James Hospital (Luas),36,8,Friday,30/03/2018 08:03,0
St James Hospital (Luas),34,9,Friday,30/03/2018 09:04,0
St James Hospital (Luas),31,10,Friday,30/03/2018 10:03,20
St James Hospital (Luas),29,11,Friday,30/03/2018 11:04,20
St James Hospital (Luas),27,12,Friday,30/03/2018 12:02,20
St James Hospital (Luas),24,13,Friday,30/03/2018 13:03,20
St James Hospital (Luas),20,14,Friday,30/03/2018 14:02,20
St James Hospital (Luas),16,15,Friday,30/03/2018 15:03,0
St James Hospital (Luas),16,16,Friday,30/03/2018 16:01,0
St James Hospital (Luas),27,17,Friday,30/03/2018 17:01,20
St James Hospital (Luas),24,18,Friday,30/03/2018 18:02,0
St James Hospital (Luas),24,19,Friday,30/03/2018 19:00,0
St James Hospital (Luas),28,20,Friday,30/03/2018 20:10,0
St James Hospital (Luas),30,21,Friday,30/03/2018 21:00,0
St James Hospital (Luas),31,22,Friday,30/03/2018 22:06,0
St James Hospital (Luas),31,23,Friday,30/03/2018 23:07,0
St James Hospital (Luas),31,6,Saturday,31/03/2018 06:05,0
St James Hospital (Luas),30,7,Saturday,31/03/2018 07:00,0
St James Hospital (Luas),29,8,Saturday,31/03/2018 08:01,0
St James Hospital (Luas),28,9,Saturday,31/03/2018 09:03,0
St James Hospital (Luas),27,10,Saturday,31/03/2018 10:08,0
St James Hospital (Luas),26,11,Saturday,31/03/2018 11:05,0
St James Hospital (Luas),22,12,Saturday,31/03/2018 12:01,0
St James Hospital (Luas),19,13,Saturday,31/03/2018 13:02,0
St James Hospital (Luas),18,14,Saturday,31/03/2018 14:05,0
St James Hospital (Luas),17,15,Saturday,31/03/2018 15:01,0
St James Hospital (Luas),16,16,Saturday,31/03/2018 16:00,0
St James Hospital (Luas),18,17,Saturday,31/03/2018 17:02,0
St James Hospital (Luas),23,18,Saturday,31/03/2018 18:03,0
St James Hospital (Luas),20,19,Saturday,31/03/2018 19:05,0
St James Hospital (Luas),20,20,Saturday,31/03/2018 20:03,0
St James Hospital (Luas),20,21,Saturday,31/03/2018 21:04,0
St James Hospital (Luas),22,22,Saturday,31/03/2018 22:05,0
St James Hospital (Luas),22,23,Saturday,31/03/2018 23:06,0
St James Hospital (Luas),23,6,Sunday,01/04/2018 06:03,30
St James Hospital (Luas),22,7,Sunday,01/04/2018 07:01,30
St James Hospital (Luas),21,8,Sunday,01/04/2018 08:03,0
St James Hospital (Luas),21,9,Sunday,01/04/2018 09:04,0
St James Hospital (Luas),19,10,Sunday,01/04/2018 10:01,0
St James Hospital (Luas),20,11,Sunday,01/04/2018 11:02,0
St James Hospital (Luas),18,12,Sunday,01/04/2018 12:02,0
St James Hospital (Luas),14,13,Sunday,01/04/2018 13:03,0
St James Hospital (Luas),12,14,Sunday,01/04/2018 14:01,0
St James Hospital (Luas),8,15,Sunday,01/04/2018 15:05,0
St James Hospital (Luas),5,16,Sunday,01/04/2018 16:06,0
St James Hospital (Luas),3,17,Sunday,01/04/2018 17:08,0
St James Hospital (Luas),3,18,Sunday,01/04/2018 18:10,0
St James Hospital (Luas),2,19,Sunday,01/04/2018 19:04,0
St James Hospital (Luas),3,20,Sunday,01/04/2018 20:04,45
St James Hospital (Luas),4,21,Sunday,01/04/2018 21:01,50
St James Hospital (Luas),3,22,Sunday,01/04/2018 22:02,50
St James Hospital (Luas),3,23,Sunday,01/04/2018 23:08,60
St James Hospital (Luas),3,6,Monday,02/04/2018 06:02,70
St James Hospital (Luas),3,7,Monday,02/04/2018 07:08,70
St James Hospital (Luas),3,8,Monday,02/04/2018 08:09,60
St James Hospital (Luas),3,9,Monday,02/04/2018 09:00,70
St James Hospital (Luas),2,10,Monday,02/04/2018 10:04,65
St James Hospital (Luas),1,11,Monday,02/04/2018 11:05,70
St James Hospital (Luas),0,12,Monday,02/04/2018 12:08,70
St James Hospital (Luas),12,13,Monday,02/04/2018 13:07,70
St James Hospital (Luas),20,14,Monday,02/04/2018 14:08,60
St James Hospital (Luas),19,15,Monday,02/04/2018 15:02,60
St James Hospital (Luas),20,16,Monday,02/04/2018 16:03,60
St James Hospital (Luas),19,17,Monday,02/04/2018 17:04,50
St James Hospital (Luas),19,18,Monday,02/04/2018 18:09,40
St James Hospital (Luas),19,19,Monday,02/04/2018 19:00,0
St James Hospital (Luas),21,20,Monday,02/04/2018 20:02,0
St James Hospital (Luas),21,21,Monday,02/04/2018 21:09,40
St James Hospital (Luas),20,22,Monday,02/04/2018 22:09,50
St James Hospital (Luas),20,23,Monday,02/04/2018 23:10,60
St James Hospital (Luas),20,6,Tuesday,03/04/2018 06:07,0
St James Hospital (Luas),5,7,Tuesday,03/04/2018 07:00,20
St James Hospital (Luas),0,8,Tuesday,03/04/2018 08:05,20
St James Hospital (Luas),8,9,Tuesday,03/04/2018 09:00,0
St James Hospital (Luas),10,10,Tuesday,03/04/2018 10:05,0
St James Hospital (Luas),4,11,Tuesday,03/04/2018 11:01,0
St James Hospital (Luas),11,12,Tuesday,03/04/2018 12:04,30
St James Hospital (Luas),19,13,Tuesday,03/04/2018 13:00,40
St James Hospital (Luas),30,14,Tuesday,03/04/2018 14:09,20
St James Hospital (Luas),25,15,Tuesday,03/04/2018 15:08,20
St James Hospital (Luas),22,16,Tuesday,03/04/2018 16:03,30
St James Hospital (Luas),25,17,Tuesday,03/04/2018 17:02,0
St James Hospital (Luas),23,18,Tuesday,03/04/2018 18:00,0
St James Hospital (Luas),23,19,Tuesday,03/04/2018 19:03,0
St James Hospital (Luas),24,20,Tuesday,03/04/2018 20:01,0
St James Hospital (Luas),25,21,Tuesday,03/04/2018 21:02,0
St James Hospital (Luas),25,22,Tuesday,03/04/2018 22:08,0
St James Hospital (Luas),26,23,Tuesday,03/04/2018 23:04,0
St James Hospital (Luas),28,6,Wednesday,04/04/2018 06:06,40
St James Hospital (Luas),22,7,Wednesday,04/04/2018 07:01,40
St James Hospital (Luas),18,8,Wednesday,04/04/2018 08:09,30
St James Hospital (Luas),18,9,Wednesday,04/04/2018 09:00,40
St James Hospital (Luas),16,10,Wednesday,04/04/2018 10:09,40
St James Hospital (Luas),16,11,Wednesday,04/04/2018 11:09,20
St James Hospital (Luas),15,12,Wednesday,04/04/2018 12:01,0
St James Hospital (Luas),15,13,Wednesday,04/04/2018 13:07,10
St James Hospital (Luas),13,14,Wednesday,04/04/2018 14:09,0
St James Hospital (Luas),17,15,Wednesday,04/04/2018 15:01,20
St James Hospital (Luas),31,16,Wednesday,04/04/2018 16:01,20
St James Hospital (Luas),28,17,Wednesday,04/04/2018 17:05,40
St James Hospital (Luas),38,18,Wednesday,04/04/2018 18:05,0
St James Hospital (Luas),39,19,Wednesday,04/04/2018 19:01,0
St James Hospital (Luas),39,20,Wednesday,04/04/2018 20:00,0
St James Hospital (Luas),40,21,Wednesday,04/04/2018 21:09,40
St James Hospital (Luas),40,22,Wednesday,04/04/2018 22:00,30
St James Hospital (Luas),40,23,Wednesday,04/04/2018 23:01,30
