address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
St. Stephen's Green East,3,6,Thursday,29/03/2018 06:13,0
St. Stephen's Green East,11,7,Thursday,29/03/2018 07:04,0
St. Stephen's Green East,29,8,Thursday,29/03/2018 08:05,0
St. Stephen's Green East,38,9,Thursday,29/03/2018 09:05,0
St. Stephen's Green East,40,10,Thursday,29/03/2018 10:02,0
St. Stephen's Green East,39,11,Thursday,29/03/2018 11:02,10
St. Stephen's Green East,39,12,Thursday,29/03/2018 12:00,30
St. Stephen's Green East,40,13,Thursday,29/03/2018 13:05,30
St. Stephen's Green East,40,14,Thursday,29/03/2018 14:06,45
St. Stephen's Green East,38,15,Thursday,29/03/2018 15:00,40
St. Stephen's Green East,38,16,Thursday,29/03/2018 16:05,30
St. Stephen's Green East,35,17,Thursday,29/03/2018 17:02,30
St. Stephen's Green East,28,18,Thursday,29/03/2018 18:08,30
St. Stephen's Green East,27,19,Thursday,29/03/2018 19:08,40
St. Stephen's Green East,26,20,Thursday,29/03/2018 20:06,30
St. Stephen's Green East,26,21,Thursday,29/03/2018 21:07,25
St. Stephen's Green East,20,22,Thursday,29/03/2018 22:05,30
St. Stephen's Green East,9,23,Thursday,29/03/2018 23:07,40
St. Stephen's Green East,10,6,Friday,30/03/2018 06:00,0
St. Stephen's Green East,11,7,Friday,30/03/2018 07:08,0
St. Stephen's Green East,14,8,Friday,30/03/2018 08:05,0
St. Stephen's Green East,5,9,Friday,30/03/2018 09:05,0
St. Stephen's Green East,0,10,Friday,30/03/2018 10:02,20
St. Stephen's Green East,2,11,Friday,30/03/2018 11:01,20
St. Stephen's Green East,4,12,Friday,30/03/2018 12:03,20
St. Stephen's Green East,8,13,Friday,30/03/2018 13:01,20
St. Stephen's Green East,9,14,Friday,30/03/2018 14:02,20
St. Stephen's Green East,10,15,Friday,30/03/2018 15:00,0
St. Stephen's Green East,11,16,Friday,30/03/2018 16:09,0
St. Stephen's Green East,14,17,Friday,30/03/2018 17:00,20
St. Stephen's Green East,13,18,Friday,30/03/2018 18:06,0
St. Stephen's Green East,13,19,Friday,30/03/2018 19:02,0
St. Stephen's Green East,12,20,Friday,30/03/2018 20:08,0
St. Stephen's Green East,11,21,Friday,30/03/2018 21:01,0
St. Stephen's Green East,8,22,Friday,30/03/2018 22:08,0
St. Stephen's Green East,6,23,Friday,30/03/2018 23:06,0
St. Stephen's Green East,5,6,Saturday,31/03/2018 06:07,0
St. Stephen's Green East,6,7,Saturday,31/03/2018 07:04,0
St. Stephen's Green East,7,8,Saturday,31/03/2018 08:05,0
St. Stephen's Green East,10,9,Saturday,31/03/2018 09:00,0
St. Stephen's Green East,14,10,Saturday,31/03/2018 10:03,0
St. Stephen's Green East,15,11,Saturday,31/03/2018 11:02,0
St. Stephen's Green East,14,12,Saturday,31/03/2018 12:02,0
St. Stephen's Green East,15,13,Saturday,31/03/2018 13:05,0
St. Stephen's Green East,16,14,Saturday,31/03/2018 14:04,0
St. Stephen's Green East,18,15,Saturday,31/03/2018 15:01,0
St. Stephen's Green East,19,16,Saturday,31/03/2018 16:08,0
St. Stephen's Green East,18,17,Saturday,31/03/2018 17:06,0
St. Stephen's Green East,20,18,Saturday,31/03/2018 18:04,0
St. Stephen's Green East,19,19,Saturday,31/03/2018 19:06,0
St. Stephen's Green East,19,20,Saturday,31/03/2018 20:05,0
St. Stephen's Green East,19,21,Saturday,31/03/2018 21:07,0
St. Stephen's Green East,19,22,Saturday,31/03/2018 22:10,0
St. Stephen's Green East,19,23,Saturday,31/03/2018 23:03,0
St. Stephen's Green East,19,6,Sunday,01/04/2018 06:05,30
St. Stephen's Green East,19,7,Sunday,01/04/2018 07:02,30
St. Stephen's Green East,20,8,Sunday,01/04/2018 08:03,0
St. Stephen's Green East,20,9,Sunday,01/04/2018 09:07,0
St. Stephen's Green East,21,10,Sunday,01/04/2018 10:01,0
St. Stephen's Green East,22,11,Sunday,01/04/2018 11:02,0
St. Stephen's Green East,21,12,Sunday,01/04/2018 12:00,0
St. Stephen's Green East,20,13,Sunday,01/04/2018 13:02,0
St. Stephen's Green East,19,14,Sunday,01/04/2018 14:09,0
St. Stephen's Green East,17,15,Sunday,01/04/2018 15:01,0
St. Stephen's Green East,17,16,Sunday,01/04/2018 16:07,0
St. Stephen's Green East,18,17,Sunday,01/04/2018 17:07,0
St. Stephen's Green East,17,18,Sunday,01/04/2018 18:07,0
St. Stephen's Green East,17,19,Sunday,01/04/2018 19:08,0
St. Stephen's Green East,19,20,Sunday,01/04/2018 20:05,45
St. Stephen's Green East,20,21,Sunday,01/04/2018 21:05,50
St. Stephen's Green East,20,22,Sunday,01/04/2018 22:07,50
St. Stephen's Green East,20,23,Sunday,01/04/2018 23:08,60
St. Stephen's Green East,21,6,Monday,02/04/2018 06:02,70
St. Stephen's Green East,22,7,Monday,02/04/2018 07:03,70
St. Stephen's Green East,22,8,Monday,02/04/2018 08:04,60
St. Stephen's Green East,22,9,Monday,02/04/2018 09:05,70
St. Stephen's Green East,22,10,Monday,02/04/2018 10:06,65
St. Stephen's Green East,22,11,Monday,02/04/2018 11:08,70
St. Stephen's Green East,21,12,Monday,02/04/2018 12:10,70
St. Stephen's Green East,22,13,Monday,02/04/2018 13:01,70
St. Stephen's Green East,22,14,Monday,02/04/2018 14:02,60
St. Stephen's Green East,24,15,Monday,02/04/2018 15:07,60
St. Stephen's Green East,26,16,Monday,02/04/2018 16:04,60
St. Stephen's Green East,24,17,Monday,02/04/2018 17:09,50
St. Stephen's Green East,24,18,Monday,02/04/2018 18:00,40
St. Stephen's Green East,23,19,Monday,02/04/2018 19:01,0
St. Stephen's Green East,22,20,Monday,02/04/2018 20:02,0
St. Stephen's Green East,22,21,Monday,02/04/2018 21:09,40
St. Stephen's Green East,22,22,Monday,02/04/2018 22:01,50
St. Stephen's Green East,22,23,Monday,02/04/2018 23:02,60
St. Stephen's Green East,8,6,Tuesday,03/04/2018 06:07,0
St. Stephen's Green East,17,7,Tuesday,03/04/2018 07:02,20
St. Stephen's Green East,28,8,Tuesday,03/04/2018 08:01,20
St. Stephen's Green East,31,9,Tuesday,03/04/2018 09:11,0
St. Stephen's Green East,31,10,Tuesday,03/04/2018 10:08,0
St. Stephen's Green East,27,11,Tuesday,03/04/2018 11:01,0
St. Stephen's Green East,25,12,Tuesday,03/04/2018 12:04,30
St. Stephen's Green East,24,13,Tuesday,03/04/2018 13:04,40
St. Stephen's Green East,23,14,Tuesday,03/04/2018 14:04,20
St. Stephen's Green East,23,15,Tuesday,03/04/2018 15:06,20
St. Stephen's Green East,12,16,Tuesday,03/04/2018 16:04,30
St. Stephen's Green East,1,17,Tuesday,03/04/2018 17:05,0
St. Stephen's Green East,1,18,Tuesday,03/04/2018 18:02,0
St. Stephen's Green East,1,19,Tuesday,03/04/2018 19:00,0
St. Stephen's Green East,0,20,Tuesday,03/04/2018 20:03,0
St. Stephen's Green East,0,21,Tuesday,03/04/2018 21:10,0
St. Stephen's Green East,0,22,Tuesday,03/04/2018 22:07,0
St. Stephen's Green East,0,23,Tuesday,03/04/2018 23:08,0
St. Stephen's Green East,4,6,Wednesday,04/04/2018 06:08,40
St. Stephen's Green East,12,7,Wednesday,04/04/2018 07:01,40
St. Stephen's Green East,19,8,Wednesday,04/04/2018 08:07,30
St. Stephen's Green East,21,9,Wednesday,04/04/2018 09:05,40
St. Stephen's Green East,23,10,Wednesday,04/04/2018 10:09,40
St. Stephen's Green East,24,11,Wednesday,04/04/2018 11:04,20
St. Stephen's Green East,23,12,Wednesday,04/04/2018 12:00,0
St. Stephen's Green East,15,13,Wednesday,04/04/2018 13:00,10
St. Stephen's Green East,13,14,Wednesday,04/04/2018 14:05,0
St. Stephen's Green East,11,15,Wednesday,04/04/2018 15:00,20
St. Stephen's Green East,2,16,Wednesday,04/04/2018 16:01,20
St. Stephen's Green East,0,17,Wednesday,04/04/2018 17:06,40
St. Stephen's Green East,0,18,Wednesday,04/04/2018 18:03,0
St. Stephen's Green East,0,19,Wednesday,04/04/2018 19:04,0
St. Stephen's Green East,0,20,Wednesday,04/04/2018 20:09,0
St. Stephen's Green East,0,21,Wednesday,04/04/2018 21:09,40
St. Stephen's Green East,0,22,Wednesday,04/04/2018 22:08,30
St. Stephen's Green East,0,23,Wednesday,04/04/2018 23:08,30
