address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
St. Stephen's Green South,1,6,Thursday,29/03/2018 06:05,0
St. Stephen's Green South,7,7,Thursday,29/03/2018 07:05,0
St. Stephen's Green South,7,8,Thursday,29/03/2018 08:00,0
St. Stephen's Green South,8,9,Thursday,29/03/2018 09:09,0
St. Stephen's Green South,7,10,Thursday,29/03/2018 10:00,0
St. Stephen's Green South,6,11,Thursday,29/03/2018 11:06,10
St. Stephen's Green South,4,12,Thursday,29/03/2018 12:00,30
St. Stephen's Green South,4,13,Thursday,29/03/2018 13:04,30
St. Stephen's Green South,7,14,Thursday,29/03/2018 14:01,45
St. Stephen's Green South,6,15,Thursday,29/03/2018 15:06,40
St. Stephen's Green South,0,16,Thursday,29/03/2018 16:08,30
St. Stephen's Green South,1,17,Thursday,29/03/2018 17:04,30
St. Stephen's Green South,0,18,Thursday,29/03/2018 18:06,30
St. Stephen's Green South,0,19,Thursday,29/03/2018 19:07,40
St. Stephen's Green South,2,20,Thursday,29/03/2018 20:00,30
St. Stephen's Green South,2,21,Thursday,29/03/2018 21:04,25
St. Stephen's Green South,1,22,Thursday,29/03/2018 22:02,30
St. Stephen's Green South,2,23,Thursday,29/03/2018 23:08,40
St. Stephen's Green South,4,6,Friday,30/03/2018 06:09,0
St. Stephen's Green South,4,7,Friday,30/03/2018 07:03,0
St. Stephen's Green South,4,8,Friday,30/03/2018 08:03,0
St. Stephen's Green South,5,9,Friday,30/03/2018 09:05,0
St. Stephen's Green South,4,10,Friday,30/03/2018 10:06,20
St. Stephen's Green South,6,11,Friday,30/03/2018 11:06,20
St. Stephen's Green South,9,12,Friday,30/03/2018 12:04,20
St. Stephen's Green South,11,13,Friday,30/03/2018 13:01,20
St. Stephen's Green South,10,14,Friday,30/03/2018 14:06,20
St. Stephen's Green South,9,15,Friday,30/03/2018 15:00,0
St. Stephen's Green South,8,16,Friday,30/03/2018 16:09,0
St. Stephen's Green South,7,17,Friday,30/03/2018 17:03,20
St. Stephen's Green South,8,18,Friday,30/03/2018 18:06,0
St. Stephen's Green South,10,19,Friday,30/03/2018 19:03,0
St. Stephen's Green South,9,20,Friday,30/03/2018 20:08,0
St. Stephen's Green South,10,21,Friday,30/03/2018 21:03,0
St. Stephen's Green South,11,22,Friday,30/03/2018 22:06,0
St. Stephen's Green South,11,23,Friday,30/03/2018 23:07,0
St. Stephen's Green South,12,6,Saturday,31/03/2018 06:04,0
St. Stephen's Green South,12,7,Saturday,31/03/2018 07:05,0
St. Stephen's Green South,13,8,Saturday,31/03/2018 08:06,0
St. Stephen's Green South,14,9,Saturday,31/03/2018 09:03,0
St. Stephen's Green South,14,10,Saturday,31/03/2018 10:04,0
St. Stephen's Green South,17,11,Saturday,31/03/2018 11:04,0
St. Stephen's Green South,18,12,Saturday,31/03/2018 12:03,0
St. Stephen's Green South,18,13,Saturday,31/03/2018 13:04,0
St. Stephen's Green South,17,14,Saturday,31/03/2018 14:04,0
St. Stephen's Green South,16,15,Saturday,31/03/2018 15:06,0
St. Stephen's Green South,15,16,Saturday,31/03/2018 16:03,0
St. Stephen's Green South,10,17,Saturday,31/03/2018 17:06,0
St. Stephen's Green South,9,18,Saturday,31/03/2018 18:07,0
St. Stephen's Green South,12,19,Saturday,31/03/2018 19:09,0
St. Stephen's Green South,14,20,Saturday,31/03/2018 20:07,0
St. Stephen's Green South,14,21,Saturday,31/03/2018 21:05,0
St. Stephen's Green South,13,22,Saturday,31/03/2018 22:04,0
St. Stephen's Green South,14,23,Saturday,31/03/2018 23:05,0
St. Stephen's Green South,17,6,Sunday,01/04/2018 06:06,30
St. Stephen's Green South,17,7,Sunday,01/04/2018 07:07,30
St. Stephen's Green South,18,8,Sunday,01/04/2018 08:02,0
St. Stephen's Green South,19,9,Sunday,01/04/2018 09:07,0
St. Stephen's Green South,19,10,Sunday,01/04/2018 10:02,0
St. Stephen's Green South,19,11,Sunday,01/04/2018 11:07,0
