address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Strand Street Great,13,6,Thursday,29/03/2018 06:05,0
Strand Street Great,9,7,Thursday,29/03/2018 07:00,0
Strand Street Great,12,8,Thursday,29/03/2018 08:04,0
Strand Street Great,13,9,Thursday,29/03/2018 09:02,0
Strand Street Great,14,10,Thursday,29/03/2018 10:05,0
Strand Street Great,17,11,Thursday,29/03/2018 11:04,10
Strand Street Great,17,12,Thursday,29/03/2018 12:05,30
Strand Street Great,14,13,Thursday,29/03/2018 13:01,30
Strand Street Great,15,14,Thursday,29/03/2018 14:04,45
Strand Street Great,14,15,Thursday,29/03/2018 15:09,40
Strand Street Great,14,16,Thursday,29/03/2018 16:00,30
Strand Street Great,18,17,Thursday,29/03/2018 17:02,30
Strand Street Great,24,18,Thursday,29/03/2018 18:00,30
Strand Street Great,27,19,Thursday,29/03/2018 19:02,40
Strand Street Great,29,20,Thursday,29/03/2018 20:01,30
Strand Street Great,29,21,Thursday,29/03/2018 21:02,25
Strand Street Great,28,22,Thursday,29/03/2018 22:04,30
Strand Street Great,26,23,Thursday,29/03/2018 23:01,40
Strand Street Great,26,6,Friday,30/03/2018 06:10,0
Strand Street Great,31,7,Friday,30/03/2018 07:06,0
Strand Street Great,35,8,Friday,30/03/2018 08:02,0
Strand Street Great,35,9,Friday,30/03/2018 09:02,0
Strand Street Great,35,10,Friday,30/03/2018 10:00,20
Strand Street Great,34,11,Friday,30/03/2018 11:03,20
Strand Street Great,35,12,Friday,30/03/2018 12:12,20
Strand Street Great,35,13,Friday,30/03/2018 13:04,20
Strand Street Great,33,14,Friday,30/03/2018 14:03,20
Strand Street Great,18,15,Friday,30/03/2018 15:09,0
Strand Street Great,18,16,Friday,30/03/2018 16:00,0
Strand Street Great,24,17,Friday,30/03/2018 17:04,20
Strand Street Great,22,18,Friday,30/03/2018 18:03,0
Strand Street Great,20,19,Friday,30/03/2018 19:08,0
Strand Street Great,20,20,Friday,30/03/2018 20:03,0
Strand Street Great,22,21,Friday,30/03/2018 21:03,0
Strand Street Great,22,22,Friday,30/03/2018 22:04,0
Strand Street Great,19,23,Friday,30/03/2018 23:05,0
Strand Street Great,19,6,Saturday,31/03/2018 06:01,0
Strand Street Great,19,7,Saturday,31/03/2018 07:02,0
Strand Street Great,8,8,Saturday,31/03/2018 08:05,0
Strand Street Great,3,9,Saturday,31/03/2018 09:01,0
Strand Street Great,8,10,Saturday,31/03/2018 10:00,0
Strand Street Great,11,11,Saturday,31/03/2018 11:06,0
Strand Street Great,19,12,Saturday,31/03/2018 12:02,0
Strand Street Great,29,13,Saturday,31/03/2018 13:00,0
Strand Street Great,35,14,Saturday,31/03/2018 14:05,0
Strand Street Great,34,15,Saturday,31/03/2018 15:03,0
Strand Street Great,34,16,Saturday,31/03/2018 16:02,0
Strand Street Great,34,17,Saturday,31/03/2018 17:01,0
Strand Street Great,34,18,Saturday,31/03/2018 18:05,0
Strand Street Great,30,19,Saturday,31/03/2018 19:00,0
Strand Street Great,30,20,Saturday,31/03/2018 20:04,0
Strand Street Great,33,21,Saturday,31/03/2018 21:05,0
Strand Street Great,31,22,Saturday,31/03/2018 22:05,0
Strand Street Great,27,23,Saturday,31/03/2018 23:00,0
Strand Street Great,29,6,Sunday,01/04/2018 06:04,30
Strand Street Great,30,7,Sunday,01/04/2018 07:05,30
Strand Street Great,33,8,Sunday,01/04/2018 08:05,0
Strand Street Great,35,9,Sunday,01/04/2018 09:01,0
Strand Street Great,35,10,Sunday,01/04/2018 10:05,0
