address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Talbot Street,6,6,Thursday,29/03/2018 06:01,0
Talbot Street,5,7,Thursday,29/03/2018 07:03,0
Talbot Street,4,8,Thursday,29/03/2018 08:00,0
Talbot Street,2,9,Thursday,29/03/2018 09:10,0
Talbot Street,3,10,Thursday,29/03/2018 10:06,0
Talbot Street,9,11,Thursday,29/03/2018 11:03,10
Talbot Street,9,12,Thursday,29/03/2018 12:06,30
Talbot Street,11,13,Thursday,29/03/2018 13:01,30
Talbot Street,13,14,Thursday,29/03/2018 14:06,45
Talbot Street,12,15,Thursday,29/03/2018 15:02,40
Talbot Street,17,16,Thursday,29/03/2018 16:01,30
Talbot Street,19,17,Thursday,29/03/2018 17:02,30
Talbot Street,23,18,Thursday,29/03/2018 18:00,30
Talbot Street,21,19,Thursday,29/03/2018 19:03,40
Talbot Street,26,20,Thursday,29/03/2018 20:02,30
Talbot Street,26,21,Thursday,29/03/2018 21:03,25
Talbot Street,27,22,Thursday,29/03/2018 22:07,30
Talbot Street,27,23,Thursday,29/03/2018 23:03,40
Talbot Street,28,6,Friday,30/03/2018 06:09,0
Talbot Street,35,7,Friday,30/03/2018 07:00,0
Talbot Street,40,8,Friday,30/03/2018 08:00,0
Talbot Street,38,9,Friday,30/03/2018 09:07,0
Talbot Street,38,10,Friday,30/03/2018 10:02,20
Talbot Street,37,11,Friday,30/03/2018 11:00,20
Talbot Street,35,12,Friday,30/03/2018 12:06,20
Talbot Street,39,13,Friday,30/03/2018 13:06,20
Talbot Street,40,14,Friday,30/03/2018 14:07,20
Talbot Street,39,15,Friday,30/03/2018 15:03,0
Talbot Street,39,16,Friday,30/03/2018 16:01,0
Talbot Street,35,17,Friday,30/03/2018 17:03,20
Talbot Street,34,18,Friday,30/03/2018 18:03,0
Talbot Street,31,19,Friday,30/03/2018 19:03,0
Talbot Street,33,20,Friday,30/03/2018 20:00,0
Talbot Street,34,21,Friday,30/03/2018 21:05,0
Talbot Street,30,22,Friday,30/03/2018 22:02,0
Talbot Street,27,23,Friday,30/03/2018 23:00,0
Talbot Street,25,6,Saturday,31/03/2018 06:05,0
Talbot Street,25,7,Saturday,31/03/2018 07:02,0
Talbot Street,27,8,Saturday,31/03/2018 08:03,0
Talbot Street,30,9,Saturday,31/03/2018 09:09,0
Talbot Street,32,10,Saturday,31/03/2018 10:03,0
Talbot Street,35,11,Saturday,31/03/2018 11:01,0
Talbot Street,39,12,Saturday,31/03/2018 12:08,0
Talbot Street,40,13,Saturday,31/03/2018 13:04,0
Talbot Street,39,14,Saturday,31/03/2018 14:05,0
Talbot Street,37,15,Saturday,31/03/2018 15:03,0
Talbot Street,39,16,Saturday,31/03/2018 16:05,0
Talbot Street,39,17,Saturday,31/03/2018 17:11,0
Talbot Street,39,18,Saturday,31/03/2018 18:01,0
Talbot Street,38,19,Saturday,31/03/2018 19:06,0
Talbot Street,35,20,Saturday,31/03/2018 20:01,0
Talbot Street,36,21,Saturday,31/03/2018 21:02,0
Talbot Street,39,22,Saturday,31/03/2018 22:00,0
Talbot Street,37,23,Saturday,31/03/2018 23:00,0
Talbot Street,36,6,Sunday,01/04/2018 06:02,30
Talbot Street,38,7,Sunday,01/04/2018 07:02,30
Talbot Street,39,8,Sunday,01/04/2018 08:05,0
Talbot Street,36,9,Sunday,01/04/2018 09:08,0
Talbot Street,36,10,Sunday,01/04/2018 10:00,0
