address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Upper Sherrard Street,9,6,Thursday,29/03/2018 06:04,0
Upper Sherrard Street,1,7,Thursday,29/03/2018 07:03,0
Upper Sherrard Street,0,8,Thursday,29/03/2018 08:06,0
Upper Sherrard Street,1,9,Thursday,29/03/2018 09:07,0
Upper Sherrard Street,1,10,Thursday,29/03/2018 10:04,0
Upper Sherrard Street,2,11,Thursday,29/03/2018 11:01,10
Upper Sherrard Street,0,12,Thursday,29/03/2018 12:04,30
Upper Sherrard Street,0,13,Thursday,29/03/2018 13:00,30
Upper Sherrard Street,2,14,Thursday,29/03/2018 14:00,45
Upper Sherrard Street,6,15,Thursday,29/03/2018 15:04,40
Upper Sherrard Street,7,16,Thursday,29/03/2018 16:04,30
Upper Sherrard Street,14,17,Thursday,29/03/2018 17:08,30
Upper Sherrard Street,22,18,Thursday,29/03/2018 18:03,30
Upper Sherrard Street,21,19,Thursday,29/03/2018 19:07,40
Upper Sherrard Street,22,20,Thursday,29/03/2018 20:08,30
Upper Sherrard Street,26,21,Thursday,29/03/2018 21:06,25
Upper Sherrard Street,27,22,Thursday,29/03/2018 22:00,30
Upper Sherrard Street,30,23,Thursday,29/03/2018 23:02,40
Upper Sherrard Street,20,6,Friday,30/03/2018 06:06,0
Upper Sherrard Street,14,7,Friday,30/03/2018 07:05,0
Upper Sherrard Street,8,8,Friday,30/03/2018 08:03,0
Upper Sherrard Street,8,9,Friday,30/03/2018 09:08,0
Upper Sherrard Street,9,10,Friday,30/03/2018 10:03,20
Upper Sherrard Street,8,11,Friday,30/03/2018 11:07,20
Upper Sherrard Street,6,12,Friday,30/03/2018 12:09,20
Upper Sherrard Street,7,13,Friday,30/03/2018 13:02,20
Upper Sherrard Street,5,14,Friday,30/03/2018 14:01,20
Upper Sherrard Street,3,15,Friday,30/03/2018 15:08,0
Upper Sherrard Street,1,16,Friday,30/03/2018 16:03,0
Upper Sherrard Street,1,17,Friday,30/03/2018 17:09,20
Upper Sherrard Street,6,18,Friday,30/03/2018 18:02,0
Upper Sherrard Street,9,19,Friday,30/03/2018 19:05,0
Upper Sherrard Street,11,20,Friday,30/03/2018 20:00,0
Upper Sherrard Street,11,21,Friday,30/03/2018 21:07,0
Upper Sherrard Street,12,22,Friday,30/03/2018 22:09,0
Upper Sherrard Street,16,23,Friday,30/03/2018 23:02,0
Upper Sherrard Street,14,6,Saturday,31/03/2018 06:05,0
Upper Sherrard Street,11,7,Saturday,31/03/2018 07:08,0
Upper Sherrard Street,7,8,Saturday,31/03/2018 08:06,0
Upper Sherrard Street,9,9,Saturday,31/03/2018 09:03,0
Upper Sherrard Street,18,10,Saturday,31/03/2018 10:01,0
Upper Sherrard Street,17,11,Saturday,31/03/2018 11:02,0
Upper Sherrard Street,13,12,Saturday,31/03/2018 12:03,0
Upper Sherrard Street,14,13,Saturday,31/03/2018 13:07,0
Upper Sherrard Street,24,14,Saturday,31/03/2018 14:00,0
Upper Sherrard Street,28,15,Saturday,31/03/2018 15:07,0
Upper Sherrard Street,26,16,Saturday,31/03/2018 16:10,0
Upper Sherrard Street,27,17,Saturday,31/03/2018 17:06,0
Upper Sherrard Street,27,18,Saturday,31/03/2018 18:06,0
Upper Sherrard Street,24,19,Saturday,31/03/2018 19:04,0
Upper Sherrard Street,23,20,Saturday,31/03/2018 20:03,0
Upper Sherrard Street,22,21,Saturday,31/03/2018 21:03,0
Upper Sherrard Street,21,22,Saturday,31/03/2018 22:09,0
Upper Sherrard Street,22,23,Saturday,31/03/2018 23:08,0
Upper Sherrard Street,17,6,Sunday,01/04/2018 06:01,30
Upper Sherrard Street,16,7,Sunday,01/04/2018 07:08,30
Upper Sherrard Street,14,8,Sunday,01/04/2018 08:05,0
Upper Sherrard Street,7,9,Sunday,01/04/2018 09:04,0
Upper Sherrard Street,1,10,Sunday,01/04/2018 10:00,0
Upper Sherrard Street,1,11,Sunday,01/04/2018 11:04,0
Upper Sherrard Street,1,12,Sunday,01/04/2018 12:09,0
Upper Sherrard Street,4,13,Sunday,01/04/2018 13:06,0
Upper Sherrard Street,1,14,Sunday,01/04/2018 14:09,0
Upper Sherrard Street,1,15,Sunday,01/04/2018 15:01,0
Upper Sherrard Street,0,16,Sunday,01/04/2018 16:09,0
Upper Sherrard Street,1,17,Sunday,01/04/2018 17:00,0
Upper Sherrard Street,4,18,Sunday,01/04/2018 18:00,0
Upper Sherrard Street,4,19,Sunday,01/04/2018 19:03,0
Upper Sherrard Street,3,20,Sunday,01/04/2018 20:09,45
Upper Sherrard Street,2,21,Sunday,01/04/2018 21:00,50
Upper Sherrard Street,0,22,Sunday,01/04/2018 22:08,50
Upper Sherrard Street,2,23,Sunday,01/04/2018 23:00,60
Upper Sherrard Street,0,6,Monday,02/04/2018 06:04,70
Upper Sherrard Street,1,7,Monday,02/04/2018 07:07,70
Upper Sherrard Street,2,8,Monday,02/04/2018 08:02,60
Upper Sherrard Street,0,9,Monday,02/04/2018 09:01,70
Upper Sherrard Street,1,10,Monday,02/04/2018 10:07,65
Upper Sherrard Street,0,11,Monday,02/04/2018 11:02,70
Upper Sherrard Street,2,12,Monday,02/04/2018 12:01,70
Upper Sherrard Street,0,13,Monday,02/04/2018 13:07,70
Upper Sherrard Street,1,14,Monday,02/04/2018 14:02,60
Upper Sherrard Street,1,15,Monday,02/04/2018 15:07,60
Upper Sherrard Street,1,16,Monday,02/04/2018 16:04,60
Upper Sherrard Street,1,17,Monday,02/04/2018 17:03,50
Upper Sherrard Street,3,18,Monday,02/04/2018 18:03,40
Upper Sherrard Street,4,19,Monday,02/04/2018 19:03,0
Upper Sherrard Street,6,20,Monday,02/04/2018 20:08,0
Upper Sherrard Street,7,21,Monday,02/04/2018 21:09,40
Upper Sherrard Street,8,22,Monday,02/04/2018 22:00,50
Upper Sherrard Street,9,23,Monday,02/04/2018 23:07,60
Upper Sherrard Street,9,6,Tuesday,03/04/2018 06:05,0
Upper Sherrard Street,0,7,Tuesday,03/04/2018 07:00,20
Upper Sherrard Street,0,8,Tuesday,03/04/2018 08:01,20
Upper Sherrard Street,3,9,Tuesday,03/04/2018 09:02,0
Upper Sherrard Street,7,10,Tuesday,03/04/2018 10:04,0
Upper Sherrard Street,4,11,Tuesday,03/04/2018 11:10,0
Upper Sherrard Street,6,12,Tuesday,03/04/2018 12:06,30
Upper Sherrard Street,6,13,Tuesday,03/04/2018 13:11,40
Upper Sherrard Street,17,14,Tuesday,03/04/2018 14:00,20
Upper Sherrard Street,24,15,Tuesday,03/04/2018 15:03,20
Upper Sherrard Street,22,16,Tuesday,03/04/2018 16:02,30
Upper Sherrard Street,29,17,Tuesday,03/04/2018 17:00,0
Upper Sherrard Street,30,18,Tuesday,03/04/2018 18:07,0
Upper Sherrard Street,30,19,Tuesday,03/04/2018 19:04,0
Upper Sherrard Street,30,20,Tuesday,03/04/2018 20:08,0
Upper Sherrard Street,30,21,Tuesday,03/04/2018 21:09,0
