Station,Lat,Lng
Barrow Street,53.3417,-6.2362
Benson Street,53.3442,-6.23345
Blackhall Place,53.3488,-6.28164
Blessington Street,53.3568,-6.26814
Bolton Street,53.3512,-6.26986
Brookfield Road,53.339,-6.30022
Cathal Brugha Street,53.3521,-6.26053
Charlemont Street,53.3307,-6.26018
Christchurch Place,53.3434,-6.27012
City Quay,53.3466,-6.24615
Clarendon Row,53.3409,-6.2625
Clonmel Street,53.336,-6.26298
Collins Barracks Museum,53.3475,-6.28525
Convention Centre,53.3474,-6.23852
Custom House,53.3483,-6.25466
Custom House Quay,53.3479,-6.24805
Dame Street,53.344,-6.2668
Denmark Street Great,53.3556,-6.2614
Deverell Place,53.3515,-6.25527
Earlsfort Terrace,53.334,-6.25837
Eccles Street,53.3592,-6.26978
Eccles Street East,53.3581,-6.2656
Emmet Road,53.3407,-6.30819
Exchequer Street,53.343,-6.26358
Excise Walk,53.3478,-6.24424
Fenian Street,53.3414,-6.24672
Fitzwilliam Square East,53.3352,-6.2509
Fitzwilliam Square West,53.3361,-6.25282
Fownes Street Upper,53.3446,-6.26337
Francis Street,53.3421,-6.27523
Frederick Street South,53.3415,-6.25685
Georges Quay,53.3475,-6.25219
Golden Lane,53.3408,-6.26773
Grand Canal Dock,53.3426,-6.2387
Grantham Street,53.3341,-6.26544
Grattan Street,53.3396,-6.24378
Greek Street,53.3469,-6.27298
Guild Street,53.3479,-6.24093
Hanover Quay,53.3441,-6.23715
Harcourt Terrace,53.3328,-6.25794
Hardwicke Place,53.357,-6.26323
Hardwicke Street,53.3555,-6.26442
Hatch Street,53.334,-6.26071
Herbert Place,53.3344,-6.24557
Herbert Street,53.3357,-6.24551
Heuston Bridge (North),53.3478,-6.29243
Heuston Bridge (South),53.3471,-6.29204
Heuston Station (Car Park),53.347,-6.2978
Heuston Station (Central),53.3466,-6.29692
High Street,53.3436,-6.27507
James Street,53.3435,-6.28741
Jervis Street,53.3483,-6.26665
John Street West,53.3431,-6.27717
Kevin Street,53.3378,-6.2677
Kilmainham Gaol,53.3421,-6.31002
Kilmainham Lane,53.3418,-6.30509
King Street North,53.3503,-6.27351
Leinster Street South,53.3422,-6.25449
Lime Street,53.346,-6.24358
Market Street South,53.3423,-6.28766
Mater Hospital,53.36,-6.26483
Merrion Square East,53.3394,-6.24655
Merrion Square West,53.3398,-6.25199
Molesworth Street,53.3413,-6.25812
Mount Brown,53.3416,-6.29719
Mount Street Lower,53.338,-6.24153
Mountjoy Square West,53.3563,-6.25859
New Central Bank,53.3471,-6.23475
Newman House,53.3371,-6.26059
North Circular Road,53.3596,-6.26035
Oliver Bond Street,53.3439,-6.28053
Ormond Quay Upper,53.3461,-6.268
Parkgate Street,53.348,-6.2918
Parnell Square North,53.3535,-6.26531
Parnell Street,53.3509,-6.26512
Pearse Street,53.3443,-6.25043
Portobello Harbour,53.3304,-6.26516
Portobello Road,53.3301,-6.26804
Princes Street / O'Connell Street,53.349,-6.26031
Rothe Abbey,53.3388,-6.30395
Royal Hospital,53.3439,-6.29706
Sandwith Street,53.3452,-6.24716
Sir Patrick's Dun,53.3392,-6.24064
Smithfield,53.3477,-6.27821
Smithfield North,53.3496,-6.2782
South Dock Road,53.3418,-6.23129
St James Hospital (Luas),53.3414,-6.29295
St. James Hospital (Central),53.34,-6.29559
St. Stephen's Green East,53.3378,-6.25603
St. Stephen's Green South,53.3375,-6.26199
Strand Street Great,53.3471,-6.26419
Talbot Street,53.351,-6.25294
The Point,53.3469,-6.23085
Townsend Street,53.3459,-6.25461
Upper Sherrard Street,53.3584,-6.26064
Western Way,53.3549,-6.26942
Wilton Terrace,53.3324,-6.25272
Wolfe Tone Street,53.3489,-6.26746
York Street East,53.3388,-6.262
York Street West,53.3393,-6.2647
