address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Blackhall Place,15,6,Thursday,29/03/2018 06:00,0
Blackhall Place,4,7,Thursday,29/03/2018 07:02,0
Blackhall Place,0,8,Thursday,29/03/2018 08:08,0
Blackhall Place,0,9,Thursday,29/03/2018 09:09,0
Blackhall Place,0,10,Thursday,29/03/2018 10:09,0
Blackhall Place,0,11,Thursday,29/03/2018 11:00,10
Blackhall Place,0,12,Thursday,29/03/2018 12:01,30
Blackhall Place,1,13,Thursday,29/03/2018 13:05,30
Blackhall Place,0,14,Thursday,29/03/2018 14:03,45
Blackhall Place,2,15,Thursday,29/03/2018 15:00,40
Blackhall Place,4,16,Thursday,29/03/2018 16:08,30
Blackhall Place,8,17,Thursday,29/03/2018 17:01,30
Blackhall Place,14,18,Thursday,29/03/2018 18:13,30
Blackhall Place,12,19,Thursday,29/03/2018 19:05,40
Blackhall Place,12,20,Thursday,29/03/2018 20:03,30
Blackhall Place,13,21,Thursday,29/03/2018 21:06,25
Blackhall Place,15,22,Thursday,29/03/2018 22:06,30
Blackhall Place,14,23,Thursday,29/03/2018 23:03,40
Blackhall Place,10,6,Friday,30/03/2018 06:09,0
Blackhall Place,3,7,Friday,30/03/2018 07:06,0
Blackhall Place,1,8,Friday,30/03/2018 08:00,0
Blackhall Place,0,9,Friday,30/03/2018 09:00,0
Blackhall Place,2,10,Friday,30/03/2018 10:01,20
Blackhall Place,1,11,Friday,30/03/2018 11:08,20
Blackhall Place,10,12,Friday,30/03/2018 12:08,20
Blackhall Place,10,13,Friday,30/03/2018 13:05,20
Blackhall Place,9,14,Friday,30/03/2018 14:03,20
Blackhall Place,7,15,Friday,30/03/2018 15:02,0
Blackhall Place,7,16,Friday,30/03/2018 16:13,0
Blackhall Place,8,17,Friday,30/03/2018 17:04,20
Blackhall Place,8,18,Friday,30/03/2018 18:04,0
Blackhall Place,9,19,Friday,30/03/2018 19:04,0
Blackhall Place,10,20,Friday,30/03/2018 20:06,0
Blackhall Place,20,21,Friday,30/03/2018 21:04,0
Blackhall Place,21,22,Friday,30/03/2018 22:06,0
Blackhall Place,23,23,Friday,30/03/2018 23:07,0
Blackhall Place,19,6,Saturday,31/03/2018 06:04,0
Blackhall Place,18,7,Saturday,31/03/2018 07:08,0
Blackhall Place,16,8,Saturday,31/03/2018 08:03,0
Blackhall Place,14,9,Saturday,31/03/2018 09:07,0
Blackhall Place,10,10,Saturday,31/03/2018 10:04,0
Blackhall Place,8,11,Saturday,31/03/2018 11:07,0
Blackhall Place,6,12,Saturday,31/03/2018 12:08,0
Blackhall Place,4,13,Saturday,31/03/2018 13:02,0
Blackhall Place,4,14,Saturday,31/03/2018 14:04,0
Blackhall Place,3,15,Saturday,31/03/2018 15:07,0
Blackhall Place,1,16,Saturday,31/03/2018 16:09,0
Blackhall Place,2,17,Saturday,31/03/2018 17:06,0
Blackhall Place,0,18,Saturday,31/03/2018 18:00,0
Blackhall Place,0,19,Saturday,31/03/2018 19:08,0
Blackhall Place,1,20,Saturday,31/03/2018 20:09,0
Blackhall Place,1,21,Saturday,31/03/2018 21:01,0
Blackhall Place,1,22,Saturday,31/03/2018 22:05,0
Blackhall Place,3,23,Saturday,31/03/2018 23:04,0
Blackhall Place,3,6,Sunday,01/04/2018 06:09,30
Blackhall Place,3,7,Sunday,01/04/2018 07:00,30
Blackhall Place,3,8,Sunday,01/04/2018 08:06,0
