address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Blessington Street,4,6,Thursday,29/03/2018 06:09,0
Blessington Street,0,7,Thursday,29/03/2018 07:00,0
Blessington Street,6,8,Thursday,29/03/2018 08:07,0
Blessington Street,3,9,Thursday,29/03/2018 09:04,0
Blessington Street,6,10,Thursday,29/03/2018 10:04,0
Blessington Street,7,11,Thursday,29/03/2018 11:08,10
Blessington Street,3,12,Thursday,29/03/2018 12:09,30
Blessington Street,0,13,Thursday,29/03/2018 13:00,30
Blessington Street,0,14,Thursday,29/03/2018 14:01,45
Blessington Street,1,15,Thursday,29/03/2018 15:01,40
Blessington Street,1,16,Thursday,29/03/2018 16:12,30
Blessington Street,4,17,Thursday,29/03/2018 17:00,30
Blessington Street,8,18,Thursday,29/03/2018 18:07,30
Blessington Street,6,19,Thursday,29/03/2018 19:06,40
Blessington Street,6,20,Thursday,29/03/2018 20:03,30
Blessington Street,6,21,Thursday,29/03/2018 21:08,25
Blessington Street,7,22,Thursday,29/03/2018 22:07,30
Blessington Street,6,23,Thursday,29/03/2018 23:03,40
Blessington Street,5,6,Friday,30/03/2018 06:01,0
Blessington Street,9,7,Friday,30/03/2018 07:02,0
Blessington Street,6,8,Friday,30/03/2018 08:06,0
Blessington Street,11,9,Friday,30/03/2018 09:05,0
Blessington Street,9,10,Friday,30/03/2018 10:05,20
Blessington Street,4,11,Friday,30/03/2018 11:07,20
Blessington Street,2,12,Friday,30/03/2018 12:03,20
Blessington Street,0,13,Friday,30/03/2018 13:06,20
Blessington Street,2,14,Friday,30/03/2018 14:08,20
Blessington Street,1,15,Friday,30/03/2018 15:03,0
Blessington Street,1,16,Friday,30/03/2018 16:01,0
Blessington Street,1,17,Friday,30/03/2018 17:03,20
Blessington Street,1,18,Friday,30/03/2018 18:03,0
Blessington Street,2,19,Friday,30/03/2018 19:10,0
Blessington Street,3,20,Friday,30/03/2018 20:09,0
Blessington Street,4,21,Friday,30/03/2018 21:08,0
Blessington Street,5,22,Friday,30/03/2018 22:00,0
Blessington Street,5,23,Friday,30/03/2018 23:04,0
Blessington Street,6,6,Saturday,31/03/2018 06:01,0
Blessington Street,10,7,Saturday,31/03/2018 07:02,0
Blessington Street,6,8,Saturday,31/03/2018 08:00,0
Blessington Street,2,9,Saturday,31/03/2018 09:09,0
Blessington Street,1,10,Saturday,31/03/2018 10:07,0
Blessington Street,0,11,Saturday,31/03/2018 11:03,0
Blessington Street,4,12,Saturday,31/03/2018 12:02,0
Blessington Street,6,13,Saturday,31/03/2018 13:01,0
Blessington Street,3,14,Saturday,31/03/2018 14:01,0
Blessington Street,0,15,Saturday,31/03/2018 15:05,0
Blessington Street,2,16,Saturday,31/03/2018 16:06,0
Blessington Street,1,17,Saturday,31/03/2018 17:06,0
Blessington Street,2,18,Saturday,31/03/2018 18:03,0
Blessington Street,0,19,Saturday,31/03/2018 19:02,0
Blessington Street,1,20,Saturday,31/03/2018 20:03,0
Blessington Street,2,21,Saturday,31/03/2018 21:07,0
Blessington Street,2,22,Saturday,31/03/2018 22:02,0
