address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Brookfield Road,24,6,Thursday,29/03/2018 06:07,0
Brookfield Road,9,7,Thursday,29/03/2018 07:02,0
Brookfield Road,0,8,Thursday,29/03/2018 08:04,0
Brookfield Road,0,9,Thursday,29/03/2018 09:07,0
Brookfield Road,0,10,Thursday,29/03/2018 10:08,0
Brookfield Road,0,11,Thursday,29/03/2018 11:04,10
Brookfield Road,0,12,Thursday,29/03/2018 12:05,30
Brookfield Road,1,13,Thursday,29/03/2018 13:05,30
Brookfield Road,4,14,Thursday,29/03/2018 14:08,45
Brookfield Road,6,15,Thursday,29/03/2018 15:03,40
Brookfield Road,9,16,Thursday,29/03/2018 16:06,30
Brookfield Road,18,17,Thursday,29/03/2018 17:04,30
Brookfield Road,21,18,Thursday,29/03/2018 18:06,30
Brookfield Road,20,19,Thursday,29/03/2018 19:07,40
Brookfield Road,21,20,Thursday,29/03/2018 20:02,30
Brookfield Road,22,21,Thursday,29/03/2018 21:03,25
Brookfield Road,24,22,Thursday,29/03/2018 22:08,30
Brookfield Road,26,23,Thursday,29/03/2018 23:05,40
Brookfield Road,24,6,Friday,30/03/2018 06:01,0
Brookfield Road,21,7,Friday,30/03/2018 07:01,0
Brookfield Road,13,8,Friday,30/03/2018 08:00,0
Brookfield Road,10,9,Friday,30/03/2018 09:02,0
Brookfield Road,8,10,Friday,30/03/2018 10:03,20
Brookfield Road,6,11,Friday,30/03/2018 11:03,20
Brookfield Road,5,12,Friday,30/03/2018 12:03,20
Brookfield Road,5,13,Friday,30/03/2018 13:00,20
Brookfield Road,7,14,Friday,30/03/2018 14:01,20
Brookfield Road,9,15,Friday,30/03/2018 15:03,0
Brookfield Road,8,16,Friday,30/03/2018 16:02,0
Brookfield Road,10,17,Friday,30/03/2018 17:01,20
Brookfield Road,9,18,Friday,30/03/2018 18:02,0
Brookfield Road,9,19,Friday,30/03/2018 19:02,0
Brookfield Road,9,20,Friday,30/03/2018 20:03,0
Brookfield Road,11,21,Friday,30/03/2018 21:01,0
Brookfield Road,11,22,Friday,30/03/2018 22:00,0
Brookfield Road,11,23,Friday,30/03/2018 23:02,0
Brookfield Road,11,6,Saturday,31/03/2018 06:07,0
Brookfield Road,9,7,Saturday,31/03/2018 07:07,0
Brookfield Road,8,8,Saturday,31/03/2018 08:03,0
Brookfield Road,5,9,Saturday,31/03/2018 09:06,0
Brookfield Road,4,10,Saturday,31/03/2018 10:06,0
Brookfield Road,16,11,Saturday,31/03/2018 11:01,0
Brookfield Road,14,12,Saturday,31/03/2018 12:04,0
Brookfield Road,12,13,Saturday,31/03/2018 13:09,0
Brookfield Road,12,14,Saturday,31/03/2018 14:04,0
Brookfield Road,11,15,Saturday,31/03/2018 15:07,0
Brookfield Road,12,16,Saturday,31/03/2018 16:02,0
Brookfield Road,17,17,Saturday,31/03/2018 17:06,0
Brookfield Road,17,18,Saturday,31/03/2018 18:01,0
Brookfield Road,15,19,Saturday,31/03/2018 19:04,0
Brookfield Road,15,20,Saturday,31/03/2018 20:09,0
Brookfield Road,16,21,Saturday,31/03/2018 21:03,0
Brookfield Road,17,22,Saturday,31/03/2018 22:07,0
Brookfield Road,20,23,Saturday,31/03/2018 23:03,0
Brookfield Road,21,6,Sunday,01/04/2018 06:05,30
Brookfield Road,19,7,Sunday,01/04/2018 07:02,30
