address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Cathal Brugha Street,15,6,Thursday,29/03/2018 06:01,0
Cathal Brugha Street,17,7,Thursday,29/03/2018 07:05,0
Cathal Brugha Street,12,8,Thursday,29/03/2018 08:04,0
Cathal Brugha Street,10,9,Thursday,29/03/2018 09:10,0
Cathal Brugha Street,9,10,Thursday,29/03/2018 10:05,0
Cathal Brugha Street,8,11,Thursday,29/03/2018 11:05,10
Cathal Brugha Street,13,12,Thursday,29/03/2018 12:02,30
Cathal Brugha Street,13,13,Thursday,29/03/2018 13:10,30
Cathal Brugha Street,17,14,Thursday,29/03/2018 14:04,45
Cathal Brugha Street,20,15,Thursday,29/03/2018 15:06,40
Cathal Brugha Street,20,16,Thursday,29/03/2018 16:02,30
Cathal Brugha Street,12,17,Thursday,29/03/2018 17:07,30
Cathal Brugha Street,14,18,Thursday,29/03/2018 18:01,30
Cathal Brugha Street,19,19,Thursday,29/03/2018 19:06,40
Cathal Brugha Street,18,20,Thursday,29/03/2018 20:10,30
Cathal Brugha Street,19,21,Thursday,29/03/2018 21:01,25
Cathal Brugha Street,20,22,Thursday,29/03/2018 22:07,30
Cathal Brugha Street,20,23,Thursday,29/03/2018 23:07,40
Cathal Brugha Street,19,6,Friday,30/03/2018 06:00,0
Cathal Brugha Street,20,7,Friday,30/03/2018 07:05,0
Cathal Brugha Street,19,8,Friday,30/03/2018 08:06,0
Cathal Brugha Street,18,9,Friday,30/03/2018 09:00,0
Cathal Brugha Street,14,10,Friday,30/03/2018 10:09,20
Cathal Brugha Street,14,11,Friday,30/03/2018 11:07,20
Cathal Brugha Street,19,12,Friday,30/03/2018 12:06,20
Cathal Brugha Street,19,13,Friday,30/03/2018 13:05,20
Cathal Brugha Street,18,14,Friday,30/03/2018 14:05,20
Cathal Brugha Street,19,15,Friday,30/03/2018 15:09,0
Cathal Brugha Street,20,16,Friday,30/03/2018 16:06,0
Cathal Brugha Street,18,17,Friday,30/03/2018 17:02,20
Cathal Brugha Street,17,18,Friday,30/03/2018 18:00,0
Cathal Brugha Street,19,19,Friday,30/03/2018 19:03,0
Cathal Brugha Street,18,20,Friday,30/03/2018 20:05,0
Cathal Brugha Street,15,21,Friday,30/03/2018 21:05,0
Cathal Brugha Street,11,22,Friday,30/03/2018 22:01,0
Cathal Brugha Street,11,23,Friday,30/03/2018 23:02,0
Cathal Brugha Street,15,6,Saturday,31/03/2018 06:00,0
Cathal Brugha Street,15,7,Saturday,31/03/2018 07:02,0
Cathal Brugha Street,13,8,Saturday,31/03/2018 08:03,0
Cathal Brugha Street,12,9,Saturday,31/03/2018 09:01,0
Cathal Brugha Street,12,10,Saturday,31/03/2018 10:01,0
Cathal Brugha Street,13,11,Saturday,31/03/2018 11:00,0
Cathal Brugha Street,18,12,Saturday,31/03/2018 12:07,0
Cathal Brugha Street,20,13,Saturday,31/03/2018 13:02,0
Cathal Brugha Street,20,14,Saturday,31/03/2018 14:02,0
Cathal Brugha Street,20,15,Saturday,31/03/2018 15:10,0
Cathal Brugha Street,20,16,Saturday,31/03/2018 16:00,0
Cathal Brugha Street,18,17,Saturday,31/03/2018 17:02,0
Cathal Brugha Street,15,18,Saturday,31/03/2018 18:03,0
Cathal Brugha Street,15,19,Saturday,31/03/2018 19:00,0
Cathal Brugha Street,19,20,Saturday,31/03/2018 20:00,0
Cathal Brugha Street,19,21,Saturday,31/03/2018 21:07,0
Cathal Brugha Street,19,22,Saturday,31/03/2018 22:05,0
Cathal Brugha Street,19,23,Saturday,31/03/2018 23:04,0
Cathal Brugha Street,16,6,Sunday,01/04/2018 06:07,30
Cathal Brugha Street,16,7,Sunday,01/04/2018 07:01,30
Cathal Brugha Street,16,8,Sunday,01/04/2018 08:08,0
Cathal Brugha Street,18,9,Sunday,01/04/2018 09:00,0
Cathal Brugha Street,20,10,Sunday,01/04/2018 10:08,0
Cathal Brugha Street,17,11,Sunday,01/04/2018 11:05,0
Cathal Brugha Street,18,12,Sunday,01/04/2018 12:06,0
Cathal Brugha Street,18,13,Sunday,01/04/2018 13:06,0
Cathal Brugha Street,19,14,Sunday,01/04/2018 14:00,0
Cathal Brugha Street,19,15,Sunday,01/04/2018 15:01,0
Cathal Brugha Street,20,16,Sunday,01/04/2018 16:01,0
Cathal Brugha Street,19,17,Sunday,01/04/2018 17:00,0
Cathal Brugha Street,19,18,Sunday,01/04/2018 18:00,0
Cathal Brugha Street,15,19,Sunday,01/04/2018 19:07,0
Cathal Brugha Street,13,20,Sunday,01/04/2018 20:01,45
Cathal Brugha Street,16,21,Sunday,01/04/2018 21:03,50
Cathal Brugha Street,19,22,Sunday,01/04/2018 22:12,50
Cathal Brugha Street,20,23,Sunday,01/04/2018 23:03,60
Cathal Brugha Street,15,6,Monday,02/04/2018 06:03,70
Cathal Brugha Street,16,7,Monday,02/04/2018 07:04,70
Cathal Brugha Street,16,8,Monday,02/04/2018 08:02,60
Cathal Brugha Street,14,9,Monday,02/04/2018 09:02,70
Cathal Brugha Street,14,10,Monday,02/04/2018 10:07,65
Cathal Brugha Street,13,11,Monday,02/04/2018 11:12,70
Cathal Brugha Street,11,12,Monday,02/04/2018 12:02,70
Cathal Brugha Street,13,13,Monday,02/04/2018 13:03,70
Cathal Brugha Street,18,14,Monday,02/04/2018 14:04,60
Cathal Brugha Street,19,15,Monday,02/04/2018 15:06,60
Cathal Brugha Street,14,16,Monday,02/04/2018 16:05,60
Cathal Brugha Street,13,17,Monday,02/04/2018 17:10,50
Cathal Brugha Street,10,18,Monday,02/04/2018 18:03,40
Cathal Brugha Street,8,19,Monday,02/04/2018 19:07,0
Cathal Brugha Street,4,20,Monday,02/04/2018 20:04,0
Cathal Brugha Street,1,21,Monday,02/04/2018 21:08,40
Cathal Brugha Street,1,22,Monday,02/04/2018 22:06,50
Cathal Brugha Street,1,23,Monday,02/04/2018 23:09,60
Cathal Brugha Street,1,6,Tuesday,03/04/2018 06:02,0
Cathal Brugha Street,2,7,Tuesday,03/04/2018 07:07,20
Cathal Brugha Street,1,8,Tuesday,03/04/2018 08:02,20
Cathal Brugha Street,1,9,Tuesday,03/04/2018 09:02,0
Cathal Brugha Street,2,10,Tuesday,03/04/2018 10:02,0
Cathal Brugha Street,7,11,Tuesday,03/04/2018 11:00,0
Cathal Brugha Street,6,12,Tuesday,03/04/2018 12:02,30
Cathal Brugha Street,5,13,Tuesday,03/04/2018 13:09,40
Cathal Brugha Street,9,14,Tuesday,03/04/2018 14:08,20
Cathal Brugha Street,11,15,Tuesday,03/04/2018 15:08,20
Cathal Brugha Street,11,16,Tuesday,03/04/2018 16:07,30
Cathal Brugha Street,11,17,Tuesday,03/04/2018 17:05,0
Cathal Brugha Street,13,18,Tuesday,03/04/2018 18:08,0
Cathal Brugha Street,14,19,Tuesday,03/04/2018 19:00,0
Cathal Brugha Street,13,20,Tuesday,03/04/2018 20:00,0
Cathal Brugha Street,14,21,Tuesday,03/04/2018 21:01,0
Cathal Brugha Street,19,22,Tuesday,03/04/2018 22:11,0
Cathal Brugha Street,17,23,Tuesday,03/04/2018 23:05,0
Cathal Brugha Street,14,6,Wednesday,04/04/2018 06:03,40
Cathal Brugha Street,15,7,Wednesday,04/04/2018 07:03,40
Cathal Brugha Street,13,8,Wednesday,04/04/2018 08:09,30
Cathal Brugha Street,14,9,Wednesday,04/04/2018 09:06,40
Cathal Brugha Street,14,10,Wednesday,04/04/2018 10:07,40
Cathal Brugha Street,12,11,Wednesday,04/04/2018 11:05,20
Cathal Brugha Street,16,12,Wednesday,04/04/2018 12:04,0
Cathal Brugha Street,14,13,Wednesday,04/04/2018 13:08,10
Cathal Brugha Street,15,14,Wednesday,04/04/2018 14:04,0
Cathal Brugha Street,16,15,Wednesday,04/04/2018 15:06,20
Cathal Brugha Street,19,16,Wednesday,04/04/2018 16:01,20
Cathal Brugha Street,20,17,Wednesday,04/04/2018 17:06,40
Cathal Brugha Street,19,18,Wednesday,04/04/2018 18:00,0
Cathal Brugha Street,16,19,Wednesday,04/04/2018 19:04,0
Cathal Brugha Street,17,20,Wednesday,04/04/2018 20:05,0
Cathal Brugha Street,18,21,Wednesday,04/04/2018 21:02,40
Cathal Brugha Street,19,22,Wednesday,04/04/2018 22:07,30
Cathal Brugha Street,19,23,Wednesday,04/04/2018 23:05,30
