address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Christchurch Place,1,6,Thursday,29/03/2018 06:01,0
Christchurch Place,1,7,Thursday,29/03/2018 07:03,0
Christchurch Place,5,8,Thursday,29/03/2018 08:00,0
Christchurch Place,2,9,Thursday,29/03/2018 09:05,0
Christchurch Place,2,10,Thursday,29/03/2018 10:02,0
Christchurch Place,1,11,Thursday,29/03/2018 11:03,10
Christchurch Place,3,12,Thursday,29/03/2018 12:00,30
Christchurch Place,3,13,Thursday,29/03/2018 13:02,30
Christchurch Place,3,14,Thursday,29/03/2018 14:01,45
Christchurch Place,3,15,Thursday,29/03/2018 15:06,40
Christchurch Place,1,16,Thursday,29/03/2018 16:07,30
Christchurch Place,2,17,Thursday,29/03/2018 17:06,30
Christchurch Place,4,18,Thursday,29/03/2018 18:02,30
Christchurch Place,6,19,Thursday,29/03/2018 19:01,40
Christchurch Place,3,20,Thursday,29/03/2018 20:08,30
Christchurch Place,4,21,Thursday,29/03/2018 21:10,25
Christchurch Place,1,22,Thursday,29/03/2018 22:08,30
Christchurch Place,1,23,Thursday,29/03/2018 23:02,40
Christchurch Place,4,6,Friday,30/03/2018 06:02,0
Christchurch Place,2,7,Friday,30/03/2018 07:01,0
Christchurch Place,3,8,Friday,30/03/2018 08:04,0
Christchurch Place,1,9,Friday,30/03/2018 09:01,0
Christchurch Place,0,10,Friday,30/03/2018 10:07,20
Christchurch Place,3,11,Friday,30/03/2018 11:04,20
Christchurch Place,7,12,Friday,30/03/2018 12:06,20
Christchurch Place,7,13,Friday,30/03/2018 13:00,20
Christchurch Place,8,14,Friday,30/03/2018 14:03,20
Christchurch Place,7,15,Friday,30/03/2018 15:06,0
Christchurch Place,8,16,Friday,30/03/2018 16:01,0
Christchurch Place,8,17,Friday,30/03/2018 17:00,20
Christchurch Place,12,18,Friday,30/03/2018 18:09,0
Christchurch Place,14,19,Friday,30/03/2018 19:08,0
Christchurch Place,13,20,Friday,30/03/2018 20:06,0
Christchurch Place,15,21,Friday,30/03/2018 21:04,0
Christchurch Place,17,22,Friday,30/03/2018 22:06,0
Christchurch Place,12,23,Friday,30/03/2018 23:01,0
Christchurch Place,9,6,Saturday,31/03/2018 06:02,0
Christchurch Place,9,7,Saturday,31/03/2018 07:03,0
Christchurch Place,9,8,Saturday,31/03/2018 08:07,0
Christchurch Place,9,9,Saturday,31/03/2018 09:04,0
Christchurch Place,10,10,Saturday,31/03/2018 10:06,0
Christchurch Place,12,11,Saturday,31/03/2018 11:00,0
