address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Clarendon Row,11,6,Thursday,29/03/2018 06:04,0
Clarendon Row,17,7,Thursday,29/03/2018 07:04,0
Clarendon Row,26,8,Thursday,29/03/2018 08:00,0
Clarendon Row,29,9,Thursday,29/03/2018 09:09,0
Clarendon Row,27,10,Thursday,29/03/2018 10:05,0
Clarendon Row,30,11,Thursday,29/03/2018 11:01,10
Clarendon Row,29,12,Thursday,29/03/2018 12:06,30
Clarendon Row,25,13,Thursday,29/03/2018 13:00,30
Clarendon Row,24,14,Thursday,29/03/2018 14:04,45
Clarendon Row,22,15,Thursday,29/03/2018 15:07,40
Clarendon Row,28,16,Thursday,29/03/2018 16:00,30
Clarendon Row,30,17,Thursday,29/03/2018 17:01,30
Clarendon Row,31,18,Thursday,29/03/2018 18:00,30
Clarendon Row,31,19,Thursday,29/03/2018 19:02,40
Clarendon Row,27,20,Thursday,29/03/2018 20:01,30
Clarendon Row,19,21,Thursday,29/03/2018 21:07,25
Clarendon Row,10,22,Thursday,29/03/2018 22:06,30
Clarendon Row,7,23,Thursday,29/03/2018 23:01,40
Clarendon Row,7,6,Friday,30/03/2018 06:05,0
Clarendon Row,13,7,Friday,30/03/2018 07:01,0
Clarendon Row,22,8,Friday,30/03/2018 08:02,0
Clarendon Row,29,9,Friday,30/03/2018 09:02,0
Clarendon Row,31,10,Friday,30/03/2018 10:06,20
Clarendon Row,29,11,Friday,30/03/2018 11:02,20
Clarendon Row,28,12,Friday,30/03/2018 12:02,20
Clarendon Row,29,13,Friday,30/03/2018 13:03,20
Clarendon Row,29,14,Friday,30/03/2018 14:12,20
Clarendon Row,28,15,Friday,30/03/2018 15:03,0
Clarendon Row,30,16,Friday,30/03/2018 16:04,0
Clarendon Row,10,17,Friday,30/03/2018 17:04,20
Clarendon Row,11,18,Friday,30/03/2018 18:04,0
Clarendon Row,12,19,Friday,30/03/2018 19:04,0
Clarendon Row,8,20,Friday,30/03/2018 20:07,0
Clarendon Row,9,21,Friday,30/03/2018 21:01,0
Clarendon Row,8,22,Friday,30/03/2018 22:05,0
Clarendon Row,5,23,Friday,30/03/2018 23:01,0
Clarendon Row,10,6,Saturday,31/03/2018 06:02,0
Clarendon Row,15,7,Saturday,31/03/2018 07:05,0
Clarendon Row,11,8,Saturday,31/03/2018 08:09,0
Clarendon Row,9,9,Saturday,31/03/2018 09:09,0
Clarendon Row,16,10,Saturday,31/03/2018 10:02,0
Clarendon Row,19,11,Saturday,31/03/2018 11:09,0
Clarendon Row,22,12,Saturday,31/03/2018 12:03,0
Clarendon Row,25,13,Saturday,31/03/2018 13:09,0
Clarendon Row,30,14,Saturday,31/03/2018 14:00,0
Clarendon Row,29,15,Saturday,31/03/2018 15:09,0
Clarendon Row,25,16,Saturday,31/03/2018 16:05,0
Clarendon Row,17,17,Saturday,31/03/2018 17:06,0
Clarendon Row,15,18,Saturday,31/03/2018 18:03,0
Clarendon Row,24,19,Saturday,31/03/2018 19:07,0
Clarendon Row,27,20,Saturday,31/03/2018 20:06,0
Clarendon Row,25,21,Saturday,31/03/2018 21:10,0
Clarendon Row,22,22,Saturday,31/03/2018 22:03,0
Clarendon Row,20,23,Saturday,31/03/2018 23:04,0
Clarendon Row,22,6,Sunday,01/04/2018 06:09,30
Clarendon Row,25,7,Sunday,01/04/2018 07:07,30
Clarendon Row,31,8,Sunday,01/04/2018 08:00,0
Clarendon Row,31,9,Sunday,01/04/2018 09:02,0
Clarendon Row,14,10,Sunday,01/04/2018 10:04,0
Clarendon Row,18,11,Sunday,01/04/2018 11:09,0
Clarendon Row,24,12,Sunday,01/04/2018 12:00,0
Clarendon Row,27,13,Sunday,01/04/2018 13:03,0
Clarendon Row,8,14,Sunday,01/04/2018 14:06,0
Clarendon Row,9,15,Sunday,01/04/2018 15:05,0
Clarendon Row,10,16,Sunday,01/04/2018 16:04,0
Clarendon Row,11,17,Sunday,01/04/2018 17:00,0
Clarendon Row,11,18,Sunday,01/04/2018 18:06,0
Clarendon Row,13,19,Sunday,01/04/2018 19:08,0
Clarendon Row,17,20,Sunday,01/04/2018 20:03,45
Clarendon Row,19,21,Sunday,01/04/2018 21:01,50
Clarendon Row,17,22,Sunday,01/04/2018 22:08,50
Clarendon Row,15,23,Sunday,01/04/2018 23:00,60
Clarendon Row,20,6,Monday,02/04/2018 06:06,70
Clarendon Row,21,7,Monday,02/04/2018 07:00,70
Clarendon Row,24,8,Monday,02/04/2018 08:01,60
Clarendon Row,27,9,Monday,02/04/2018 09:09,70
Clarendon Row,30,10,Monday,02/04/2018 10:08,65
Clarendon Row,16,11,Monday,02/04/2018 11:01,70
Clarendon Row,16,12,Monday,02/04/2018 12:01,70
Clarendon Row,13,13,Monday,02/04/2018 13:02,70
Clarendon Row,11,14,Monday,02/04/2018 14:05,60
Clarendon Row,15,15,Monday,02/04/2018 15:08,60
Clarendon Row,13,16,Monday,02/04/2018 16:09,60
Clarendon Row,15,17,Monday,02/04/2018 17:03,50
Clarendon Row,10,18,Monday,02/04/2018 18:03,40
Clarendon Row,7,19,Monday,02/04/2018 19:08,0
Clarendon Row,5,20,Monday,02/04/2018 20:07,0
Clarendon Row,4,21,Monday,02/04/2018 21:03,40
Clarendon Row,3,22,Monday,02/04/2018 22:01,50
Clarendon Row,3,23,Monday,02/04/2018 23:02,60
Clarendon Row,19,6,Tuesday,03/04/2018 06:02,0
Clarendon Row,30,7,Tuesday,03/04/2018 07:02,20
Clarendon Row,30,8,Tuesday,03/04/2018 08:06,20
Clarendon Row,30,9,Tuesday,03/04/2018 09:08,0
Clarendon Row,30,10,Tuesday,03/04/2018 10:04,0
Clarendon Row,30,11,Tuesday,03/04/2018 11:02,0
Clarendon Row,30,12,Tuesday,03/04/2018 12:03,30
Clarendon Row,30,13,Tuesday,03/04/2018 13:03,40
Clarendon Row,26,14,Tuesday,03/04/2018 14:04,20
Clarendon Row,23,15,Tuesday,03/04/2018 15:02,20
Clarendon Row,23,16,Tuesday,03/04/2018 16:03,30
Clarendon Row,20,17,Tuesday,03/04/2018 17:05,0
Clarendon Row,12,18,Tuesday,03/04/2018 18:01,0
Clarendon Row,5,19,Tuesday,03/04/2018 19:01,0
Clarendon Row,1,20,Tuesday,03/04/2018 20:01,0
Clarendon Row,1,21,Tuesday,03/04/2018 21:05,0
Clarendon Row,1,22,Tuesday,03/04/2018 22:06,0
Clarendon Row,2,23,Tuesday,03/04/2018 23:01,0
