address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Collins Barracks Museum,30,6,Thursday,29/03/2018 06:09,0
Collins Barracks Museum,12,7,Thursday,29/03/2018 07:04,0
Collins Barracks Museum,1,8,Thursday,29/03/2018 08:00,0
Collins Barracks Museum,0,9,Thursday,29/03/2018 09:00,0
Collins Barracks Museum,0,10,Thursday,29/03/2018 10:03,0
Collins Barracks Museum,0,11,Thursday,29/03/2018 11:01,10
Collins Barracks Museum,1,12,Thursday,29/03/2018 12:06,30
Collins Barracks Museum,1,13,Thursday,29/03/2018 13:08,30
Collins Barracks Museum,1,14,Thursday,29/03/2018 14:01,45
Collins Barracks Museum,3,15,Thursday,29/03/2018 15:08,40
Collins Barracks Museum,6,16,Thursday,29/03/2018 16:02,30
Collins Barracks Museum,15,17,Thursday,29/03/2018 17:07,30
Collins Barracks Museum,19,18,Thursday,29/03/2018 18:00,30
Collins Barracks Museum,21,19,Thursday,29/03/2018 19:08,40
Collins Barracks Museum,21,20,Thursday,29/03/2018 20:00,30
Collins Barracks Museum,20,21,Thursday,29/03/2018 21:06,25
Collins Barracks Museum,23,22,Thursday,29/03/2018 22:02,30
Collins Barracks Museum,24,23,Thursday,29/03/2018 23:05,40
Collins Barracks Museum,18,6,Friday,30/03/2018 06:06,0
Collins Barracks Museum,18,7,Friday,30/03/2018 07:01,0
Collins Barracks Museum,16,8,Friday,30/03/2018 08:04,0
Collins Barracks Museum,14,9,Friday,30/03/2018 09:04,0
Collins Barracks Museum,11,10,Friday,30/03/2018 10:05,20
Collins Barracks Museum,11,11,Friday,30/03/2018 11:04,20
Collins Barracks Museum,10,12,Friday,30/03/2018 12:07,20
Collins Barracks Museum,9,13,Friday,30/03/2018 13:02,20
Collins Barracks Museum,8,14,Friday,30/03/2018 14:03,20
Collins Barracks Museum,8,15,Friday,30/03/2018 15:05,0
Collins Barracks Museum,8,16,Friday,30/03/2018 16:09,0
Collins Barracks Museum,7,17,Friday,30/03/2018 17:00,20
Collins Barracks Museum,6,18,Friday,30/03/2018 18:01,0
Collins Barracks Museum,9,19,Friday,30/03/2018 19:00,0
Collins Barracks Museum,8,20,Friday,30/03/2018 20:02,0
Collins Barracks Museum,8,21,Friday,30/03/2018 21:07,0
Collins Barracks Museum,10,22,Friday,30/03/2018 22:08,0
Collins Barracks Museum,14,23,Friday,30/03/2018 23:00,0
Collins Barracks Museum,14,6,Saturday,31/03/2018 06:00,0
Collins Barracks Museum,13,7,Saturday,31/03/2018 07:01,0
Collins Barracks Museum,11,8,Saturday,31/03/2018 08:05,0
Collins Barracks Museum,9,9,Saturday,31/03/2018 09:06,0
Collins Barracks Museum,7,10,Saturday,31/03/2018 10:00,0
Collins Barracks Museum,4,11,Saturday,31/03/2018 11:08,0
Collins Barracks Museum,6,12,Saturday,31/03/2018 12:07,0
Collins Barracks Museum,1,13,Saturday,31/03/2018 13:05,0
Collins Barracks Museum,2,14,Saturday,31/03/2018 14:04,0
Collins Barracks Museum,4,15,Saturday,31/03/2018 15:05,0
Collins Barracks Museum,7,16,Saturday,31/03/2018 16:05,0
Collins Barracks Museum,12,17,Saturday,31/03/2018 17:07,0
Collins Barracks Museum,13,18,Saturday,31/03/2018 18:02,0
Collins Barracks Museum,13,19,Saturday,31/03/2018 19:06,0
Collins Barracks Museum,13,20,Saturday,31/03/2018 20:05,0
Collins Barracks Museum,13,21,Saturday,31/03/2018 21:06,0
Collins Barracks Museum,11,22,Saturday,31/03/2018 22:04,0
Collins Barracks Museum,13,23,Saturday,31/03/2018 23:05,0
Collins Barracks Museum,12,6,Sunday,01/04/2018 06:04,30
Collins Barracks Museum,10,7,Sunday,01/04/2018 07:04,30
Collins Barracks Museum,10,8,Sunday,01/04/2018 08:08,0
Collins Barracks Museum,9,9,Sunday,01/04/2018 09:00,0
Collins Barracks Museum,6,10,Sunday,01/04/2018 10:02,0
Collins Barracks Museum,1,11,Sunday,01/04/2018 11:05,0
Collins Barracks Museum,0,12,Sunday,01/04/2018 12:05,0
Collins Barracks Museum,1,13,Sunday,01/04/2018 13:06,0
Collins Barracks Museum,2,14,Sunday,01/04/2018 14:05,0
Collins Barracks Museum,1,15,Sunday,01/04/2018 15:03,0
Collins Barracks Museum,1,16,Sunday,01/04/2018 16:07,0
Collins Barracks Museum,4,17,Sunday,01/04/2018 17:01,0
Collins Barracks Museum,6,18,Sunday,01/04/2018 18:09,0
Collins Barracks Museum,3,19,Sunday,01/04/2018 19:02,0
Collins Barracks Museum,0,20,Sunday,01/04/2018 20:03,45
Collins Barracks Museum,0,21,Sunday,01/04/2018 21:00,50
Collins Barracks Museum,2,22,Sunday,01/04/2018 22:01,50
Collins Barracks Museum,4,23,Sunday,01/04/2018 23:01,60
Collins Barracks Museum,2,6,Monday,02/04/2018 06:05,70
Collins Barracks Museum,0,7,Monday,02/04/2018 07:04,70
Collins Barracks Museum,0,8,Monday,02/04/2018 08:05,60
Collins Barracks Museum,0,9,Monday,02/04/2018 09:06,70
Collins Barracks Museum,0,10,Monday,02/04/2018 10:07,65
Collins Barracks Museum,1,11,Monday,02/04/2018 11:08,70
Collins Barracks Museum,1,12,Monday,02/04/2018 12:04,70
Collins Barracks Museum,1,13,Monday,02/04/2018 13:05,70
Collins Barracks Museum,0,14,Monday,02/04/2018 14:00,60
Collins Barracks Museum,1,15,Monday,02/04/2018 15:01,60
Collins Barracks Museum,3,16,Monday,02/04/2018 16:09,60
Collins Barracks Museum,5,17,Monday,02/04/2018 17:01,50
Collins Barracks Museum,8,18,Monday,02/04/2018 18:06,40
Collins Barracks Museum,9,19,Monday,02/04/2018 19:08,0
Collins Barracks Museum,10,20,Monday,02/04/2018 20:06,0
Collins Barracks Museum,11,21,Monday,02/04/2018 21:09,40
Collins Barracks Museum,11,22,Monday,02/04/2018 22:08,50
Collins Barracks Museum,12,23,Monday,02/04/2018 23:01,60
Collins Barracks Museum,6,6,Tuesday,03/04/2018 06:02,0
Collins Barracks Museum,0,7,Tuesday,03/04/2018 07:02,20
Collins Barracks Museum,0,8,Tuesday,03/04/2018 08:03,20
Collins Barracks Museum,0,9,Tuesday,03/04/2018 09:04,0
Collins Barracks Museum,0,10,Tuesday,03/04/2018 10:05,0
Collins Barracks Museum,1,11,Tuesday,03/04/2018 11:06,0
Collins Barracks Museum,0,12,Tuesday,03/04/2018 12:01,30
Collins Barracks Museum,2,13,Tuesday,03/04/2018 13:08,40
Collins Barracks Museum,3,14,Tuesday,03/04/2018 14:05,20
Collins Barracks Museum,4,15,Tuesday,03/04/2018 15:06,20
Collins Barracks Museum,8,16,Tuesday,03/04/2018 16:04,30
Collins Barracks Museum,13,17,Tuesday,03/04/2018 17:03,0
Collins Barracks Museum,19,18,Tuesday,03/04/2018 18:01,0
Collins Barracks Museum,24,19,Tuesday,03/04/2018 19:01,0
Collins Barracks Museum,26,20,Tuesday,03/04/2018 20:05,0
Collins Barracks Museum,28,21,Tuesday,03/04/2018 21:08,0
Collins Barracks Museum,29,22,Tuesday,03/04/2018 22:08,0
Collins Barracks Museum,29,23,Tuesday,03/04/2018 23:03,0
Collins Barracks Museum,26,6,Wednesday,04/04/2018 06:08,40
Collins Barracks Museum,20,7,Wednesday,04/04/2018 07:01,40
Collins Barracks Museum,14,8,Wednesday,04/04/2018 08:01,30
Collins Barracks Museum,12,9,Wednesday,04/04/2018 09:06,40
Collins Barracks Museum,10,10,Wednesday,04/04/2018 10:02,40
Collins Barracks Museum,10,11,Wednesday,04/04/2018 11:04,20
Collins Barracks Museum,12,12,Wednesday,04/04/2018 12:04,0
Collins Barracks Museum,13,13,Wednesday,04/04/2018 13:03,10
Collins Barracks Museum,13,14,Wednesday,04/04/2018 14:04,0
Collins Barracks Museum,16,15,Wednesday,04/04/2018 15:04,20
Collins Barracks Museum,21,16,Wednesday,04/04/2018 16:00,20
Collins Barracks Museum,26,17,Wednesday,04/04/2018 17:00,40
Collins Barracks Museum,32,18,Wednesday,04/04/2018 18:11,0
Collins Barracks Museum,37,19,Wednesday,04/04/2018 19:07,0
Collins Barracks Museum,38,20,Wednesday,04/04/2018 20:12,0
Collins Barracks Museum,38,21,Wednesday,04/04/2018 21:09,40
Collins Barracks Museum,38,22,Wednesday,04/04/2018 22:00,30
Collins Barracks Museum,37,23,Wednesday,04/04/2018 23:05,30
