address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Convention Centre,6,6,Thursday,29/03/2018 06:08,0
Convention Centre,6,7,Thursday,29/03/2018 07:04,0
Convention Centre,35,8,Thursday,29/03/2018 08:04,0
Convention Centre,40,9,Thursday,29/03/2018 09:04,0
Convention Centre,38,10,Thursday,29/03/2018 10:07,0
Convention Centre,29,11,Thursday,29/03/2018 11:00,10
Convention Centre,26,12,Thursday,29/03/2018 12:05,30
Convention Centre,30,13,Thursday,29/03/2018 13:01,30
Convention Centre,30,14,Thursday,29/03/2018 14:05,45
Convention Centre,36,15,Thursday,29/03/2018 15:02,40
Convention Centre,25,16,Thursday,29/03/2018 16:01,30
Convention Centre,5,17,Thursday,29/03/2018 17:02,30
Convention Centre,2,18,Thursday,29/03/2018 18:00,30
Convention Centre,2,19,Thursday,29/03/2018 19:10,40
Convention Centre,1,20,Thursday,29/03/2018 20:05,30
Convention Centre,0,21,Thursday,29/03/2018 21:06,25
Convention Centre,0,22,Thursday,29/03/2018 22:00,30
Convention Centre,0,23,Thursday,29/03/2018 23:02,40
Convention Centre,1,6,Friday,30/03/2018 06:00,0
Convention Centre,0,7,Friday,30/03/2018 07:07,0
Convention Centre,2,8,Friday,30/03/2018 08:01,0
Convention Centre,2,9,Friday,30/03/2018 09:01,0
Convention Centre,1,10,Friday,30/03/2018 10:02,20
Convention Centre,0,11,Friday,30/03/2018 11:04,20
Convention Centre,0,12,Friday,30/03/2018 12:02,20
Convention Centre,1,13,Friday,30/03/2018 13:06,20
Convention Centre,1,14,Friday,30/03/2018 14:06,20
Convention Centre,2,15,Friday,30/03/2018 15:08,0
Convention Centre,2,16,Friday,30/03/2018 16:09,0
Convention Centre,0,17,Friday,30/03/2018 17:00,20
Convention Centre,1,18,Friday,30/03/2018 18:06,0
Convention Centre,0,19,Friday,30/03/2018 19:09,0
Convention Centre,0,20,Friday,30/03/2018 20:09,0
Convention Centre,0,21,Friday,30/03/2018 21:00,0
Convention Centre,0,22,Friday,30/03/2018 22:01,0
Convention Centre,0,23,Friday,30/03/2018 23:02,0
Convention Centre,0,6,Saturday,31/03/2018 06:02,0
Convention Centre,1,7,Saturday,31/03/2018 07:03,0
Convention Centre,1,8,Saturday,31/03/2018 08:08,0
Convention Centre,1,9,Saturday,31/03/2018 09:09,0
Convention Centre,1,10,Saturday,31/03/2018 10:00,0
Convention Centre,2,11,Saturday,31/03/2018 11:07,0
Convention Centre,0,12,Saturday,31/03/2018 12:00,0
Convention Centre,1,13,Saturday,31/03/2018 13:04,0
Convention Centre,2,14,Saturday,31/03/2018 14:00,0
Convention Centre,2,15,Saturday,31/03/2018 15:01,0
Convention Centre,2,16,Saturday,31/03/2018 16:01,0
Convention Centre,2,17,Saturday,31/03/2018 17:00,0
Convention Centre,1,18,Saturday,31/03/2018 18:01,0
Convention Centre,0,19,Saturday,31/03/2018 19:05,0
Convention Centre,1,20,Saturday,31/03/2018 20:06,0
Convention Centre,1,21,Saturday,31/03/2018 21:09,0
Convention Centre,0,22,Saturday,31/03/2018 22:10,0
Convention Centre,0,23,Saturday,31/03/2018 23:00,0
Convention Centre,0,6,Sunday,01/04/2018 06:02,30
Convention Centre,0,7,Sunday,01/04/2018 07:03,30
Convention Centre,0,8,Sunday,01/04/2018 08:04,0
Convention Centre,0,9,Sunday,01/04/2018 09:05,0
Convention Centre,0,10,Sunday,01/04/2018 10:06,0
Convention Centre,0,11,Sunday,01/04/2018 11:07,0
Convention Centre,0,12,Sunday,01/04/2018 12:03,0
Convention Centre,1,13,Sunday,01/04/2018 13:04,0
Convention Centre,1,14,Sunday,01/04/2018 14:00,0
Convention Centre,2,15,Sunday,01/04/2018 15:05,0
Convention Centre,1,16,Sunday,01/04/2018 16:03,0
Convention Centre,0,17,Sunday,01/04/2018 17:02,0
Convention Centre,0,18,Sunday,01/04/2018 18:03,0
Convention Centre,0,19,Sunday,01/04/2018 19:09,0
Convention Centre,0,20,Sunday,01/04/2018 20:00,45
Convention Centre,0,21,Sunday,01/04/2018 21:01,50
Convention Centre,1,22,Sunday,01/04/2018 22:04,50
Convention Centre,1,23,Sunday,01/04/2018 23:05,60
Convention Centre,0,6,Monday,02/04/2018 06:02,70
Convention Centre,1,7,Monday,02/04/2018 07:09,70
Convention Centre,2,8,Monday,02/04/2018 08:07,60
Convention Centre,1,9,Monday,02/04/2018 09:08,70
Convention Centre,1,10,Monday,02/04/2018 10:03,65
