address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Deverell Place,25,6,Thursday,29/03/2018 06:06,0
Deverell Place,21,7,Thursday,29/03/2018 07:03,0
Deverell Place,16,8,Thursday,29/03/2018 08:00,0
Deverell Place,14,9,Thursday,29/03/2018 09:06,0
Deverell Place,12,10,Thursday,29/03/2018 10:00,0
Deverell Place,12,11,Thursday,29/03/2018 11:03,10
Deverell Place,12,12,Thursday,29/03/2018 12:02,30
Deverell Place,13,13,Thursday,29/03/2018 13:06,30
Deverell Place,15,14,Thursday,29/03/2018 14:09,45
Deverell Place,17,15,Thursday,29/03/2018 15:05,40
Deverell Place,22,16,Thursday,29/03/2018 16:01,30
Deverell Place,28,17,Thursday,29/03/2018 17:01,30
Deverell Place,28,18,Thursday,29/03/2018 18:01,30
Deverell Place,28,19,Thursday,29/03/2018 19:08,40
Deverell Place,27,20,Thursday,29/03/2018 20:03,30
Deverell Place,28,21,Thursday,29/03/2018 21:03,25
Deverell Place,29,22,Thursday,29/03/2018 22:05,30
Deverell Place,30,23,Thursday,29/03/2018 23:07,40
Deverell Place,27,6,Friday,30/03/2018 06:09,0
Deverell Place,25,7,Friday,30/03/2018 07:00,0
Deverell Place,28,8,Friday,30/03/2018 08:06,0
Deverell Place,29,9,Friday,30/03/2018 09:05,0
Deverell Place,29,10,Friday,30/03/2018 10:08,20
Deverell Place,29,11,Friday,30/03/2018 11:00,20
Deverell Place,30,12,Friday,30/03/2018 12:07,20
Deverell Place,24,13,Friday,30/03/2018 13:02,20
Deverell Place,16,14,Friday,30/03/2018 14:00,20
Deverell Place,22,15,Friday,30/03/2018 15:05,0
Deverell Place,21,16,Friday,30/03/2018 16:14,0
Deverell Place,21,17,Friday,30/03/2018 17:03,20
Deverell Place,24,18,Friday,30/03/2018 18:08,0
Deverell Place,23,19,Friday,30/03/2018 19:02,0
Deverell Place,26,20,Friday,30/03/2018 20:05,0
Deverell Place,29,21,Friday,30/03/2018 21:00,0
Deverell Place,29,22,Friday,30/03/2018 22:00,0
Deverell Place,30,23,Friday,30/03/2018 23:08,0
Deverell Place,29,6,Saturday,31/03/2018 06:02,0
Deverell Place,13,7,Saturday,31/03/2018 07:03,0
Deverell Place,7,8,Saturday,31/03/2018 08:03,0
Deverell Place,7,9,Saturday,31/03/2018 09:01,0
Deverell Place,6,10,Saturday,31/03/2018 10:00,0
Deverell Place,6,11,Saturday,31/03/2018 11:03,0
Deverell Place,8,12,Saturday,31/03/2018 12:02,0
Deverell Place,9,13,Saturday,31/03/2018 13:01,0
Deverell Place,15,14,Saturday,31/03/2018 14:04,0
Deverell Place,15,15,Saturday,31/03/2018 15:06,0
Deverell Place,17,16,Saturday,31/03/2018 16:08,0
Deverell Place,19,17,Saturday,31/03/2018 17:01,0
Deverell Place,25,18,Saturday,31/03/2018 18:07,0
Deverell Place,27,19,Saturday,31/03/2018 19:08,0
Deverell Place,24,20,Saturday,31/03/2018 20:09,0
Deverell Place,25,21,Saturday,31/03/2018 21:05,0
Deverell Place,26,22,Saturday,31/03/2018 22:04,0
Deverell Place,26,23,Saturday,31/03/2018 23:03,0
Deverell Place,27,6,Sunday,01/04/2018 06:07,30
Deverell Place,26,7,Sunday,01/04/2018 07:08,30
Deverell Place,28,8,Sunday,01/04/2018 08:05,0
Deverell Place,30,9,Sunday,01/04/2018 09:01,0
Deverell Place,30,10,Sunday,01/04/2018 10:05,0
Deverell Place,29,11,Sunday,01/04/2018 11:01,0
Deverell Place,29,12,Sunday,01/04/2018 12:01,0
Deverell Place,30,13,Sunday,01/04/2018 13:05,0
Deverell Place,30,14,Sunday,01/04/2018 14:06,0
Deverell Place,30,15,Sunday,01/04/2018 15:07,0
Deverell Place,30,16,Sunday,01/04/2018 16:08,0
Deverell Place,28,17,Sunday,01/04/2018 17:06,0
Deverell Place,29,18,Sunday,01/04/2018 18:06,0
Deverell Place,29,19,Sunday,01/04/2018 19:09,0
Deverell Place,30,20,Sunday,01/04/2018 20:01,45
Deverell Place,30,21,Sunday,01/04/2018 21:02,50
Deverell Place,30,22,Sunday,01/04/2018 22:00,50
Deverell Place,30,23,Sunday,01/04/2018 23:01,60
Deverell Place,30,6,Monday,02/04/2018 06:02,70
Deverell Place,28,7,Monday,02/04/2018 07:00,70
Deverell Place,26,8,Monday,02/04/2018 08:07,60
Deverell Place,28,9,Monday,02/04/2018 09:07,70
Deverell Place,28,10,Monday,02/04/2018 10:05,65
Deverell Place,27,11,Monday,02/04/2018 11:05,70
Deverell Place,26,12,Monday,02/04/2018 12:05,70
Deverell Place,27,13,Monday,02/04/2018 13:06,70
Deverell Place,29,14,Monday,02/04/2018 14:06,60
Deverell Place,30,15,Monday,02/04/2018 15:09,60
Deverell Place,30,16,Monday,02/04/2018 16:00,60
Deverell Place,29,17,Monday,02/04/2018 17:03,50
Deverell Place,29,18,Monday,02/04/2018 18:03,40
Deverell Place,29,19,Monday,02/04/2018 19:02,0
Deverell Place,29,20,Monday,02/04/2018 20:03,0
Deverell Place,29,21,Monday,02/04/2018 21:04,40
Deverell Place,29,22,Monday,02/04/2018 22:08,50
Deverell Place,28,23,Monday,02/04/2018 23:03,60
Deverell Place,24,6,Tuesday,03/04/2018 06:07,0
Deverell Place,16,7,Tuesday,03/04/2018 07:00,20
Deverell Place,3,8,Tuesday,03/04/2018 08:04,20
Deverell Place,0,9,Tuesday,03/04/2018 09:07,0
Deverell Place,0,10,Tuesday,03/04/2018 10:04,0
Deverell Place,1,11,Tuesday,03/04/2018 11:04,0
Deverell Place,1,12,Tuesday,03/04/2018 12:09,30
Deverell Place,3,13,Tuesday,03/04/2018 13:04,40
Deverell Place,5,14,Tuesday,03/04/2018 14:03,20
Deverell Place,15,15,Tuesday,03/04/2018 15:09,20
Deverell Place,21,16,Tuesday,03/04/2018 16:05,30
Deverell Place,22,17,Tuesday,03/04/2018 17:00,0
Deverell Place,26,18,Tuesday,03/04/2018 18:08,0
Deverell Place,29,19,Tuesday,03/04/2018 19:06,0
Deverell Place,30,20,Tuesday,03/04/2018 20:07,0
Deverell Place,30,21,Tuesday,03/04/2018 21:08,0
