address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Eccles Street,9,6,Thursday,29/03/2018 06:07,0
Eccles Street,0,7,Thursday,29/03/2018 07:03,0
Eccles Street,4,8,Thursday,29/03/2018 08:00,0
Eccles Street,0,9,Thursday,29/03/2018 09:07,0
Eccles Street,9,10,Thursday,29/03/2018 10:06,0
Eccles Street,5,11,Thursday,29/03/2018 11:03,10
Eccles Street,1,12,Thursday,29/03/2018 12:03,30
Eccles Street,0,13,Thursday,29/03/2018 13:08,30
Eccles Street,1,14,Thursday,29/03/2018 14:06,45
Eccles Street,2,15,Thursday,29/03/2018 15:01,40
Eccles Street,10,16,Thursday,29/03/2018 16:07,30
Eccles Street,11,17,Thursday,29/03/2018 17:05,30
Eccles Street,7,18,Thursday,29/03/2018 18:01,30
Eccles Street,5,19,Thursday,29/03/2018 19:02,40
Eccles Street,6,20,Thursday,29/03/2018 20:07,30
Eccles Street,6,21,Thursday,29/03/2018 21:03,25
Eccles Street,7,22,Thursday,29/03/2018 22:06,30
Eccles Street,10,23,Thursday,29/03/2018 23:04,40
Eccles Street,12,6,Friday,30/03/2018 06:11,0
Eccles Street,7,7,Friday,30/03/2018 07:00,0
Eccles Street,3,8,Friday,30/03/2018 08:05,0
Eccles Street,5,9,Friday,30/03/2018 09:00,0
Eccles Street,0,10,Friday,30/03/2018 10:07,20
Eccles Street,2,11,Friday,30/03/2018 11:01,20
Eccles Street,3,12,Friday,30/03/2018 12:00,20
Eccles Street,2,13,Friday,30/03/2018 13:02,20
Eccles Street,3,14,Friday,30/03/2018 14:00,20
Eccles Street,7,15,Friday,30/03/2018 15:04,0
Eccles Street,9,16,Friday,30/03/2018 16:05,0
Eccles Street,10,17,Friday,30/03/2018 17:01,20
Eccles Street,12,18,Friday,30/03/2018 18:01,0
Eccles Street,13,19,Friday,30/03/2018 19:08,0
Eccles Street,12,20,Friday,30/03/2018 20:02,0
Eccles Street,12,21,Friday,30/03/2018 21:00,0
Eccles Street,11,22,Friday,30/03/2018 22:09,0
Eccles Street,10,23,Friday,30/03/2018 23:05,0
Eccles Street,15,6,Saturday,31/03/2018 06:02,0
Eccles Street,15,7,Saturday,31/03/2018 07:02,0
Eccles Street,10,8,Saturday,31/03/2018 08:02,0
Eccles Street,7,9,Saturday,31/03/2018 09:06,0
Eccles Street,3,10,Saturday,31/03/2018 10:09,0
Eccles Street,0,11,Saturday,31/03/2018 11:06,0
Eccles Street,1,12,Saturday,31/03/2018 12:03,0
Eccles Street,4,13,Saturday,31/03/2018 13:02,0
Eccles Street,6,14,Saturday,31/03/2018 14:00,0
Eccles Street,5,15,Saturday,31/03/2018 15:09,0
Eccles Street,4,16,Saturday,31/03/2018 16:02,0
Eccles Street,6,17,Saturday,31/03/2018 17:01,0
Eccles Street,4,18,Saturday,31/03/2018 18:01,0
Eccles Street,1,19,Saturday,31/03/2018 19:08,0
Eccles Street,0,20,Saturday,31/03/2018 20:04,0
Eccles Street,1,21,Saturday,31/03/2018 21:03,0
Eccles Street,2,22,Saturday,31/03/2018 22:01,0
Eccles Street,4,23,Saturday,31/03/2018 23:06,0
Eccles Street,3,6,Sunday,01/04/2018 06:03,30
Eccles Street,2,7,Sunday,01/04/2018 07:03,30
Eccles Street,0,8,Sunday,01/04/2018 08:02,0
Eccles Street,1,9,Sunday,01/04/2018 09:00,0
Eccles Street,0,10,Sunday,01/04/2018 10:06,0
Eccles Street,1,11,Sunday,01/04/2018 11:02,0
Eccles Street,0,12,Sunday,01/04/2018 12:03,0
Eccles Street,0,13,Sunday,01/04/2018 13:06,0
Eccles Street,0,14,Sunday,01/04/2018 14:00,0
Eccles Street,2,15,Sunday,01/04/2018 15:06,0
Eccles Street,4,16,Sunday,01/04/2018 16:08,0
Eccles Street,2,17,Sunday,01/04/2018 17:01,0
Eccles Street,0,18,Sunday,01/04/2018 18:00,0
Eccles Street,0,19,Sunday,01/04/2018 19:09,0
Eccles Street,0,20,Sunday,01/04/2018 20:00,45
Eccles Street,1,21,Sunday,01/04/2018 21:03,50
Eccles Street,1,22,Sunday,01/04/2018 22:08,50
