address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Fitzwilliam Square West,4,6,Thursday,29/03/2018 06:03,0
Fitzwilliam Square West,15,7,Thursday,29/03/2018 07:03,0
Fitzwilliam Square West,29,8,Thursday,29/03/2018 08:03,0
Fitzwilliam Square West,29,9,Thursday,29/03/2018 09:01,0
Fitzwilliam Square West,27,10,Thursday,29/03/2018 10:00,0
Fitzwilliam Square West,29,11,Thursday,29/03/2018 11:11,10
Fitzwilliam Square West,27,12,Thursday,29/03/2018 12:00,30
Fitzwilliam Square West,28,13,Thursday,29/03/2018 13:11,30
Fitzwilliam Square West,30,14,Thursday,29/03/2018 14:00,45
Fitzwilliam Square West,26,15,Thursday,29/03/2018 15:01,40
Fitzwilliam Square West,13,16,Thursday,29/03/2018 16:02,30
Fitzwilliam Square West,5,17,Thursday,29/03/2018 17:02,30
Fitzwilliam Square West,3,18,Thursday,29/03/2018 18:08,30
Fitzwilliam Square West,0,19,Thursday,29/03/2018 19:05,40
Fitzwilliam Square West,0,20,Thursday,29/03/2018 20:06,30
Fitzwilliam Square West,0,21,Thursday,29/03/2018 21:07,25
Fitzwilliam Square West,0,22,Thursday,29/03/2018 22:07,30
Fitzwilliam Square West,1,23,Thursday,29/03/2018 23:00,40
Fitzwilliam Square West,5,6,Friday,30/03/2018 06:05,0
Fitzwilliam Square West,9,7,Friday,30/03/2018 07:06,0
Fitzwilliam Square West,12,8,Friday,30/03/2018 08:04,0
Fitzwilliam Square West,15,9,Friday,30/03/2018 09:05,0
Fitzwilliam Square West,13,10,Friday,30/03/2018 10:08,20
Fitzwilliam Square West,14,11,Friday,30/03/2018 11:06,20
Fitzwilliam Square West,16,12,Friday,30/03/2018 12:06,20
Fitzwilliam Square West,17,13,Friday,30/03/2018 13:08,20
Fitzwilliam Square West,18,14,Friday,30/03/2018 14:06,20
Fitzwilliam Square West,19,15,Friday,30/03/2018 15:02,0
Fitzwilliam Square West,18,16,Friday,30/03/2018 16:06,0
Fitzwilliam Square West,16,17,Friday,30/03/2018 17:06,20
Fitzwilliam Square West,15,18,Friday,30/03/2018 18:05,0
Fitzwilliam Square West,14,19,Friday,30/03/2018 19:00,0
Fitzwilliam Square West,12,20,Friday,30/03/2018 20:01,0
Fitzwilliam Square West,12,21,Friday,30/03/2018 21:00,0
Fitzwilliam Square West,12,22,Friday,30/03/2018 22:01,0
Fitzwilliam Square West,11,23,Friday,30/03/2018 23:02,0
Fitzwilliam Square West,13,6,Saturday,31/03/2018 06:00,0
Fitzwilliam Square West,14,7,Saturday,31/03/2018 07:01,0
Fitzwilliam Square West,14,8,Saturday,31/03/2018 08:03,0
Fitzwilliam Square West,14,9,Saturday,31/03/2018 09:04,0
Fitzwilliam Square West,14,10,Saturday,31/03/2018 10:07,0
Fitzwilliam Square West,14,11,Saturday,31/03/2018 11:05,0
Fitzwilliam Square West,14,12,Saturday,31/03/2018 12:09,0
Fitzwilliam Square West,12,13,Saturday,31/03/2018 13:00,0
Fitzwilliam Square West,10,14,Saturday,31/03/2018 14:08,0
Fitzwilliam Square West,10,15,Saturday,31/03/2018 15:01,0
Fitzwilliam Square West,10,16,Saturday,31/03/2018 16:08,0
Fitzwilliam Square West,9,17,Saturday,31/03/2018 17:03,0
Fitzwilliam Square West,8,18,Saturday,31/03/2018 18:02,0
Fitzwilliam Square West,8,19,Saturday,31/03/2018 19:03,0
Fitzwilliam Square West,8,20,Saturday,31/03/2018 20:04,0
Fitzwilliam Square West,9,21,Saturday,31/03/2018 21:00,0
Fitzwilliam Square West,9,22,Saturday,31/03/2018 22:01,0
Fitzwilliam Square West,9,23,Saturday,31/03/2018 23:02,0
Fitzwilliam Square West,9,6,Sunday,01/04/2018 06:02,30
Fitzwilliam Square West,9,7,Sunday,01/04/2018 07:03,30
Fitzwilliam Square West,9,8,Sunday,01/04/2018 08:04,0
Fitzwilliam Square West,9,9,Sunday,01/04/2018 09:04,0
Fitzwilliam Square West,8,10,Sunday,01/04/2018 10:09,0
Fitzwilliam Square West,7,11,Sunday,01/04/2018 11:00,0
Fitzwilliam Square West,6,12,Sunday,01/04/2018 12:03,0
Fitzwilliam Square West,7,13,Sunday,01/04/2018 13:04,0
Fitzwilliam Square West,7,14,Sunday,01/04/2018 14:05,0
Fitzwilliam Square West,6,15,Sunday,01/04/2018 15:06,0
Fitzwilliam Square West,7,16,Sunday,01/04/2018 16:08,0
Fitzwilliam Square West,7,17,Sunday,01/04/2018 17:09,0
Fitzwilliam Square West,7,18,Sunday,01/04/2018 18:00,0
Fitzwilliam Square West,7,19,Sunday,01/04/2018 19:01,0
Fitzwilliam Square West,8,20,Sunday,01/04/2018 20:02,45
Fitzwilliam Square West,8,21,Sunday,01/04/2018 21:04,50
Fitzwilliam Square West,8,22,Sunday,01/04/2018 22:05,50
Fitzwilliam Square West,8,23,Sunday,01/04/2018 23:06,60
Fitzwilliam Square West,8,6,Monday,02/04/2018 06:02,70
Fitzwilliam Square West,10,7,Monday,02/04/2018 07:03,70
Fitzwilliam Square West,11,8,Monday,02/04/2018 08:06,60
Fitzwilliam Square West,11,9,Monday,02/04/2018 09:07,70
Fitzwilliam Square West,12,10,Monday,02/04/2018 10:09,65
Fitzwilliam Square West,11,11,Monday,02/04/2018 11:03,70
Fitzwilliam Square West,10,12,Monday,02/04/2018 12:08,70
Fitzwilliam Square West,10,13,Monday,02/04/2018 13:09,70
Fitzwilliam Square West,10,14,Monday,02/04/2018 14:09,60
Fitzwilliam Square West,9,15,Monday,02/04/2018 15:00,60
Fitzwilliam Square West,7,16,Monday,02/04/2018 16:05,60
Fitzwilliam Square West,4,17,Monday,02/04/2018 17:00,50
Fitzwilliam Square West,3,18,Monday,02/04/2018 18:04,40
Fitzwilliam Square West,5,19,Monday,02/04/2018 19:06,0
Fitzwilliam Square West,5,20,Monday,02/04/2018 20:07,0
Fitzwilliam Square West,5,21,Monday,02/04/2018 21:08,40
Fitzwilliam Square West,4,22,Monday,02/04/2018 22:01,50
Fitzwilliam Square West,5,23,Monday,02/04/2018 23:02,60
Fitzwilliam Square West,11,6,Tuesday,03/04/2018 06:00,0
Fitzwilliam Square West,22,7,Tuesday,03/04/2018 07:04,20
Fitzwilliam Square West,28,8,Tuesday,03/04/2018 08:02,20
Fitzwilliam Square West,24,9,Tuesday,03/04/2018 09:01,0
Fitzwilliam Square West,27,10,Tuesday,03/04/2018 10:02,0
Fitzwilliam Square West,25,11,Tuesday,03/04/2018 11:02,0
Fitzwilliam Square West,25,12,Tuesday,03/04/2018 12:00,30
Fitzwilliam Square West,27,13,Tuesday,03/04/2018 13:01,40
Fitzwilliam Square West,24,14,Tuesday,03/04/2018 14:09,20
