address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Frederick Street South,5,6,Thursday,29/03/2018 06:04,0
Frederick Street South,11,7,Thursday,29/03/2018 07:06,0
Frederick Street South,12,8,Thursday,29/03/2018 08:00,0
Frederick Street South,18,9,Thursday,29/03/2018 09:04,0
Frederick Street South,20,10,Thursday,29/03/2018 10:02,0
Frederick Street South,20,11,Thursday,29/03/2018 11:01,10
Frederick Street South,19,12,Thursday,29/03/2018 12:05,30
Frederick Street South,19,13,Thursday,29/03/2018 13:00,30
Frederick Street South,20,14,Thursday,29/03/2018 14:03,45
Frederick Street South,18,15,Thursday,29/03/2018 15:06,40
Frederick Street South,16,16,Thursday,29/03/2018 16:00,30
Frederick Street South,13,17,Thursday,29/03/2018 17:02,30
Frederick Street South,7,18,Thursday,29/03/2018 18:08,30
Frederick Street South,6,19,Thursday,29/03/2018 19:03,40
Frederick Street South,5,20,Thursday,29/03/2018 20:00,30
Frederick Street South,6,21,Thursday,29/03/2018 21:08,25
Frederick Street South,4,22,Thursday,29/03/2018 22:09,30
Frederick Street South,1,23,Thursday,29/03/2018 23:03,40
Frederick Street South,2,6,Friday,30/03/2018 06:07,0
Frederick Street South,3,7,Friday,30/03/2018 07:04,0
Frederick Street South,3,8,Friday,30/03/2018 08:03,0
Frederick Street South,5,9,Friday,30/03/2018 09:05,0
Frederick Street South,11,10,Friday,30/03/2018 10:03,20
Frederick Street South,16,11,Friday,30/03/2018 11:00,20
Frederick Street South,21,12,Friday,30/03/2018 12:03,20
Frederick Street South,24,13,Friday,30/03/2018 13:10,20
Frederick Street South,23,14,Friday,30/03/2018 14:00,20
Frederick Street South,23,15,Friday,30/03/2018 15:07,0
Frederick Street South,22,16,Friday,30/03/2018 16:00,0
Frederick Street South,21,17,Friday,30/03/2018 17:01,20
Frederick Street South,17,18,Friday,30/03/2018 18:04,0
Frederick Street South,17,19,Friday,30/03/2018 19:05,0
