address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Georges Quay,3,6,Thursday,29/03/2018 06:02,0
Georges Quay,5,7,Thursday,29/03/2018 07:04,0
Georges Quay,4,8,Thursday,29/03/2018 08:02,0
Georges Quay,7,9,Thursday,29/03/2018 09:08,0
Georges Quay,8,10,Thursday,29/03/2018 10:05,0
Georges Quay,9,11,Thursday,29/03/2018 11:02,10
Georges Quay,8,12,Thursday,29/03/2018 12:03,30
Georges Quay,10,13,Thursday,29/03/2018 13:05,30
Georges Quay,10,14,Thursday,29/03/2018 14:00,45
Georges Quay,12,15,Thursday,29/03/2018 15:07,40
Georges Quay,16,16,Thursday,29/03/2018 16:00,30
Georges Quay,20,17,Thursday,29/03/2018 17:06,30
Georges Quay,19,18,Thursday,29/03/2018 18:02,30
Georges Quay,18,19,Thursday,29/03/2018 19:03,40
Georges Quay,18,20,Thursday,29/03/2018 20:06,30
Georges Quay,18,21,Thursday,29/03/2018 21:01,25
Georges Quay,18,22,Thursday,29/03/2018 22:02,30
Georges Quay,17,23,Thursday,29/03/2018 23:04,40
Georges Quay,16,6,Friday,30/03/2018 06:03,0
Georges Quay,15,7,Friday,30/03/2018 07:10,0
Georges Quay,17,8,Friday,30/03/2018 08:10,0
Georges Quay,19,9,Friday,30/03/2018 09:10,0
Georges Quay,20,10,Friday,30/03/2018 10:01,20
Georges Quay,19,11,Friday,30/03/2018 11:05,20
Georges Quay,19,12,Friday,30/03/2018 12:06,20
Georges Quay,18,13,Friday,30/03/2018 13:08,20
Georges Quay,17,14,Friday,30/03/2018 14:06,20
Georges Quay,19,15,Friday,30/03/2018 15:05,0
Georges Quay,8,16,Friday,30/03/2018 16:01,0
Georges Quay,6,17,Friday,30/03/2018 17:02,20
Georges Quay,4,18,Friday,30/03/2018 18:02,0
Georges Quay,3,19,Friday,30/03/2018 19:03,0
Georges Quay,4,20,Friday,30/03/2018 20:07,0
Georges Quay,2,21,Friday,30/03/2018 21:06,0
Georges Quay,1,22,Friday,30/03/2018 22:07,0
Georges Quay,1,23,Friday,30/03/2018 23:08,0
Georges Quay,0,6,Saturday,31/03/2018 06:05,0
Georges Quay,0,7,Saturday,31/03/2018 07:06,0
Georges Quay,0,8,Saturday,31/03/2018 08:07,0
Georges Quay,2,9,Saturday,31/03/2018 09:00,0
Georges Quay,2,10,Saturday,31/03/2018 10:01,0
Georges Quay,3,11,Saturday,31/03/2018 11:03,0
Georges Quay,3,12,Saturday,31/03/2018 12:09,0
Georges Quay,4,13,Saturday,31/03/2018 13:05,0
Georges Quay,4,14,Saturday,31/03/2018 14:06,0
Georges Quay,4,15,Saturday,31/03/2018 15:07,0
Georges Quay,6,16,Saturday,31/03/2018 16:07,0
Georges Quay,6,17,Saturday,31/03/2018 17:02,0
Georges Quay,5,18,Saturday,31/03/2018 18:04,0
Georges Quay,7,19,Saturday,31/03/2018 19:08,0
Georges Quay,8,20,Saturday,31/03/2018 20:07,0
Georges Quay,8,21,Saturday,31/03/2018 21:08,0
Georges Quay,8,22,Saturday,31/03/2018 22:09,0
Georges Quay,9,23,Saturday,31/03/2018 23:09,0
Georges Quay,9,6,Sunday,01/04/2018 06:02,30
Georges Quay,10,7,Sunday,01/04/2018 07:03,30
Georges Quay,12,8,Sunday,01/04/2018 08:02,0
Georges Quay,14,9,Sunday,01/04/2018 09:02,0
Georges Quay,15,10,Sunday,01/04/2018 10:05,0
Georges Quay,16,11,Sunday,01/04/2018 11:07,0
Georges Quay,16,12,Sunday,01/04/2018 12:08,0
Georges Quay,17,13,Sunday,01/04/2018 13:00,0
Georges Quay,20,14,Sunday,01/04/2018 14:06,0
Georges Quay,19,15,Sunday,01/04/2018 15:03,0
Georges Quay,18,16,Sunday,01/04/2018 16:04,0
Georges Quay,18,17,Sunday,01/04/2018 17:06,0
Georges Quay,17,18,Sunday,01/04/2018 18:09,0
Georges Quay,17,19,Sunday,01/04/2018 19:04,0
Georges Quay,17,20,Sunday,01/04/2018 20:05,45
Georges Quay,17,21,Sunday,01/04/2018 21:06,50
Georges Quay,17,22,Sunday,01/04/2018 22:07,50
Georges Quay,17,23,Sunday,01/04/2018 23:08,60
Georges Quay,17,6,Monday,02/04/2018 06:02,70
Georges Quay,16,7,Monday,02/04/2018 07:07,70
Georges Quay,16,8,Monday,02/04/2018 08:07,60
Georges Quay,16,9,Monday,02/04/2018 09:02,70
Georges Quay,16,10,Monday,02/04/2018 10:03,65
Georges Quay,16,11,Monday,02/04/2018 11:04,70
Georges Quay,15,12,Monday,02/04/2018 12:09,70
Georges Quay,16,13,Monday,02/04/2018 13:03,70
Georges Quay,16,14,Monday,02/04/2018 14:04,60
Georges Quay,16,15,Monday,02/04/2018 15:05,60
Georges Quay,14,16,Monday,02/04/2018 16:06,60
Georges Quay,13,17,Monday,02/04/2018 17:08,50
Georges Quay,12,18,Monday,02/04/2018 18:07,40
Georges Quay,12,19,Monday,02/04/2018 19:06,0
Georges Quay,11,20,Monday,02/04/2018 20:06,0
Georges Quay,12,21,Monday,02/04/2018 21:06,40
Georges Quay,13,22,Monday,02/04/2018 22:04,50
Georges Quay,13,23,Monday,02/04/2018 23:05,60
Georges Quay,13,6,Tuesday,03/04/2018 06:01,0
Georges Quay,16,7,Tuesday,03/04/2018 07:02,20
Georges Quay,17,8,Tuesday,03/04/2018 08:04,20
Georges Quay,19,9,Tuesday,03/04/2018 09:07,0
Georges Quay,18,10,Tuesday,03/04/2018 10:06,0
Georges Quay,18,11,Tuesday,03/04/2018 11:07,0
Georges Quay,18,12,Tuesday,03/04/2018 12:03,30
Georges Quay,19,13,Tuesday,03/04/2018 13:00,40
Georges Quay,19,14,Tuesday,03/04/2018 14:06,20
Georges Quay,20,15,Tuesday,03/04/2018 15:04,20
Georges Quay,20,16,Tuesday,03/04/2018 16:03,30
Georges Quay,17,17,Tuesday,03/04/2018 17:05,0
Georges Quay,18,18,Tuesday,03/04/2018 18:06,0
Georges Quay,18,19,Tuesday,03/04/2018 19:08,0
Georges Quay,16,20,Tuesday,03/04/2018 20:07,0
Georges Quay,16,21,Tuesday,03/04/2018 21:08,0
Georges Quay,15,22,Tuesday,03/04/2018 22:04,0
Georges Quay,15,23,Tuesday,03/04/2018 23:06,0
Georges Quay,7,6,Wednesday,04/04/2018 06:04,40
Georges Quay,8,7,Wednesday,04/04/2018 07:01,40
Georges Quay,8,8,Wednesday,04/04/2018 08:05,30
