address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Grand Canal Dock,28,6,Thursday,29/03/2018 06:03,0
Grand Canal Dock,33,7,Thursday,29/03/2018 07:04,0
Grand Canal Dock,39,8,Thursday,29/03/2018 08:00,0
Grand Canal Dock,40,9,Thursday,29/03/2018 09:00,0
Grand Canal Dock,40,10,Thursday,29/03/2018 10:00,0
Grand Canal Dock,39,11,Thursday,29/03/2018 11:01,10
Grand Canal Dock,34,12,Thursday,29/03/2018 12:01,30
Grand Canal Dock,33,13,Thursday,29/03/2018 13:06,30
Grand Canal Dock,37,14,Thursday,29/03/2018 14:00,45
Grand Canal Dock,32,15,Thursday,29/03/2018 15:01,40
Grand Canal Dock,7,16,Thursday,29/03/2018 16:02,30
Grand Canal Dock,2,17,Thursday,29/03/2018 17:00,30
Grand Canal Dock,1,18,Thursday,29/03/2018 18:03,30
Grand Canal Dock,1,19,Thursday,29/03/2018 19:02,40
Grand Canal Dock,3,20,Thursday,29/03/2018 20:07,30
Grand Canal Dock,4,21,Thursday,29/03/2018 21:00,25
Grand Canal Dock,5,22,Thursday,29/03/2018 22:02,30
Grand Canal Dock,6,23,Thursday,29/03/2018 23:02,40
Grand Canal Dock,9,6,Friday,30/03/2018 06:09,0
Grand Canal Dock,6,7,Friday,30/03/2018 07:11,0
Grand Canal Dock,2,8,Friday,30/03/2018 08:11,0
Grand Canal Dock,1,9,Friday,30/03/2018 09:06,0
Grand Canal Dock,3,10,Friday,30/03/2018 10:03,20
Grand Canal Dock,12,11,Friday,30/03/2018 11:02,20
Grand Canal Dock,11,12,Friday,30/03/2018 12:03,20
Grand Canal Dock,7,13,Friday,30/03/2018 13:02,20
Grand Canal Dock,2,14,Friday,30/03/2018 14:01,20
Grand Canal Dock,5,15,Friday,30/03/2018 15:08,0
Grand Canal Dock,7,16,Friday,30/03/2018 16:02,0
Grand Canal Dock,5,17,Friday,30/03/2018 17:04,20
Grand Canal Dock,9,18,Friday,30/03/2018 18:15,0
Grand Canal Dock,7,19,Friday,30/03/2018 19:04,0
Grand Canal Dock,6,20,Friday,30/03/2018 20:05,0
Grand Canal Dock,8,21,Friday,30/03/2018 21:06,0
Grand Canal Dock,8,22,Friday,30/03/2018 22:08,0
Grand Canal Dock,6,23,Friday,30/03/2018 23:04,0
Grand Canal Dock,10,6,Saturday,31/03/2018 06:02,0
Grand Canal Dock,12,7,Saturday,31/03/2018 07:09,0
Grand Canal Dock,13,8,Saturday,31/03/2018 08:04,0
Grand Canal Dock,11,9,Saturday,31/03/2018 09:03,0
Grand Canal Dock,8,10,Saturday,31/03/2018 10:04,0
Grand Canal Dock,3,11,Saturday,31/03/2018 11:07,0
Grand Canal Dock,5,12,Saturday,31/03/2018 12:01,0
Grand Canal Dock,5,13,Saturday,31/03/2018 13:01,0
Grand Canal Dock,4,14,Saturday,31/03/2018 14:04,0
Grand Canal Dock,4,15,Saturday,31/03/2018 15:03,0
Grand Canal Dock,2,16,Saturday,31/03/2018 16:01,0
Grand Canal Dock,2,17,Saturday,31/03/2018 17:01,0
Grand Canal Dock,6,18,Saturday,31/03/2018 18:05,0
Grand Canal Dock,8,19,Saturday,31/03/2018 19:01,0
Grand Canal Dock,11,20,Saturday,31/03/2018 20:09,0
Grand Canal Dock,11,21,Saturday,31/03/2018 21:01,0
Grand Canal Dock,13,22,Saturday,31/03/2018 22:05,0
Grand Canal Dock,17,23,Saturday,31/03/2018 23:00,0
Grand Canal Dock,18,6,Sunday,01/04/2018 06:02,30
Grand Canal Dock,19,7,Sunday,01/04/2018 07:01,30
Grand Canal Dock,19,8,Sunday,01/04/2018 08:02,0
Grand Canal Dock,18,9,Sunday,01/04/2018 09:07,0
Grand Canal Dock,16,10,Sunday,01/04/2018 10:00,0
Grand Canal Dock,18,11,Sunday,01/04/2018 11:09,0
Grand Canal Dock,21,12,Sunday,01/04/2018 12:06,0
Grand Canal Dock,25,13,Sunday,01/04/2018 13:01,0
Grand Canal Dock,28,14,Sunday,01/04/2018 14:01,0
Grand Canal Dock,26,15,Sunday,01/04/2018 15:05,0
Grand Canal Dock,25,16,Sunday,01/04/2018 16:08,0
Grand Canal Dock,25,17,Sunday,01/04/2018 17:01,0
Grand Canal Dock,20,18,Sunday,01/04/2018 18:05,0
Grand Canal Dock,19,19,Sunday,01/04/2018 19:07,0
Grand Canal Dock,17,20,Sunday,01/04/2018 20:05,45
Grand Canal Dock,18,21,Sunday,01/04/2018 21:02,50
Grand Canal Dock,18,22,Sunday,01/04/2018 22:05,50
Grand Canal Dock,20,23,Sunday,01/04/2018 23:01,60
Grand Canal Dock,22,6,Monday,02/04/2018 06:09,70
Grand Canal Dock,24,7,Monday,02/04/2018 07:00,70
Grand Canal Dock,26,8,Monday,02/04/2018 08:02,60
Grand Canal Dock,28,9,Monday,02/04/2018 09:05,70
Grand Canal Dock,30,10,Monday,02/04/2018 10:10,65
Grand Canal Dock,31,11,Monday,02/04/2018 11:08,70
Grand Canal Dock,31,12,Monday,02/04/2018 12:07,70
Grand Canal Dock,30,13,Monday,02/04/2018 13:01,70
Grand Canal Dock,28,14,Monday,02/04/2018 14:08,60
Grand Canal Dock,28,15,Monday,02/04/2018 15:02,60
Grand Canal Dock,28,16,Monday,02/04/2018 16:01,60
Grand Canal Dock,33,17,Monday,02/04/2018 17:02,50
Grand Canal Dock,30,18,Monday,02/04/2018 18:01,40
Grand Canal Dock,31,19,Monday,02/04/2018 19:01,0
Grand Canal Dock,33,20,Monday,02/04/2018 20:08,0
Grand Canal Dock,34,21,Monday,02/04/2018 21:01,40
Grand Canal Dock,34,22,Monday,02/04/2018 22:07,50
Grand Canal Dock,35,23,Monday,02/04/2018 23:07,60
