address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grangegorman Lower (Central)",7,6,Thursday,"2018-03-29 06:08:45"
"Grangegorman Lower (Central)",6,7,Thursday,"2018-03-29 07:02:49"
"Grangegorman Lower (Central)",4,8,Thursday,"2018-03-29 08:09:43"
"Grangegorman Lower (Central)",4,9,Thursday,"2018-03-29 09:00:39"
"Grangegorman Lower (Central)",4,10,Thursday,"2018-03-29 10:01:46"
"Grangegorman Lower (Central)",3,11,Thursday,"2018-03-29 11:08:30"
"Grangegorman Lower (Central)",1,12,Thursday,"2018-03-29 12:05:45"
"Grangegorman Lower (Central)",0,13,Thursday,"2018-03-29 13:01:04"
"Grangegorman Lower (Central)",3,14,Thursday,"2018-03-29 14:02:08"
"Grangegorman Lower (Central)",5,15,Thursday,"2018-03-29 15:06:38"
"Grangegorman Lower (Central)",5,16,Thursday,"2018-03-29 16:08:21"
"Grangegorman Lower (Central)",6,17,Thursday,"2018-03-29 17:09:39"
"Grangegorman Lower (Central)",5,18,Thursday,"2018-03-29 18:00:33"
"Grangegorman Lower (Central)",5,19,Thursday,"2018-03-29 19:06:49"
"Grangegorman Lower (Central)",4,20,Thursday,"2018-03-29 20:07:06"
"Grangegorman Lower (Central)",4,21,Thursday,"2018-03-29 21:08:16"
"Grangegorman Lower (Central)",4,22,Thursday,"2018-03-29 22:09:24"
"Grangegorman Lower (Central)",4,23,Thursday,"2018-03-29 23:00:29"
"Grangegorman Lower (Central)",4,6,Friday,"2018-03-30 06:03:26"
"Grangegorman Lower (Central)",4,7,Friday,"2018-03-30 07:04:39"
"Grangegorman Lower (Central)",3,8,Friday,"2018-03-30 08:02:57"
"Grangegorman Lower (Central)",1,9,Friday,"2018-03-30 09:05:21"
"Grangegorman Lower (Central)",1,10,Friday,"2018-03-30 10:06:35"
"Grangegorman Lower (Central)",0,11,Friday,"2018-03-30 11:10:45"
"Grangegorman Lower (Central)",0,12,Friday,"2018-03-30 12:01:47"
"Grangegorman Lower (Central)",4,13,Friday,"2018-03-30 13:01:32"
"Grangegorman Lower (Central)",8,14,Friday,"2018-03-30 14:06:19"
"Grangegorman Lower (Central)",8,15,Friday,"2018-03-30 15:07:37"
"Grangegorman Lower (Central)",8,16,Friday,"2018-03-30 16:08:52"
"Grangegorman Lower (Central)",8,17,Friday,"2018-03-30 17:10:01"
"Grangegorman Lower (Central)",8,18,Friday,"2018-03-30 18:01:02"
"Grangegorman Lower (Central)",8,19,Friday,"2018-03-30 19:02:17"
"Grangegorman Lower (Central)",8,20,Friday,"2018-03-30 20:03:31"
"Grangegorman Lower (Central)",8,21,Friday,"2018-03-30 21:04:41"
"Grangegorman Lower (Central)",8,22,Friday,"2018-03-30 22:05:49"
"Grangegorman Lower (Central)",8,23,Friday,"2018-03-30 23:06:57"
"Grangegorman Lower (Central)",8,6,Saturday,"2018-03-31 06:03:09"
"Grangegorman Lower (Central)",8,7,Saturday,"2018-03-31 07:04:23"
"Grangegorman Lower (Central)",8,8,Saturday,"2018-03-31 08:05:35"
"Grangegorman Lower (Central)",8,9,Saturday,"2018-03-31 09:06:46"
"Grangegorman Lower (Central)",8,10,Saturday,"2018-03-31 10:07:59"
"Grangegorman Lower (Central)",8,11,Saturday,"2018-03-31 11:09:10"
"Grangegorman Lower (Central)",7,12,Saturday,"2018-03-31 12:04:06"
"Grangegorman Lower (Central)",5,13,Saturday,"2018-03-31 13:08:25"
"Grangegorman Lower (Central)",5,14,Saturday,"2018-03-31 14:09:39"
"Grangegorman Lower (Central)",5,15,Saturday,"2018-03-31 15:00:40"
