address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grangegorman Lower (North)",7,6,Thursday,"2018-03-29 06:02:24"
"Grangegorman Lower (North)",6,7,Thursday,"2018-03-29 07:03:19"
"Grangegorman Lower (North)",2,8,Thursday,"2018-03-29 08:04:51"
"Grangegorman Lower (North)",0,9,Thursday,"2018-03-29 09:02:39"
"Grangegorman Lower (North)",0,10,Thursday,"2018-03-29 10:03:33"
"Grangegorman Lower (North)",0,11,Thursday,"2018-03-29 11:04:28"
"Grangegorman Lower (North)",1,12,Thursday,"2018-03-29 12:05:23"
"Grangegorman Lower (North)",2,13,Thursday,"2018-03-29 13:04:11"
"Grangegorman Lower (North)",3,14,Thursday,"2018-03-29 14:05:06"
"Grangegorman Lower (North)",3,15,Thursday,"2018-03-29 15:09:46"
"Grangegorman Lower (North)",4,16,Thursday,"2018-03-29 16:00:35"
"Grangegorman Lower (North)",4,17,Thursday,"2018-03-29 17:00:08"
"Grangegorman Lower (North)",2,18,Thursday,"2018-03-29 18:06:31"
"Grangegorman Lower (North)",1,19,Thursday,"2018-03-29 19:03:36"
"Grangegorman Lower (North)",0,20,Thursday,"2018-03-29 20:04:31"
"Grangegorman Lower (North)",0,21,Thursday,"2018-03-29 21:02:56"
"Grangegorman Lower (North)",0,22,Thursday,"2018-03-29 22:03:51"
"Grangegorman Lower (North)",1,23,Thursday,"2018-03-29 23:04:46"
"Grangegorman Lower (North)",1,6,Friday,"2018-03-30 06:02:43"
"Grangegorman Lower (North)",1,7,Friday,"2018-03-30 07:06:14"
"Grangegorman Lower (North)",0,8,Friday,"2018-03-30 08:09:11"
"Grangegorman Lower (North)",0,9,Friday,"2018-03-30 09:10:02"
"Grangegorman Lower (North)",0,10,Friday,"2018-03-30 10:02:08"
"Grangegorman Lower (North)",0,11,Friday,"2018-03-30 11:03:00"
"Grangegorman Lower (North)",0,12,Friday,"2018-03-30 12:09:59"
"Grangegorman Lower (North)",5,13,Friday,"2018-03-30 13:09:59"
"Grangegorman Lower (North)",7,14,Friday,"2018-03-30 14:02:17"
"Grangegorman Lower (North)",6,15,Friday,"2018-03-30 15:04:33"
"Grangegorman Lower (North)",7,16,Friday,"2018-03-30 16:06:54"
"Grangegorman Lower (North)",7,17,Friday,"2018-03-30 17:07:48"
"Grangegorman Lower (North)",7,18,Friday,"2018-03-30 18:04:32"
"Grangegorman Lower (North)",7,19,Friday,"2018-03-30 19:05:29"
"Grangegorman Lower (North)",8,20,Friday,"2018-03-30 20:09:36"
"Grangegorman Lower (North)",8,21,Friday,"2018-03-30 21:00:19"
"Grangegorman Lower (North)",8,22,Friday,"2018-03-30 22:01:09"
"Grangegorman Lower (North)",8,23,Friday,"2018-03-30 23:02:01"
"Grangegorman Lower (North)",8,6,Saturday,"2018-03-31 06:02:37"
"Grangegorman Lower (North)",6,7,Saturday,"2018-03-31 07:05:26"
"Grangegorman Lower (North)",5,8,Saturday,"2018-03-31 08:09:09"
"Grangegorman Lower (North)",4,9,Saturday,"2018-03-31 09:01:13"
"Grangegorman Lower (North)",4,10,Saturday,"2018-03-31 10:02:11"
"Grangegorman Lower (North)",2,11,Saturday,"2018-03-31 11:00:25"
"Grangegorman Lower (North)",1,12,Saturday,"2018-03-31 12:08:38"
"Grangegorman Lower (North)",0,13,Saturday,"2018-03-31 13:01:51"
"Grangegorman Lower (North)",0,14,Saturday,"2018-03-31 14:02:50"
"Grangegorman Lower (North)",0,15,Saturday,"2018-03-31 15:03:49"
"Grangegorman Lower (North)",0,16,Saturday,"2018-03-31 16:04:49"
"Grangegorman Lower (North)",0,17,Saturday,"2018-03-31 17:05:48"
"Grangegorman Lower (North)",1,18,Saturday,"2018-03-31 18:06:47"
"Grangegorman Lower (North)",1,19,Saturday,"2018-03-31 19:05:34"
"Grangegorman Lower (North)",2,20,Saturday,"2018-03-31 20:02:31"
"Grangegorman Lower (North)",2,21,Saturday,"2018-03-31 21:03:31"
"Grangegorman Lower (North)",2,22,Saturday,"2018-03-31 22:04:30"
"Grangegorman Lower (North)",2,23,Saturday,"2018-03-31 23:05:29"
"Grangegorman Lower (North)",2,6,Sunday,"2018-04-01 06:02:20"
"Grangegorman Lower (North)",2,7,Sunday,"2018-04-01 07:03:15"
"Grangegorman Lower (North)",2,8,Sunday,"2018-04-01 08:04:11"
"Grangegorman Lower (North)",2,9,Sunday,"2018-04-01 09:05:03"
"Grangegorman Lower (North)",2,10,Sunday,"2018-04-01 10:05:58"
"Grangegorman Lower (North)",2,11,Sunday,"2018-04-01 11:06:52"
"Grangegorman Lower (North)",2,12,Sunday,"2018-04-01 12:07:47"
"Grangegorman Lower (North)",0,13,Sunday,"2018-04-01 13:10:59"
"Grangegorman Lower (North)",0,14,Sunday,"2018-04-01 14:01:45"
"Grangegorman Lower (North)",0,15,Sunday,"2018-04-01 15:02:39"
"Grangegorman Lower (North)",1,16,Sunday,"2018-04-01 16:07:32"
"Grangegorman Lower (North)",1,17,Sunday,"2018-04-01 17:10:45"
"Grangegorman Lower (North)",1,18,Sunday,"2018-04-01 18:01:34"
"Grangegorman Lower (North)",1,19,Sunday,"2018-04-01 19:02:24"
"Grangegorman Lower (North)",1,20,Sunday,"2018-04-01 20:03:18"
"Grangegorman Lower (North)",2,21,Sunday,"2018-04-01 21:04:14"
"Grangegorman Lower (North)",2,22,Sunday,"2018-04-01 22:00:53"
"Grangegorman Lower (North)",2,23,Sunday,"2018-04-01 23:01:47"
"Grangegorman Lower (North)",2,6,Monday,"2018-04-02 06:03:22"
"Grangegorman Lower (North)",2,7,Monday,"2018-04-02 07:04:40"
"Grangegorman Lower (North)",1,8,Monday,"2018-04-02 08:09:50"
"Grangegorman Lower (North)",1,9,Monday,"2018-04-02 09:01:00"
"Grangegorman Lower (North)",3,10,Monday,"2018-04-02 10:02:24"
"Grangegorman Lower (North)",6,11,Monday,"2018-04-02 11:08:18"
"Grangegorman Lower (North)",4,12,Monday,"2018-04-02 12:06:07"
"Grangegorman Lower (North)",4,13,Monday,"2018-04-02 13:09:00"
"Grangegorman Lower (North)",4,14,Monday,"2018-04-02 14:00:14"
"Grangegorman Lower (North)",4,15,Monday,"2018-04-02 15:01:46"
"Grangegorman Lower (North)",4,16,Monday,"2018-04-02 16:03:12"
"Grangegorman Lower (North)",5,17,Monday,"2018-04-02 17:00:19"
"Grangegorman Lower (North)",5,18,Monday,"2018-04-02 18:01:49"
"Grangegorman Lower (North)",5,19,Monday,"2018-04-02 19:08:25"
"Grangegorman Lower (North)",5,20,Monday,"2018-04-02 20:09:49"
"Grangegorman Lower (North)",4,21,Monday,"2018-04-02 21:04:57"
"Grangegorman Lower (North)",4,22,Monday,"2018-04-02 22:06:18"
"Grangegorman Lower (North)",4,23,Monday,"2018-04-02 23:07:43"
"Grangegorman Lower (North)",3,6,Tuesday,"2018-04-03 06:05:58"
"Grangegorman Lower (North)",3,7,Tuesday,"2018-04-03 07:06:52"
"Grangegorman Lower (North)",1,8,Tuesday,"2018-04-03 08:05:00"
"Grangegorman Lower (North)",2,9,Tuesday,"2018-04-03 09:02:06"
"Grangegorman Lower (North)",1,10,Tuesday,"2018-04-03 10:07:51"
"Grangegorman Lower (North)",0,11,Tuesday,"2018-04-03 11:00:09"
"Grangegorman Lower (North)",2,12,Tuesday,"2018-04-03 12:09:52"
"Grangegorman Lower (North)",2,13,Tuesday,"2018-04-03 13:02:08"
"Grangegorman Lower (North)",3,14,Tuesday,"2018-04-03 14:03:02"
"Grangegorman Lower (North)",6,15,Tuesday,"2018-04-03 15:02:04"
"Grangegorman Lower (North)",6,16,Tuesday,"2018-04-03 16:01:01"
"Grangegorman Lower (North)",6,17,Tuesday,"2018-04-03 17:08:52"
"Grangegorman Lower (North)",6,18,Tuesday,"2018-04-03 18:02:56"
"Grangegorman Lower (North)",7,19,Tuesday,"2018-04-03 19:03:53"
"Grangegorman Lower (North)",8,20,Tuesday,"2018-04-03 20:02:21"
"Grangegorman Lower (North)",7,21,Tuesday,"2018-04-03 21:05:05"
"Grangegorman Lower (North)",7,22,Tuesday,"2018-04-03 22:06:00"
"Grangegorman Lower (North)",7,23,Tuesday,"2018-04-03 23:06:56"
"Grangegorman Lower (North)",7,6,Wednesday,"2018-04-04 06:07:07"
"Grangegorman Lower (North)",6,7,Wednesday,"2018-04-04 07:08:53"
"Grangegorman Lower (North)",3,8,Wednesday,"2018-04-04 08:00:21"
"Grangegorman Lower (North)",2,9,Wednesday,"2018-04-04 09:07:59"
"Grangegorman Lower (North)",2,10,Wednesday,"2018-04-04 10:09:53"
"Grangegorman Lower (North)",2,11,Wednesday,"2018-04-04 11:01:22"
"Grangegorman Lower (North)",4,12,Wednesday,"2018-04-04 12:08:57"
"Grangegorman Lower (North)",4,13,Wednesday,"2018-04-04 13:01:29"
"Grangegorman Lower (North)",5,14,Wednesday,"2018-04-04 14:00:32"
"Grangegorman Lower (North)",5,15,Wednesday,"2018-04-04 15:09:46"
"Grangegorman Lower (North)",6,16,Wednesday,"2018-04-04 16:01:36"
"Grangegorman Lower (North)",7,17,Wednesday,"2018-04-04 17:08:16"
"Grangegorman Lower (North)",7,18,Wednesday,"2018-04-04 18:04:58"
"Grangegorman Lower (North)",9,19,Wednesday,"2018-04-04 19:00:43"
"Grangegorman Lower (North)",10,20,Wednesday,"2018-04-04 20:06:07"
"Grangegorman Lower (North)",11,21,Wednesday,"2018-04-04 21:09:01"
"Grangegorman Lower (North)",11,22,Wednesday,"2018-04-04 22:00:12"
"Grangegorman Lower (North)",11,23,Wednesday,"2018-04-04 23:01:12"
