address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Heuston Bridge (North),36,6,Thursday,29/03/2018 06:01,0
Heuston Bridge (North),23,7,Thursday,29/03/2018 07:01,0
Heuston Bridge (North),6,8,Thursday,29/03/2018 08:05,0
Heuston Bridge (North),0,9,Thursday,29/03/2018 09:07,0
Heuston Bridge (North),1,10,Thursday,29/03/2018 10:01,0
Heuston Bridge (North),2,11,Thursday,29/03/2018 11:01,10
Heuston Bridge (North),1,12,Thursday,29/03/2018 12:05,30
Heuston Bridge (North),1,13,Thursday,29/03/2018 13:03,30
Heuston Bridge (North),1,14,Thursday,29/03/2018 14:03,45
Heuston Bridge (North),9,15,Thursday,29/03/2018 15:02,40
Heuston Bridge (North),29,16,Thursday,29/03/2018 16:01,30
Heuston Bridge (North),31,17,Thursday,29/03/2018 17:00,30
Heuston Bridge (North),30,18,Thursday,29/03/2018 18:07,30
Heuston Bridge (North),33,19,Thursday,29/03/2018 19:07,40
Heuston Bridge (North),35,20,Thursday,29/03/2018 20:04,30
Heuston Bridge (North),35,21,Thursday,29/03/2018 21:08,25
Heuston Bridge (North),37,22,Thursday,29/03/2018 22:05,30
Heuston Bridge (North),38,23,Thursday,29/03/2018 23:09,40
Heuston Bridge (North),39,6,Friday,30/03/2018 06:05,0
Heuston Bridge (North),34,7,Friday,30/03/2018 07:03,0
Heuston Bridge (North),32,8,Friday,30/03/2018 08:06,0
Heuston Bridge (North),33,9,Friday,30/03/2018 09:08,0
Heuston Bridge (North),31,10,Friday,30/03/2018 10:05,20
Heuston Bridge (North),32,11,Friday,30/03/2018 11:00,20
Heuston Bridge (North),29,12,Friday,30/03/2018 12:03,20
Heuston Bridge (North),31,13,Friday,30/03/2018 13:08,20
Heuston Bridge (North),33,14,Friday,30/03/2018 14:04,20
Heuston Bridge (North),31,15,Friday,30/03/2018 15:09,0
Heuston Bridge (North),35,16,Friday,30/03/2018 16:08,0
Heuston Bridge (North),35,17,Friday,30/03/2018 17:03,20
Heuston Bridge (North),36,18,Friday,30/03/2018 18:01,0
Heuston Bridge (North),34,19,Friday,30/03/2018 19:07,0
Heuston Bridge (North),33,20,Friday,30/03/2018 20:01,0
Heuston Bridge (North),32,21,Friday,30/03/2018 21:09,0
Heuston Bridge (North),32,22,Friday,30/03/2018 22:04,0
Heuston Bridge (North),33,23,Friday,30/03/2018 23:00,0
Heuston Bridge (North),34,6,Saturday,31/03/2018 06:03,0
Heuston Bridge (North),32,7,Saturday,31/03/2018 07:03,0
Heuston Bridge (North),31,8,Saturday,31/03/2018 08:01,0
Heuston Bridge (North),30,9,Saturday,31/03/2018 09:02,0
Heuston Bridge (North),28,10,Saturday,31/03/2018 10:10,0
Heuston Bridge (North),28,11,Saturday,31/03/2018 11:07,0
Heuston Bridge (North),28,12,Saturday,31/03/2018 12:02,0
Heuston Bridge (North),28,13,Saturday,31/03/2018 13:04,0
Heuston Bridge (North),28,14,Saturday,31/03/2018 14:02,0
Heuston Bridge (North),29,15,Saturday,31/03/2018 15:02,0
Heuston Bridge (North),29,16,Saturday,31/03/2018 16:04,0
Heuston Bridge (North),28,17,Saturday,31/03/2018 17:11,0
Heuston Bridge (North),31,18,Saturday,31/03/2018 18:00,0
Heuston Bridge (North),32,19,Saturday,31/03/2018 19:02,0
Heuston Bridge (North),34,20,Saturday,31/03/2018 20:03,0
Heuston Bridge (North),33,21,Saturday,31/03/2018 21:04,0
Heuston Bridge (North),34,22,Saturday,31/03/2018 22:09,0
Heuston Bridge (North),35,23,Saturday,31/03/2018 23:08,0
Heuston Bridge (North),34,6,Sunday,01/04/2018 06:09,30
Heuston Bridge (North),33,7,Sunday,01/04/2018 07:03,30
Heuston Bridge (North),32,8,Sunday,01/04/2018 08:07,0
Heuston Bridge (North),33,9,Sunday,01/04/2018 09:03,0
Heuston Bridge (North),31,10,Sunday,01/04/2018 10:01,0
Heuston Bridge (North),29,11,Sunday,01/04/2018 11:06,0
Heuston Bridge (North),28,12,Sunday,01/04/2018 12:02,0
Heuston Bridge (North),26,13,Sunday,01/04/2018 13:00,0
Heuston Bridge (North),29,14,Sunday,01/04/2018 14:05,0
Heuston Bridge (North),31,15,Sunday,01/04/2018 15:06,0
Heuston Bridge (North),30,16,Sunday,01/04/2018 16:09,0
Heuston Bridge (North),30,17,Sunday,01/04/2018 17:01,0
Heuston Bridge (North),29,18,Sunday,01/04/2018 18:03,0
Heuston Bridge (North),29,19,Sunday,01/04/2018 19:02,0
Heuston Bridge (North),30,20,Sunday,01/04/2018 20:06,45
Heuston Bridge (North),30,21,Sunday,01/04/2018 21:07,50
Heuston Bridge (North),31,22,Sunday,01/04/2018 22:08,50
Heuston Bridge (North),32,23,Sunday,01/04/2018 23:06,60
Heuston Bridge (North),31,6,Monday,02/04/2018 06:00,70
Heuston Bridge (North),31,7,Monday,02/04/2018 07:01,70
Heuston Bridge (North),30,8,Monday,02/04/2018 08:02,60
Heuston Bridge (North),30,9,Monday,02/04/2018 09:03,70
Heuston Bridge (North),28,10,Monday,02/04/2018 10:00,65
Heuston Bridge (North),29,11,Monday,02/04/2018 11:01,70
Heuston Bridge (North),29,12,Monday,02/04/2018 12:07,70
Heuston Bridge (North),29,13,Monday,02/04/2018 13:08,70
Heuston Bridge (North),29,14,Monday,02/04/2018 14:09,60
Heuston Bridge (North),30,15,Monday,02/04/2018 15:01,60
Heuston Bridge (North),28,16,Monday,02/04/2018 16:05,60
Heuston Bridge (North),28,17,Monday,02/04/2018 17:09,50
Heuston Bridge (North),30,18,Monday,02/04/2018 18:06,40
Heuston Bridge (North),29,19,Monday,02/04/2018 19:01,0
Heuston Bridge (North),27,20,Monday,02/04/2018 20:01,0
Heuston Bridge (North),24,21,Monday,02/04/2018 21:04,40
Heuston Bridge (North),21,22,Monday,02/04/2018 22:02,50
Heuston Bridge (North),21,23,Monday,02/04/2018 23:08,60
Heuston Bridge (North),12,6,Tuesday,03/04/2018 06:06,0
Heuston Bridge (North),0,7,Tuesday,03/04/2018 07:01,20
Heuston Bridge (North),0,8,Tuesday,03/04/2018 08:00,20
Heuston Bridge (North),0,9,Tuesday,03/04/2018 09:01,0
Heuston Bridge (North),0,10,Tuesday,03/04/2018 10:01,0
Heuston Bridge (North),1,11,Tuesday,03/04/2018 11:02,0
Heuston Bridge (North),1,12,Tuesday,03/04/2018 12:01,30
Heuston Bridge (North),1,13,Tuesday,03/04/2018 13:04,40
Heuston Bridge (North),4,14,Tuesday,03/04/2018 14:00,20
Heuston Bridge (North),4,15,Tuesday,03/04/2018 15:09,20
Heuston Bridge (North),20,16,Tuesday,03/04/2018 16:04,30
Heuston Bridge (North),37,17,Tuesday,03/04/2018 17:02,0
Heuston Bridge (North),40,18,Tuesday,03/04/2018 18:02,0
Heuston Bridge (North),40,19,Tuesday,03/04/2018 19:08,0
Heuston Bridge (North),40,20,Tuesday,03/04/2018 20:09,0
Heuston Bridge (North),39,21,Tuesday,03/04/2018 21:03,0
Heuston Bridge (North),39,22,Tuesday,03/04/2018 22:04,0
Heuston Bridge (North),39,23,Tuesday,03/04/2018 23:05,0
Heuston Bridge (North),37,6,Wednesday,04/04/2018 06:07,40
Heuston Bridge (North),20,7,Wednesday,04/04/2018 07:06,40
Heuston Bridge (North),9,8,Wednesday,04/04/2018 08:00,30
Heuston Bridge (North),10,9,Wednesday,04/04/2018 09:04,40
Heuston Bridge (North),10,10,Wednesday,04/04/2018 10:07,40
Heuston Bridge (North),9,11,Wednesday,04/04/2018 11:01,20
Heuston Bridge (North),10,12,Wednesday,04/04/2018 12:03,0
Heuston Bridge (North),14,13,Wednesday,04/04/2018 13:04,10
Heuston Bridge (North),15,14,Wednesday,04/04/2018 14:05,0
Heuston Bridge (North),13,15,Wednesday,04/04/2018 15:08,20
Heuston Bridge (North),24,16,Wednesday,04/04/2018 16:11,20
Heuston Bridge (North),33,17,Wednesday,04/04/2018 17:10,40
Heuston Bridge (North),30,18,Wednesday,04/04/2018 18:08,0
Heuston Bridge (North),31,19,Wednesday,04/04/2018 19:01,0
Heuston Bridge (North),35,20,Wednesday,04/04/2018 20:07,0
Heuston Bridge (North),36,21,Wednesday,04/04/2018 21:04,40
Heuston Bridge (North),37,22,Wednesday,04/04/2018 22:03,30
Heuston Bridge (North),40,23,Wednesday,04/04/2018 23:04,30
