address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Heuston Bridge (South),16,6,Thursday,29/03/2018 06:02,0
Heuston Bridge (South),6,7,Thursday,29/03/2018 07:03,0
Heuston Bridge (South),4,8,Thursday,29/03/2018 08:00,0
Heuston Bridge (South),0,9,Thursday,29/03/2018 09:01,0
Heuston Bridge (South),1,10,Thursday,29/03/2018 10:04,0
Heuston Bridge (South),1,11,Thursday,29/03/2018 11:04,10
Heuston Bridge (South),0,12,Thursday,29/03/2018 12:06,30
Heuston Bridge (South),1,13,Thursday,29/03/2018 13:03,30
Heuston Bridge (South),2,14,Thursday,29/03/2018 14:01,45
Heuston Bridge (South),20,15,Thursday,29/03/2018 15:02,40
Heuston Bridge (South),21,16,Thursday,29/03/2018 16:07,30
Heuston Bridge (South),24,17,Thursday,29/03/2018 17:05,30
Heuston Bridge (South),12,18,Thursday,29/03/2018 18:05,30
Heuston Bridge (South),10,19,Thursday,29/03/2018 19:00,40
Heuston Bridge (South),13,20,Thursday,29/03/2018 20:04,30
Heuston Bridge (South),13,21,Thursday,29/03/2018 21:03,25
Heuston Bridge (South),13,22,Thursday,29/03/2018 22:06,30
Heuston Bridge (South),13,23,Thursday,29/03/2018 23:07,40
Heuston Bridge (South),25,6,Friday,30/03/2018 06:04,0
Heuston Bridge (South),20,7,Friday,30/03/2018 07:03,0
Heuston Bridge (South),23,8,Friday,30/03/2018 08:01,0
Heuston Bridge (South),23,9,Friday,30/03/2018 09:06,0
Heuston Bridge (South),24,10,Friday,30/03/2018 10:05,20
Heuston Bridge (South),19,11,Friday,30/03/2018 11:00,20
Heuston Bridge (South),12,12,Friday,30/03/2018 12:06,20
Heuston Bridge (South),15,13,Friday,30/03/2018 13:00,20
Heuston Bridge (South),19,14,Friday,30/03/2018 14:02,20
Heuston Bridge (South),23,15,Friday,30/03/2018 15:03,0
Heuston Bridge (South),16,16,Friday,30/03/2018 16:07,0
Heuston Bridge (South),9,17,Friday,30/03/2018 17:00,20
Heuston Bridge (South),9,18,Friday,30/03/2018 18:07,0
Heuston Bridge (South),10,19,Friday,30/03/2018 19:03,0
Heuston Bridge (South),9,20,Friday,30/03/2018 20:04,0
Heuston Bridge (South),9,21,Friday,30/03/2018 21:05,0
Heuston Bridge (South),10,22,Friday,30/03/2018 22:09,0
