address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Heuston Station (Car Park),40,6,Thursday,29/03/2018 06:02,0
Heuston Station (Car Park),25,7,Thursday,29/03/2018 07:04,0
Heuston Station (Car Park),11,8,Thursday,29/03/2018 08:09,0
Heuston Station (Car Park),8,9,Thursday,29/03/2018 09:02,0
Heuston Station (Car Park),5,10,Thursday,29/03/2018 10:01,0
Heuston Station (Car Park),5,11,Thursday,29/03/2018 11:09,10
Heuston Station (Car Park),4,12,Thursday,29/03/2018 12:00,30
Heuston Station (Car Park),4,13,Thursday,29/03/2018 13:04,30
Heuston Station (Car Park),4,14,Thursday,29/03/2018 14:05,45
Heuston Station (Car Park),5,15,Thursday,29/03/2018 15:06,40
Heuston Station (Car Park),12,16,Thursday,29/03/2018 16:07,30
Heuston Station (Car Park),23,17,Thursday,29/03/2018 17:02,30
Heuston Station (Car Park),26,18,Thursday,29/03/2018 18:02,30
Heuston Station (Car Park),26,19,Thursday,29/03/2018 19:10,40
Heuston Station (Car Park),26,20,Thursday,29/03/2018 20:00,30
Heuston Station (Car Park),26,21,Thursday,29/03/2018 21:01,25
Heuston Station (Car Park),26,22,Thursday,29/03/2018 22:02,30
Heuston Station (Car Park),26,23,Thursday,29/03/2018 23:03,40
Heuston Station (Car Park),40,6,Friday,30/03/2018 06:07,0
Heuston Station (Car Park),40,7,Friday,30/03/2018 07:08,0
Heuston Station (Car Park),39,8,Friday,30/03/2018 08:01,0
Heuston Station (Car Park),39,9,Friday,30/03/2018 09:02,0
Heuston Station (Car Park),39,10,Friday,30/03/2018 10:02,20
Heuston Station (Car Park),39,11,Friday,30/03/2018 11:03,20
Heuston Station (Car Park),39,12,Friday,30/03/2018 12:04,20
Heuston Station (Car Park),40,13,Friday,30/03/2018 13:05,20
Heuston Station (Car Park),40,14,Friday,30/03/2018 14:08,20
Heuston Station (Car Park),40,15,Friday,30/03/2018 15:09,0
Heuston Station (Car Park),40,16,Friday,30/03/2018 16:00,0
Heuston Station (Car Park),40,17,Friday,30/03/2018 17:01,20
Heuston Station (Car Park),40,18,Friday,30/03/2018 18:02,0
Heuston Station (Car Park),40,19,Friday,30/03/2018 19:03,0
Heuston Station (Car Park),40,20,Friday,30/03/2018 20:04,0
Heuston Station (Car Park),39,21,Friday,30/03/2018 21:02,0
Heuston Station (Car Park),40,22,Friday,30/03/2018 22:03,0
Heuston Station (Car Park),40,23,Friday,30/03/2018 23:01,0
Heuston Station (Car Park),40,6,Saturday,31/03/2018 06:03,0
Heuston Station (Car Park),40,7,Saturday,31/03/2018 07:04,0
Heuston Station (Car Park),40,8,Saturday,31/03/2018 08:05,0
Heuston Station (Car Park),40,9,Saturday,31/03/2018 09:06,0
Heuston Station (Car Park),40,10,Saturday,31/03/2018 10:08,0
Heuston Station (Car Park),40,11,Saturday,31/03/2018 11:09,0
Heuston Station (Car Park),40,12,Saturday,31/03/2018 12:00,0
Heuston Station (Car Park),40,13,Saturday,31/03/2018 13:01,0
Heuston Station (Car Park),40,14,Saturday,31/03/2018 14:02,0
Heuston Station (Car Park),40,15,Saturday,31/03/2018 15:03,0
Heuston Station (Car Park),40,16,Saturday,31/03/2018 16:05,0
Heuston Station (Car Park),40,17,Saturday,31/03/2018 17:06,0
Heuston Station (Car Park),40,18,Saturday,31/03/2018 18:07,0
Heuston Station (Car Park),40,19,Saturday,31/03/2018 19:09,0
Heuston Station (Car Park),40,20,Saturday,31/03/2018 20:00,0
Heuston Station (Car Park),40,21,Saturday,31/03/2018 21:01,0
Heuston Station (Car Park),40,22,Saturday,31/03/2018 22:02,0
Heuston Station (Car Park),40,23,Saturday,31/03/2018 23:03,0
Heuston Station (Car Park),40,6,Sunday,01/04/2018 06:02,30
Heuston Station (Car Park),40,7,Sunday,01/04/2018 07:03,30
Heuston Station (Car Park),40,8,Sunday,01/04/2018 08:04,0
Heuston Station (Car Park),39,9,Sunday,01/04/2018 09:05,0
Heuston Station (Car Park),39,10,Sunday,01/04/2018 10:04,0
Heuston Station (Car Park),39,11,Sunday,01/04/2018 11:03,0
Heuston Station (Car Park),39,12,Sunday,01/04/2018 12:04,0
Heuston Station (Car Park),39,13,Sunday,01/04/2018 13:08,0
Heuston Station (Car Park),39,14,Sunday,01/04/2018 14:09,0
Heuston Station (Car Park),39,15,Sunday,01/04/2018 15:00,0
Heuston Station (Car Park),39,16,Sunday,01/04/2018 16:01,0
Heuston Station (Car Park),39,17,Sunday,01/04/2018 17:02,0
Heuston Station (Car Park),39,18,Sunday,01/04/2018 18:03,0
Heuston Station (Car Park),39,19,Sunday,01/04/2018 19:04,0
Heuston Station (Car Park),39,20,Sunday,01/04/2018 20:05,45
Heuston Station (Car Park),39,21,Sunday,01/04/2018 21:05,50
Heuston Station (Car Park),39,22,Sunday,01/04/2018 22:06,50
