address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Jervis Street,9,6,Thursday,29/03/2018 06:03,0
Jervis Street,9,7,Thursday,29/03/2018 07:05,0
Jervis Street,13,8,Thursday,29/03/2018 08:02,0
Jervis Street,16,9,Thursday,29/03/2018 09:02,0
Jervis Street,20,10,Thursday,29/03/2018 10:05,0
Jervis Street,20,11,Thursday,29/03/2018 11:00,10
Jervis Street,17,12,Thursday,29/03/2018 12:05,30
Jervis Street,11,13,Thursday,29/03/2018 13:00,30
Jervis Street,8,14,Thursday,29/03/2018 14:02,45
Jervis Street,5,15,Thursday,29/03/2018 15:00,40
Jervis Street,13,16,Thursday,29/03/2018 16:01,30
Jervis Street,20,17,Thursday,29/03/2018 17:00,30
Jervis Street,20,18,Thursday,29/03/2018 18:12,30
Jervis Street,19,19,Thursday,29/03/2018 19:02,40
Jervis Street,12,20,Thursday,29/03/2018 20:07,30
Jervis Street,9,21,Thursday,29/03/2018 21:06,25
Jervis Street,6,22,Thursday,29/03/2018 22:09,30
Jervis Street,5,23,Thursday,29/03/2018 23:07,40
Jervis Street,12,6,Friday,30/03/2018 06:05,0
Jervis Street,11,7,Friday,30/03/2018 07:01,0
Jervis Street,17,8,Friday,30/03/2018 08:01,0
Jervis Street,20,9,Friday,30/03/2018 09:05,0
Jervis Street,20,10,Friday,30/03/2018 10:01,20
Jervis Street,20,11,Friday,30/03/2018 11:12,20
Jervis Street,21,12,Friday,30/03/2018 12:08,20
Jervis Street,18,13,Friday,30/03/2018 13:00,20
Jervis Street,18,14,Friday,30/03/2018 14:01,20
Jervis Street,19,15,Friday,30/03/2018 15:04,0
Jervis Street,19,16,Friday,30/03/2018 16:04,0
Jervis Street,21,17,Friday,30/03/2018 17:06,20
Jervis Street,14,18,Friday,30/03/2018 18:04,0
Jervis Street,11,19,Friday,30/03/2018 19:09,0
Jervis Street,6,20,Friday,30/03/2018 20:03,0
Jervis Street,6,21,Friday,30/03/2018 21:01,0
Jervis Street,6,22,Friday,30/03/2018 22:06,0
Jervis Street,6,23,Friday,30/03/2018 23:08,0
Jervis Street,8,6,Saturday,31/03/2018 06:04,0
Jervis Street,13,7,Saturday,31/03/2018 07:06,0
Jervis Street,17,8,Saturday,31/03/2018 08:04,0
Jervis Street,21,9,Saturday,31/03/2018 09:00,0
Jervis Street,20,10,Saturday,31/03/2018 10:03,0
Jervis Street,20,11,Saturday,31/03/2018 11:01,0
Jervis Street,21,12,Saturday,31/03/2018 12:04,0
Jervis Street,21,13,Saturday,31/03/2018 13:09,0
Jervis Street,21,14,Saturday,31/03/2018 14:05,0
Jervis Street,21,15,Saturday,31/03/2018 15:04,0
Jervis Street,20,16,Saturday,31/03/2018 16:04,0
Jervis Street,19,17,Saturday,31/03/2018 17:06,0
Jervis Street,16,18,Saturday,31/03/2018 18:05,0
Jervis Street,20,19,Saturday,31/03/2018 19:06,0
Jervis Street,16,20,Saturday,31/03/2018 20:04,0
Jervis Street,16,21,Saturday,31/03/2018 21:06,0
Jervis Street,13,22,Saturday,31/03/2018 22:02,0
Jervis Street,11,23,Saturday,31/03/2018 23:07,0
Jervis Street,11,6,Sunday,01/04/2018 06:02,30
Jervis Street,13,7,Sunday,01/04/2018 07:07,30
Jervis Street,16,8,Sunday,01/04/2018 08:03,0
Jervis Street,19,9,Sunday,01/04/2018 09:07,0
Jervis Street,21,10,Sunday,01/04/2018 10:01,0
Jervis Street,20,11,Sunday,01/04/2018 11:09,0
Jervis Street,20,12,Sunday,01/04/2018 12:05,0
Jervis Street,21,13,Sunday,01/04/2018 13:00,0
Jervis Street,19,14,Sunday,01/04/2018 14:00,0
Jervis Street,20,15,Sunday,01/04/2018 15:10,0
Jervis Street,21,16,Sunday,01/04/2018 16:07,0
Jervis Street,20,17,Sunday,01/04/2018 17:07,0
Jervis Street,20,18,Sunday,01/04/2018 18:08,0
Jervis Street,21,19,Sunday,01/04/2018 19:08,0
Jervis Street,18,20,Sunday,01/04/2018 20:01,45
Jervis Street,17,21,Sunday,01/04/2018 21:00,50
Jervis Street,17,22,Sunday,01/04/2018 22:00,50
Jervis Street,14,23,Sunday,01/04/2018 23:03,60
Jervis Street,14,6,Monday,02/04/2018 06:02,70
Jervis Street,13,7,Monday,02/04/2018 07:01,70
Jervis Street,14,8,Monday,02/04/2018 08:03,60
Jervis Street,18,9,Monday,02/04/2018 09:04,70
Jervis Street,12,10,Monday,02/04/2018 10:00,65
Jervis Street,5,11,Monday,02/04/2018 11:06,70
Jervis Street,8,12,Monday,02/04/2018 12:02,70
Jervis Street,7,13,Monday,02/04/2018 13:09,70
Jervis Street,5,14,Monday,02/04/2018 14:12,60
Jervis Street,8,15,Monday,02/04/2018 15:06,60
Jervis Street,13,16,Monday,02/04/2018 16:01,60
Jervis Street,12,17,Monday,02/04/2018 17:03,50
Jervis Street,8,18,Monday,02/04/2018 18:03,40
Jervis Street,8,19,Monday,02/04/2018 19:05,0
Jervis Street,7,20,Monday,02/04/2018 20:02,0
Jervis Street,6,21,Monday,02/04/2018 21:00,40
Jervis Street,5,22,Monday,02/04/2018 22:10,50
Jervis Street,5,23,Monday,02/04/2018 23:00,60
Jervis Street,14,6,Tuesday,03/04/2018 06:00,0
Jervis Street,15,7,Tuesday,03/04/2018 07:03,20
Jervis Street,3,8,Tuesday,03/04/2018 08:07,20
Jervis Street,2,9,Tuesday,03/04/2018 09:06,0
Jervis Street,4,10,Tuesday,03/04/2018 10:03,0
Jervis Street,5,11,Tuesday,03/04/2018 11:00,0
Jervis Street,2,12,Tuesday,03/04/2018 12:02,30
Jervis Street,1,13,Tuesday,03/04/2018 13:04,40
Jervis Street,1,14,Tuesday,03/04/2018 14:01,20
Jervis Street,3,15,Tuesday,03/04/2018 15:02,20
Jervis Street,7,16,Tuesday,03/04/2018 16:01,30
Jervis Street,15,17,Tuesday,03/04/2018 17:05,0
Jervis Street,10,18,Tuesday,03/04/2018 18:00,0
Jervis Street,2,19,Tuesday,03/04/2018 19:05,0
Jervis Street,0,20,Tuesday,03/04/2018 20:00,0
Jervis Street,0,21,Tuesday,03/04/2018 21:04,0
Jervis Street,0,22,Tuesday,03/04/2018 22:01,0
Jervis Street,0,23,Tuesday,03/04/2018 23:02,0
Jervis Street,3,6,Wednesday,04/04/2018 06:09,40
Jervis Street,4,7,Wednesday,04/04/2018 07:03,40
Jervis Street,5,8,Wednesday,04/04/2018 08:06,30
Jervis Street,6,9,Wednesday,04/04/2018 09:04,40
Jervis Street,8,10,Wednesday,04/04/2018 10:04,40
Jervis Street,11,11,Wednesday,04/04/2018 11:05,20
Jervis Street,10,12,Wednesday,04/04/2018 12:08,0
Jervis Street,8,13,Wednesday,04/04/2018 13:08,10
Jervis Street,8,14,Wednesday,04/04/2018 14:05,0
Jervis Street,4,15,Wednesday,04/04/2018 15:04,20
Jervis Street,4,16,Wednesday,04/04/2018 16:00,20
Jervis Street,8,17,Wednesday,04/04/2018 17:01,40
Jervis Street,2,18,Wednesday,04/04/2018 18:01,0
Jervis Street,1,19,Wednesday,04/04/2018 19:01,0
