address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Market Street South,25,6,Thursday,29/03/2018 06:07,0
Market Street South,13,7,Thursday,29/03/2018 07:03,0
Market Street South,6,8,Thursday,29/03/2018 08:00,0
Market Street South,4,9,Thursday,29/03/2018 09:01,0
Market Street South,3,10,Thursday,29/03/2018 10:00,0
Market Street South,0,11,Thursday,29/03/2018 11:00,10
Market Street South,0,12,Thursday,29/03/2018 12:01,30
Market Street South,2,13,Thursday,29/03/2018 13:00,30
Market Street South,3,14,Thursday,29/03/2018 14:02,45
Market Street South,3,15,Thursday,29/03/2018 15:05,40
Market Street South,4,16,Thursday,29/03/2018 16:09,30
Market Street South,8,17,Thursday,29/03/2018 17:01,30
Market Street South,11,18,Thursday,29/03/2018 18:08,30
Market Street South,9,19,Thursday,29/03/2018 19:12,40
Market Street South,21,20,Thursday,29/03/2018 20:09,30
Market Street South,26,21,Thursday,29/03/2018 21:07,25
Market Street South,27,22,Thursday,29/03/2018 22:00,30
Market Street South,27,23,Thursday,29/03/2018 23:01,40
Market Street South,19,6,Friday,30/03/2018 06:10,0
Market Street South,23,7,Friday,30/03/2018 07:05,0
Market Street South,29,8,Friday,30/03/2018 08:04,0
Market Street South,28,9,Friday,30/03/2018 09:07,0
Market Street South,27,10,Friday,30/03/2018 10:08,20
Market Street South,27,11,Friday,30/03/2018 11:01,20
Market Street South,26,12,Friday,30/03/2018 12:03,20
Market Street South,25,13,Friday,30/03/2018 13:02,20
Market Street South,27,14,Friday,30/03/2018 14:06,20
Market Street South,27,15,Friday,30/03/2018 15:07,0
Market Street South,25,16,Friday,30/03/2018 16:03,0
Market Street South,22,17,Friday,30/03/2018 17:02,20
Market Street South,23,18,Friday,30/03/2018 18:00,0
Market Street South,21,19,Friday,30/03/2018 19:08,0
Market Street South,20,20,Friday,30/03/2018 20:07,0
Market Street South,18,21,Friday,30/03/2018 21:05,0
Market Street South,16,22,Friday,30/03/2018 22:06,0
Market Street South,16,23,Friday,30/03/2018 23:07,0
Market Street South,22,6,Saturday,31/03/2018 06:07,0
Market Street South,34,7,Saturday,31/03/2018 07:04,0
Market Street South,35,8,Saturday,31/03/2018 08:05,0
Market Street South,34,9,Saturday,31/03/2018 09:09,0
Market Street South,33,10,Saturday,31/03/2018 10:02,0
Market Street South,30,11,Saturday,31/03/2018 11:11,0
Market Street South,28,12,Saturday,31/03/2018 12:02,0
Market Street South,26,13,Saturday,31/03/2018 13:07,0
Market Street South,24,14,Saturday,31/03/2018 14:01,0
Market Street South,24,15,Saturday,31/03/2018 15:00,0
Market Street South,18,16,Saturday,31/03/2018 16:05,0
Market Street South,18,17,Saturday,31/03/2018 17:00,0
Market Street South,15,18,Saturday,31/03/2018 18:04,0
Market Street South,15,19,Saturday,31/03/2018 19:09,0
Market Street South,16,20,Saturday,31/03/2018 20:08,0
Market Street South,15,21,Saturday,31/03/2018 21:03,0
Market Street South,17,22,Saturday,31/03/2018 22:02,0
Market Street South,16,23,Saturday,31/03/2018 23:06,0
Market Street South,15,6,Sunday,01/04/2018 06:07,30
Market Street South,14,7,Sunday,01/04/2018 07:00,30
Market Street South,12,8,Sunday,01/04/2018 08:04,0
Market Street South,10,9,Sunday,01/04/2018 09:09,0
Market Street South,19,10,Sunday,01/04/2018 10:07,0
Market Street South,26,11,Sunday,01/04/2018 11:06,0
Market Street South,26,12,Sunday,01/04/2018 12:05,0
Market Street South,24,13,Sunday,01/04/2018 13:00,0
Market Street South,20,14,Sunday,01/04/2018 14:01,0
Market Street South,20,15,Sunday,01/04/2018 15:01,0
Market Street South,21,16,Sunday,01/04/2018 16:02,0
Market Street South,22,17,Sunday,01/04/2018 17:04,0
Market Street South,21,18,Sunday,01/04/2018 18:02,0
Market Street South,20,19,Sunday,01/04/2018 19:02,0
Market Street South,20,20,Sunday,01/04/2018 20:07,45
Market Street South,19,21,Sunday,01/04/2018 21:05,50
Market Street South,19,22,Sunday,01/04/2018 22:06,50
Market Street South,20,23,Sunday,01/04/2018 23:07,60
Market Street South,18,6,Monday,02/04/2018 06:00,70
Market Street South,15,7,Monday,02/04/2018 07:09,70
Market Street South,15,8,Monday,02/04/2018 08:02,60
Market Street South,17,9,Monday,02/04/2018 09:08,70
Market Street South,15,10,Monday,02/04/2018 10:10,65
Market Street South,13,11,Monday,02/04/2018 11:05,70
Market Street South,10,12,Monday,02/04/2018 12:07,70
Market Street South,9,13,Monday,02/04/2018 13:04,70
Market Street South,8,14,Monday,02/04/2018 14:08,60
Market Street South,8,15,Monday,02/04/2018 15:08,60
Market Street South,9,16,Monday,02/04/2018 16:09,60
Market Street South,9,17,Monday,02/04/2018 17:01,50
Market Street South,10,18,Monday,02/04/2018 18:05,40
Market Street South,8,19,Monday,02/04/2018 19:09,0
Market Street South,8,20,Monday,02/04/2018 20:09,0
Market Street South,9,21,Monday,02/04/2018 21:05,40
Market Street South,9,22,Monday,02/04/2018 22:02,50
Market Street South,9,23,Monday,02/04/2018 23:01,60
Market Street South,0,6,Tuesday,03/04/2018 06:03,0
Market Street South,0,7,Tuesday,03/04/2018 07:04,20
Market Street South,0,8,Tuesday,03/04/2018 08:06,20
Market Street South,0,9,Tuesday,03/04/2018 09:01,0
Market Street South,0,10,Tuesday,03/04/2018 10:09,0
Market Street South,1,11,Tuesday,03/04/2018 11:09,0
Market Street South,10,12,Tuesday,03/04/2018 12:04,30
Market Street South,13,13,Tuesday,03/04/2018 13:00,40
Market Street South,14,14,Tuesday,03/04/2018 14:08,20
Market Street South,16,15,Tuesday,03/04/2018 15:02,20
Market Street South,22,16,Tuesday,03/04/2018 16:07,30
Market Street South,27,17,Tuesday,03/04/2018 17:05,0
Market Street South,28,18,Tuesday,03/04/2018 18:00,0
Market Street South,28,19,Tuesday,03/04/2018 19:02,0
Market Street South,28,20,Tuesday,03/04/2018 20:07,0
Market Street South,29,21,Tuesday,03/04/2018 21:06,0
Market Street South,30,22,Tuesday,03/04/2018 22:09,0
Market Street South,30,23,Tuesday,03/04/2018 23:00,0
Market Street South,19,6,Wednesday,04/04/2018 06:08,40
Market Street South,12,7,Wednesday,04/04/2018 07:02,40
Market Street South,8,8,Wednesday,04/04/2018 08:00,30
Market Street South,5,9,Wednesday,04/04/2018 09:02,40
Market Street South,4,10,Wednesday,04/04/2018 10:03,40
Market Street South,3,11,Wednesday,04/04/2018 11:00,20
Market Street South,11,12,Wednesday,04/04/2018 12:09,0
Market Street South,25,13,Wednesday,04/04/2018 13:10,10
Market Street South,25,14,Wednesday,04/04/2018 14:04,0
Market Street South,27,15,Wednesday,04/04/2018 15:06,20
Market Street South,30,16,Wednesday,04/04/2018 16:03,20
Market Street South,31,17,Wednesday,04/04/2018 17:05,40
Market Street South,37,18,Wednesday,04/04/2018 18:03,0
Market Street South,37,19,Wednesday,04/04/2018 19:03,0
Market Street South,38,20,Wednesday,04/04/2018 20:04,0
Market Street South,37,21,Wednesday,04/04/2018 21:05,40
Market Street South,37,22,Wednesday,04/04/2018 22:06,30
Market Street South,37,23,Wednesday,04/04/2018 23:03,30
