address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Mountjoy Square West,12,6,Thursday,29/03/2018 06:04,0
Mountjoy Square West,8,7,Thursday,29/03/2018 07:05,0
Mountjoy Square West,3,8,Thursday,29/03/2018 08:04,0
Mountjoy Square West,7,9,Thursday,29/03/2018 09:02,0
Mountjoy Square West,4,10,Thursday,29/03/2018 10:07,0
Mountjoy Square West,2,11,Thursday,29/03/2018 11:08,10
Mountjoy Square West,6,12,Thursday,29/03/2018 12:01,30
Mountjoy Square West,18,13,Thursday,29/03/2018 13:11,30
Mountjoy Square West,14,14,Thursday,29/03/2018 14:00,45
Mountjoy Square West,10,15,Thursday,29/03/2018 15:01,40
Mountjoy Square West,8,16,Thursday,29/03/2018 16:01,30
Mountjoy Square West,2,17,Thursday,29/03/2018 17:02,30
Mountjoy Square West,3,18,Thursday,29/03/2018 18:01,30
Mountjoy Square West,4,19,Thursday,29/03/2018 19:05,40
Mountjoy Square West,10,20,Thursday,29/03/2018 20:10,30
Mountjoy Square West,14,21,Thursday,29/03/2018 21:08,25
Mountjoy Square West,15,22,Thursday,29/03/2018 22:09,30
Mountjoy Square West,16,23,Thursday,29/03/2018 23:03,40
Mountjoy Square West,14,6,Friday,30/03/2018 06:06,0
Mountjoy Square West,7,7,Friday,30/03/2018 07:01,0
Mountjoy Square West,14,8,Friday,30/03/2018 08:06,0
Mountjoy Square West,10,9,Friday,30/03/2018 09:02,0
Mountjoy Square West,7,10,Friday,30/03/2018 10:06,20
Mountjoy Square West,12,11,Friday,30/03/2018 11:02,20
Mountjoy Square West,12,12,Friday,30/03/2018 12:02,20
Mountjoy Square West,17,13,Friday,30/03/2018 13:01,20
Mountjoy Square West,22,14,Friday,30/03/2018 14:08,20
Mountjoy Square West,16,15,Friday,30/03/2018 15:03,0
Mountjoy Square West,12,16,Friday,30/03/2018 16:09,0
Mountjoy Square West,15,17,Friday,30/03/2018 17:09,20
Mountjoy Square West,19,18,Friday,30/03/2018 18:03,0
Mountjoy Square West,18,19,Friday,30/03/2018 19:05,0
Mountjoy Square West,19,20,Friday,30/03/2018 20:03,0
Mountjoy Square West,21,21,Friday,30/03/2018 21:04,0
Mountjoy Square West,26,22,Friday,30/03/2018 22:01,0
Mountjoy Square West,29,23,Friday,30/03/2018 23:01,0
Mountjoy Square West,17,6,Saturday,31/03/2018 06:05,0
Mountjoy Square West,23,7,Saturday,31/03/2018 07:05,0
Mountjoy Square West,24,8,Saturday,31/03/2018 08:04,0
Mountjoy Square West,15,9,Saturday,31/03/2018 09:03,0
Mountjoy Square West,13,10,Saturday,31/03/2018 10:07,0
Mountjoy Square West,5,11,Saturday,31/03/2018 11:09,0
Mountjoy Square West,11,12,Saturday,31/03/2018 12:00,0
Mountjoy Square West,22,13,Saturday,31/03/2018 13:09,0
Mountjoy Square West,22,14,Saturday,31/03/2018 14:01,0
Mountjoy Square West,22,15,Saturday,31/03/2018 15:00,0
Mountjoy Square West,26,16,Saturday,31/03/2018 16:04,0
Mountjoy Square West,26,17,Saturday,31/03/2018 17:03,0
Mountjoy Square West,25,18,Saturday,31/03/2018 18:00,0
Mountjoy Square West,23,19,Saturday,31/03/2018 19:09,0
Mountjoy Square West,22,20,Saturday,31/03/2018 20:07,0
Mountjoy Square West,19,21,Saturday,31/03/2018 21:07,0
Mountjoy Square West,22,22,Saturday,31/03/2018 22:02,0
Mountjoy Square West,24,23,Saturday,31/03/2018 23:07,0
Mountjoy Square West,21,6,Sunday,01/04/2018 06:07,30
Mountjoy Square West,19,7,Sunday,01/04/2018 07:01,30
Mountjoy Square West,16,8,Sunday,01/04/2018 08:09,0
Mountjoy Square West,9,9,Sunday,01/04/2018 09:05,0
Mountjoy Square West,3,10,Sunday,01/04/2018 10:04,0
Mountjoy Square West,0,11,Sunday,01/04/2018 11:00,0
Mountjoy Square West,1,12,Sunday,01/04/2018 12:08,0
Mountjoy Square West,4,13,Sunday,01/04/2018 13:06,0
Mountjoy Square West,7,14,Sunday,01/04/2018 14:02,0
Mountjoy Square West,10,15,Sunday,01/04/2018 15:00,0
Mountjoy Square West,8,16,Sunday,01/04/2018 16:04,0
Mountjoy Square West,1,17,Sunday,01/04/2018 17:02,0
Mountjoy Square West,2,18,Sunday,01/04/2018 18:07,0
Mountjoy Square West,5,19,Sunday,01/04/2018 19:00,0
Mountjoy Square West,6,20,Sunday,01/04/2018 20:08,45
Mountjoy Square West,8,21,Sunday,01/04/2018 21:00,50
Mountjoy Square West,10,22,Sunday,01/04/2018 22:02,50
Mountjoy Square West,12,23,Sunday,01/04/2018 23:06,60
Mountjoy Square West,2,6,Monday,02/04/2018 06:04,70
Mountjoy Square West,7,7,Monday,02/04/2018 07:07,70
Mountjoy Square West,20,8,Monday,02/04/2018 08:05,60
Mountjoy Square West,17,9,Monday,02/04/2018 09:02,70
Mountjoy Square West,11,10,Monday,02/04/2018 10:06,65
Mountjoy Square West,13,11,Monday,02/04/2018 11:09,70
Mountjoy Square West,12,12,Monday,02/04/2018 12:08,70
Mountjoy Square West,12,13,Monday,02/04/2018 13:09,70
Mountjoy Square West,7,14,Monday,02/04/2018 14:01,60
Mountjoy Square West,5,15,Monday,02/04/2018 15:08,60
Mountjoy Square West,2,16,Monday,02/04/2018 16:03,60
Mountjoy Square West,2,17,Monday,02/04/2018 17:02,50
Mountjoy Square West,8,18,Monday,02/04/2018 18:02,40
Mountjoy Square West,11,19,Monday,02/04/2018 19:00,0
Mountjoy Square West,12,20,Monday,02/04/2018 20:08,0
Mountjoy Square West,14,21,Monday,02/04/2018 21:09,40
Mountjoy Square West,17,22,Monday,02/04/2018 22:09,50
Mountjoy Square West,17,23,Monday,02/04/2018 23:07,60
Mountjoy Square West,4,6,Tuesday,03/04/2018 06:04,0
Mountjoy Square West,4,7,Tuesday,03/04/2018 07:09,20
Mountjoy Square West,4,8,Tuesday,03/04/2018 08:04,20
Mountjoy Square West,11,9,Tuesday,03/04/2018 09:00,0
Mountjoy Square West,6,10,Tuesday,03/04/2018 10:08,0
Mountjoy Square West,1,11,Tuesday,03/04/2018 11:00,0
Mountjoy Square West,16,12,Tuesday,03/04/2018 12:02,30
Mountjoy Square West,13,13,Tuesday,03/04/2018 13:02,40
Mountjoy Square West,10,14,Tuesday,03/04/2018 14:04,20
Mountjoy Square West,8,15,Tuesday,03/04/2018 15:04,20
Mountjoy Square West,10,16,Tuesday,03/04/2018 16:03,30
Mountjoy Square West,8,17,Tuesday,03/04/2018 17:02,0
Mountjoy Square West,29,18,Tuesday,03/04/2018 18:00,0
Mountjoy Square West,29,19,Tuesday,03/04/2018 19:05,0
Mountjoy Square West,30,20,Tuesday,03/04/2018 20:04,0
Mountjoy Square West,30,21,Tuesday,03/04/2018 21:01,0
