address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Parnell Street,8,6,Thursday,29/03/2018 06:03,0
Parnell Street,3,7,Thursday,29/03/2018 07:03,0
Parnell Street,5,8,Thursday,29/03/2018 08:05,0
Parnell Street,10,9,Thursday,29/03/2018 09:02,0
Parnell Street,10,10,Thursday,29/03/2018 10:00,0
Parnell Street,10,11,Thursday,29/03/2018 11:01,10
Parnell Street,8,12,Thursday,29/03/2018 12:05,30
Parnell Street,11,13,Thursday,29/03/2018 13:01,30
Parnell Street,15,14,Thursday,29/03/2018 14:08,45
Parnell Street,12,15,Thursday,29/03/2018 15:02,40
Parnell Street,12,16,Thursday,29/03/2018 16:02,30
Parnell Street,17,17,Thursday,29/03/2018 17:00,30
Parnell Street,18,18,Thursday,29/03/2018 18:03,30
Parnell Street,19,19,Thursday,29/03/2018 19:02,40
Parnell Street,16,20,Thursday,29/03/2018 20:08,30
Parnell Street,15,21,Thursday,29/03/2018 21:11,25
Parnell Street,14,22,Thursday,29/03/2018 22:00,30
Parnell Street,16,23,Thursday,29/03/2018 23:00,40
Parnell Street,12,6,Friday,30/03/2018 06:00,0
Parnell Street,10,7,Friday,30/03/2018 07:08,0
Parnell Street,13,8,Friday,30/03/2018 08:01,0
Parnell Street,12,9,Friday,30/03/2018 09:05,0
Parnell Street,14,10,Friday,30/03/2018 10:11,20
Parnell Street,11,11,Friday,30/03/2018 11:02,20
Parnell Street,16,12,Friday,30/03/2018 12:00,20
Parnell Street,19,13,Friday,30/03/2018 13:05,20
Parnell Street,15,14,Friday,30/03/2018 14:03,20
Parnell Street,17,15,Friday,30/03/2018 15:02,0
Parnell Street,16,16,Friday,30/03/2018 16:04,0
Parnell Street,12,17,Friday,30/03/2018 17:03,20
Parnell Street,8,18,Friday,30/03/2018 18:04,0
Parnell Street,2,19,Friday,30/03/2018 19:02,0
Parnell Street,2,20,Friday,30/03/2018 20:05,0
Parnell Street,1,21,Friday,30/03/2018 21:06,0
Parnell Street,0,22,Friday,30/03/2018 22:00,0
Parnell Street,2,23,Friday,30/03/2018 23:01,0
Parnell Street,2,6,Saturday,31/03/2018 06:05,0
Parnell Street,2,7,Saturday,31/03/2018 07:02,0
Parnell Street,4,8,Saturday,31/03/2018 08:02,0
Parnell Street,4,9,Saturday,31/03/2018 09:00,0
Parnell Street,8,10,Saturday,31/03/2018 10:01,0
Parnell Street,14,11,Saturday,31/03/2018 11:04,0
Parnell Street,12,12,Saturday,31/03/2018 12:01,0
Parnell Street,14,13,Saturday,31/03/2018 13:00,0
Parnell Street,19,14,Saturday,31/03/2018 14:01,0
Parnell Street,19,15,Saturday,31/03/2018 15:05,0
Parnell Street,18,16,Saturday,31/03/2018 16:09,0
Parnell Street,18,17,Saturday,31/03/2018 17:06,0
Parnell Street,16,18,Saturday,31/03/2018 18:04,0
Parnell Street,19,19,Saturday,31/03/2018 19:05,0
Parnell Street,15,20,Saturday,31/03/2018 20:00,0
Parnell Street,16,21,Saturday,31/03/2018 21:02,0
Parnell Street,16,22,Saturday,31/03/2018 22:03,0
Parnell Street,17,23,Saturday,31/03/2018 23:00,0
Parnell Street,15,6,Sunday,01/04/2018 06:06,30
Parnell Street,16,7,Sunday,01/04/2018 07:04,30
Parnell Street,12,8,Sunday,01/04/2018 08:10,0
Parnell Street,10,9,Sunday,01/04/2018 09:04,0
Parnell Street,13,10,Sunday,01/04/2018 10:00,0
Parnell Street,12,11,Sunday,01/04/2018 11:04,0
Parnell Street,4,12,Sunday,01/04/2018 12:03,0
Parnell Street,4,13,Sunday,01/04/2018 13:02,0
Parnell Street,8,14,Sunday,01/04/2018 14:01,0
Parnell Street,12,15,Sunday,01/04/2018 15:02,0
Parnell Street,14,16,Sunday,01/04/2018 16:06,0
Parnell Street,14,17,Sunday,01/04/2018 17:01,0
Parnell Street,13,18,Sunday,01/04/2018 18:06,0
Parnell Street,14,19,Sunday,01/04/2018 19:00,0
Parnell Street,14,20,Sunday,01/04/2018 20:03,45
Parnell Street,12,21,Sunday,01/04/2018 21:03,50
Parnell Street,8,22,Sunday,01/04/2018 22:00,50
Parnell Street,7,23,Sunday,01/04/2018 23:00,60
Parnell Street,6,6,Monday,02/04/2018 06:05,70
Parnell Street,8,7,Monday,02/04/2018 07:05,70
Parnell Street,7,8,Monday,02/04/2018 08:04,60
Parnell Street,6,9,Monday,02/04/2018 09:04,70
Parnell Street,6,10,Monday,02/04/2018 10:05,65
Parnell Street,5,11,Monday,02/04/2018 11:12,70
Parnell Street,6,12,Monday,02/04/2018 12:06,70
Parnell Street,4,13,Monday,02/04/2018 13:07,70
Parnell Street,2,14,Monday,02/04/2018 14:05,60
Parnell Street,1,15,Monday,02/04/2018 15:02,60
Parnell Street,2,16,Monday,02/04/2018 16:03,60
Parnell Street,4,17,Monday,02/04/2018 17:02,50
Parnell Street,2,18,Monday,02/04/2018 18:08,40
Parnell Street,0,19,Monday,02/04/2018 19:02,0
Parnell Street,2,20,Monday,02/04/2018 20:03,0
Parnell Street,3,21,Monday,02/04/2018 21:01,40
Parnell Street,2,22,Monday,02/04/2018 22:09,50
Parnell Street,4,23,Monday,02/04/2018 23:01,60
Parnell Street,0,6,Tuesday,03/04/2018 06:03,0
Parnell Street,1,7,Tuesday,03/04/2018 07:06,20
Parnell Street,0,8,Tuesday,03/04/2018 08:02,20
Parnell Street,1,9,Tuesday,03/04/2018 09:01,0
Parnell Street,3,10,Tuesday,03/04/2018 10:09,0
Parnell Street,4,11,Tuesday,03/04/2018 11:03,0
Parnell Street,2,12,Tuesday,03/04/2018 12:01,30
Parnell Street,2,13,Tuesday,03/04/2018 13:03,40
Parnell Street,2,14,Tuesday,03/04/2018 14:02,20
Parnell Street,6,15,Tuesday,03/04/2018 15:04,20
Parnell Street,7,16,Tuesday,03/04/2018 16:04,30
Parnell Street,10,17,Tuesday,03/04/2018 17:00,0
Parnell Street,2,18,Tuesday,03/04/2018 18:04,0
Parnell Street,3,19,Tuesday,03/04/2018 19:05,0
Parnell Street,1,20,Tuesday,03/04/2018 20:04,0
Parnell Street,0,21,Tuesday,03/04/2018 21:08,0
Parnell Street,2,22,Tuesday,03/04/2018 22:09,0
Parnell Street,3,23,Tuesday,03/04/2018 23:07,0
Parnell Street,18,6,Wednesday,04/04/2018 06:03,40
Parnell Street,18,7,Wednesday,04/04/2018 07:00,40
Parnell Street,18,8,Wednesday,04/04/2018 08:03,30
Parnell Street,19,9,Wednesday,04/04/2018 09:04,40
Parnell Street,19,10,Wednesday,04/04/2018 10:00,40
Parnell Street,19,11,Wednesday,04/04/2018 11:05,20
Parnell Street,18,12,Wednesday,04/04/2018 12:00,0
Parnell Street,18,13,Wednesday,04/04/2018 13:04,10
Parnell Street,13,14,Wednesday,04/04/2018 14:00,0
Parnell Street,16,15,Wednesday,04/04/2018 15:00,20
Parnell Street,19,16,Wednesday,04/04/2018 16:01,20
Parnell Street,17,17,Wednesday,04/04/2018 17:06,40
Parnell Street,10,18,Wednesday,04/04/2018 18:01,0
Parnell Street,7,19,Wednesday,04/04/2018 19:02,0
Parnell Street,4,20,Wednesday,04/04/2018 20:02,0
Parnell Street,1,21,Wednesday,04/04/2018 21:03,40
Parnell Street,1,22,Wednesday,04/04/2018 22:09,30
Parnell Street,3,23,Wednesday,04/04/2018 23:07,30
