address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Sandwith Street,0,6,Thursday,29/03/2018 06:04,0
Sandwith Street,0,7,Thursday,29/03/2018 07:05,0
Sandwith Street,0,8,Thursday,29/03/2018 08:06,0
Sandwith Street,0,9,Thursday,29/03/2018 09:07,0
Sandwith Street,0,10,Thursday,29/03/2018 10:08,0
Sandwith Street,0,11,Thursday,29/03/2018 11:09,10
Sandwith Street,0,12,Thursday,29/03/2018 12:00,30
Sandwith Street,0,13,Thursday,29/03/2018 13:00,30
Sandwith Street,0,14,Thursday,29/03/2018 14:01,45
Sandwith Street,0,15,Thursday,29/03/2018 15:02,40
Sandwith Street,0,16,Thursday,29/03/2018 16:03,30
Sandwith Street,0,17,Thursday,29/03/2018 17:04,30
Sandwith Street,0,18,Thursday,29/03/2018 18:05,30
Sandwith Street,0,19,Thursday,29/03/2018 19:06,40
Sandwith Street,0,20,Thursday,29/03/2018 20:07,30
Sandwith Street,0,21,Thursday,29/03/2018 21:08,25
Sandwith Street,0,22,Thursday,29/03/2018 22:08,30
Sandwith Street,0,23,Thursday,29/03/2018 23:09,40
Sandwith Street,0,6,Friday,30/03/2018 06:01,0
Sandwith Street,0,7,Friday,30/03/2018 07:02,0
Sandwith Street,0,8,Friday,30/03/2018 08:02,0
Sandwith Street,0,9,Friday,30/03/2018 09:03,0
Sandwith Street,0,10,Friday,30/03/2018 10:04,20
Sandwith Street,0,11,Friday,30/03/2018 11:05,20
Sandwith Street,0,12,Friday,30/03/2018 12:06,20
Sandwith Street,0,13,Friday,30/03/2018 13:07,20
Sandwith Street,0,14,Friday,30/03/2018 14:08,20
Sandwith Street,0,15,Friday,30/03/2018 15:08,0
Sandwith Street,0,16,Friday,30/03/2018 16:09,0
Sandwith Street,0,17,Friday,30/03/2018 17:00,20
Sandwith Street,0,18,Friday,30/03/2018 18:01,0
Sandwith Street,0,19,Friday,30/03/2018 19:02,0
Sandwith Street,0,20,Friday,30/03/2018 20:03,0
Sandwith Street,0,21,Friday,30/03/2018 21:04,0
Sandwith Street,0,22,Friday,30/03/2018 22:04,0
Sandwith Street,0,23,Friday,30/03/2018 23:05,0
Sandwith Street,0,6,Saturday,31/03/2018 06:01,0
Sandwith Street,0,7,Saturday,31/03/2018 07:01,0
Sandwith Street,0,8,Saturday,31/03/2018 08:02,0
Sandwith Street,0,9,Saturday,31/03/2018 09:03,0
Sandwith Street,0,10,Saturday,31/03/2018 10:04,0
Sandwith Street,0,11,Saturday,31/03/2018 11:05,0
Sandwith Street,0,12,Saturday,31/03/2018 12:06,0
Sandwith Street,0,13,Saturday,31/03/2018 13:07,0
Sandwith Street,0,14,Saturday,31/03/2018 14:08,0
Sandwith Street,0,15,Saturday,31/03/2018 15:08,0
Sandwith Street,0,16,Saturday,31/03/2018 16:09,0
Sandwith Street,0,17,Saturday,31/03/2018 17:00,0
Sandwith Street,0,18,Saturday,31/03/2018 18:01,0
Sandwith Street,0,19,Saturday,31/03/2018 19:02,0
Sandwith Street,0,20,Saturday,31/03/2018 20:03,0
Sandwith Street,0,21,Saturday,31/03/2018 21:04,0
Sandwith Street,0,22,Saturday,31/03/2018 22:05,0
Sandwith Street,0,23,Saturday,31/03/2018 23:06,0
Sandwith Street,0,6,Sunday,01/04/2018 06:01,30
Sandwith Street,0,7,Sunday,01/04/2018 07:02,30
