address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
St. James Hospital (Central),38,6,Thursday,29/03/2018 06:01,0
St. James Hospital (Central),39,7,Thursday,29/03/2018 07:02,0
St. James Hospital (Central),29,8,Thursday,29/03/2018 08:00,0
St. James Hospital (Central),15,9,Thursday,29/03/2018 09:05,0
St. James Hospital (Central),12,10,Thursday,29/03/2018 10:09,0
St. James Hospital (Central),10,11,Thursday,29/03/2018 11:04,10
St. James Hospital (Central),9,12,Thursday,29/03/2018 12:01,30
St. James Hospital (Central),11,13,Thursday,29/03/2018 13:00,30
St. James Hospital (Central),11,14,Thursday,29/03/2018 14:01,45
St. James Hospital (Central),11,15,Thursday,29/03/2018 15:05,40
St. James Hospital (Central),9,16,Thursday,29/03/2018 16:04,30
St. James Hospital (Central),24,17,Thursday,29/03/2018 17:02,30
St. James Hospital (Central),25,18,Thursday,29/03/2018 18:01,30
St. James Hospital (Central),25,19,Thursday,29/03/2018 19:08,40
St. James Hospital (Central),23,20,Thursday,29/03/2018 20:05,30
St. James Hospital (Central),23,21,Thursday,29/03/2018 21:06,25
St. James Hospital (Central),23,22,Thursday,29/03/2018 22:06,30
St. James Hospital (Central),23,23,Thursday,29/03/2018 23:07,40
St. James Hospital (Central),38,6,Friday,30/03/2018 06:01,0
St. James Hospital (Central),40,7,Friday,30/03/2018 07:10,0
St. James Hospital (Central),38,8,Friday,30/03/2018 08:09,0
St. James Hospital (Central),38,9,Friday,30/03/2018 09:00,0
St. James Hospital (Central),38,10,Friday,30/03/2018 10:01,20
St. James Hospital (Central),39,11,Friday,30/03/2018 11:06,20
St. James Hospital (Central),37,12,Friday,30/03/2018 12:06,20
St. James Hospital (Central),37,13,Friday,30/03/2018 13:01,20
St. James Hospital (Central),36,14,Friday,30/03/2018 14:04,20
St. James Hospital (Central),36,15,Friday,30/03/2018 15:05,0
St. James Hospital (Central),32,16,Friday,30/03/2018 16:00,0
St. James Hospital (Central),29,17,Friday,30/03/2018 17:01,20
St. James Hospital (Central),27,18,Friday,30/03/2018 18:01,0
St. James Hospital (Central),28,19,Friday,30/03/2018 19:05,0
St. James Hospital (Central),28,20,Friday,30/03/2018 20:06,0
St. James Hospital (Central),28,21,Friday,30/03/2018 21:07,0
St. James Hospital (Central),28,22,Friday,30/03/2018 22:08,0
St. James Hospital (Central),28,23,Friday,30/03/2018 23:09,0
St. James Hospital (Central),28,6,Saturday,31/03/2018 06:02,0
St. James Hospital (Central),28,7,Saturday,31/03/2018 07:01,0
St. James Hospital (Central),28,8,Saturday,31/03/2018 08:04,0
St. James Hospital (Central),28,9,Saturday,31/03/2018 09:05,0
St. James Hospital (Central),28,10,Saturday,31/03/2018 10:04,0
St. James Hospital (Central),28,11,Saturday,31/03/2018 11:02,0
St. James Hospital (Central),28,12,Saturday,31/03/2018 12:03,0
St. James Hospital (Central),28,13,Saturday,31/03/2018 13:04,0
St. James Hospital (Central),27,14,Saturday,31/03/2018 14:03,0
St. James Hospital (Central),27,15,Saturday,31/03/2018 15:04,0
St. James Hospital (Central),26,16,Saturday,31/03/2018 16:09,0
St. James Hospital (Central),26,17,Saturday,31/03/2018 17:04,0
St. James Hospital (Central),26,18,Saturday,31/03/2018 18:05,0
St. James Hospital (Central),27,19,Saturday,31/03/2018 19:00,0
St. James Hospital (Central),26,20,Saturday,31/03/2018 20:09,0
St. James Hospital (Central),25,21,Saturday,31/03/2018 21:01,0
St. James Hospital (Central),25,22,Saturday,31/03/2018 22:02,0
St. James Hospital (Central),25,23,Saturday,31/03/2018 23:03,0
St. James Hospital (Central),25,6,Sunday,01/04/2018 06:02,30
St. James Hospital (Central),26,7,Sunday,01/04/2018 07:00,30
St. James Hospital (Central),25,8,Sunday,01/04/2018 08:01,0
St. James Hospital (Central),25,9,Sunday,01/04/2018 09:02,0
St. James Hospital (Central),26,10,Sunday,01/04/2018 10:05,0
St. James Hospital (Central),26,11,Sunday,01/04/2018 11:06,0
St. James Hospital (Central),26,12,Sunday,01/04/2018 12:02,0
St. James Hospital (Central),25,13,Sunday,01/04/2018 13:03,0
St. James Hospital (Central),24,14,Sunday,01/04/2018 14:03,0
St. James Hospital (Central),21,15,Sunday,01/04/2018 15:01,0
St. James Hospital (Central),21,16,Sunday,01/04/2018 16:07,0
St. James Hospital (Central),19,17,Sunday,01/04/2018 17:05,0
St. James Hospital (Central),18,18,Sunday,01/04/2018 18:03,0
St. James Hospital (Central),19,19,Sunday,01/04/2018 19:06,0
St. James Hospital (Central),16,20,Sunday,01/04/2018 20:07,45
St. James Hospital (Central),15,21,Sunday,01/04/2018 21:07,50
St. James Hospital (Central),15,22,Sunday,01/04/2018 22:08,50
St. James Hospital (Central),15,23,Sunday,01/04/2018 23:08,60
St. James Hospital (Central),15,6,Monday,02/04/2018 06:02,70
St. James Hospital (Central),14,7,Monday,02/04/2018 07:03,70
St. James Hospital (Central),12,8,Monday,02/04/2018 08:08,60
St. James Hospital (Central),11,9,Monday,02/04/2018 09:09,70
St. James Hospital (Central),12,10,Monday,02/04/2018 10:09,65
St. James Hospital (Central),11,11,Monday,02/04/2018 11:06,70
St. James Hospital (Central),11,12,Monday,02/04/2018 12:00,70
St. James Hospital (Central),11,13,Monday,02/04/2018 13:01,70
St. James Hospital (Central),11,14,Monday,02/04/2018 14:02,60
St. James Hospital (Central),11,15,Monday,02/04/2018 15:03,60
St. James Hospital (Central),10,16,Monday,02/04/2018 16:04,60
St. James Hospital (Central),9,17,Monday,02/04/2018 17:05,50
St. James Hospital (Central),10,18,Monday,02/04/2018 18:03,40
St. James Hospital (Central),11,19,Monday,02/04/2018 19:08,0
St. James Hospital (Central),11,20,Monday,02/04/2018 20:09,0
St. James Hospital (Central),11,21,Monday,02/04/2018 21:00,40
St. James Hospital (Central),11,22,Monday,02/04/2018 22:01,50
St. James Hospital (Central),11,23,Monday,02/04/2018 23:02,60
St. James Hospital (Central),12,6,Tuesday,03/04/2018 06:02,0
St. James Hospital (Central),4,7,Tuesday,03/04/2018 07:01,20
St. James Hospital (Central),0,8,Tuesday,03/04/2018 08:09,20
St. James Hospital (Central),0,9,Tuesday,03/04/2018 09:02,0
St. James Hospital (Central),0,10,Tuesday,03/04/2018 10:03,0
St. James Hospital (Central),0,11,Tuesday,03/04/2018 11:06,0
St. James Hospital (Central),0,12,Tuesday,03/04/2018 12:07,30
St. James Hospital (Central),0,13,Tuesday,03/04/2018 13:08,40
St. James Hospital (Central),1,14,Tuesday,03/04/2018 14:01,20
St. James Hospital (Central),1,15,Tuesday,03/04/2018 15:02,20
St. James Hospital (Central),0,16,Tuesday,03/04/2018 16:09,30
St. James Hospital (Central),14,17,Tuesday,03/04/2018 17:00,0
St. James Hospital (Central),14,18,Tuesday,03/04/2018 18:01,0
St. James Hospital (Central),13,19,Tuesday,03/04/2018 19:03,0
St. James Hospital (Central),14,20,Tuesday,03/04/2018 20:06,0
St. James Hospital (Central),24,21,Tuesday,03/04/2018 21:09,0
St. James Hospital (Central),36,22,Tuesday,03/04/2018 22:03,0
St. James Hospital (Central),36,23,Tuesday,03/04/2018 23:03,0
St. James Hospital (Central),40,6,Wednesday,04/04/2018 06:06,40
St. James Hospital (Central),39,7,Wednesday,04/04/2018 07:04,40
St. James Hospital (Central),39,8,Wednesday,04/04/2018 08:03,30
St. James Hospital (Central),38,9,Wednesday,04/04/2018 09:08,40
St. James Hospital (Central),39,10,Wednesday,04/04/2018 10:08,40
St. James Hospital (Central),38,11,Wednesday,04/04/2018 11:06,20
St. James Hospital (Central),37,12,Wednesday,04/04/2018 12:05,0
St. James Hospital (Central),39,13,Wednesday,04/04/2018 13:04,10
St. James Hospital (Central),39,14,Wednesday,04/04/2018 14:06,0
St. James Hospital (Central),37,15,Wednesday,04/04/2018 15:06,20
St. James Hospital (Central),37,16,Wednesday,04/04/2018 16:08,20
St. James Hospital (Central),33,17,Wednesday,04/04/2018 17:00,40
St. James Hospital (Central),35,18,Wednesday,04/04/2018 18:01,0
St. James Hospital (Central),37,19,Wednesday,04/04/2018 19:02,0
St. James Hospital (Central),38,20,Wednesday,04/04/2018 20:04,0
St. James Hospital (Central),40,21,Wednesday,04/04/2018 21:01,40
St. James Hospital (Central),40,22,Wednesday,04/04/2018 22:00,30
St. James Hospital (Central),40,23,Wednesday,04/04/2018 23:06,30
