address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
The Point,22,6,Thursday,29/03/2018 06:03,0
The Point,33,7,Thursday,29/03/2018 07:05,0
The Point,38,8,Thursday,29/03/2018 08:03,0
The Point,38,9,Thursday,29/03/2018 09:03,0
The Point,38,10,Thursday,29/03/2018 10:06,0
The Point,37,11,Thursday,29/03/2018 11:02,10
The Point,34,12,Thursday,29/03/2018 12:04,30
The Point,32,13,Thursday,29/03/2018 13:04,30
The Point,32,14,Thursday,29/03/2018 14:01,45
The Point,33,15,Thursday,29/03/2018 15:00,40
The Point,31,16,Thursday,29/03/2018 16:01,30
The Point,21,17,Thursday,29/03/2018 17:01,30
The Point,21,18,Thursday,29/03/2018 18:01,30
The Point,26,19,Thursday,29/03/2018 19:05,40
The Point,26,20,Thursday,29/03/2018 20:08,30
The Point,25,21,Thursday,29/03/2018 21:00,25
The Point,24,22,Thursday,29/03/2018 22:06,30
The Point,25,23,Thursday,29/03/2018 23:03,40
The Point,12,6,Friday,30/03/2018 06:03,0
The Point,20,7,Friday,30/03/2018 07:02,0
The Point,16,8,Friday,30/03/2018 08:11,0
The Point,17,9,Friday,30/03/2018 09:07,0
The Point,17,10,Friday,30/03/2018 10:06,20
The Point,12,11,Friday,30/03/2018 11:04,20
The Point,10,12,Friday,30/03/2018 12:05,20
The Point,9,13,Friday,30/03/2018 13:00,20
The Point,12,14,Friday,30/03/2018 14:06,20
The Point,9,15,Friday,30/03/2018 15:02,0
The Point,6,16,Friday,30/03/2018 16:03,0
The Point,9,17,Friday,30/03/2018 17:06,20
The Point,8,18,Friday,30/03/2018 18:09,0
The Point,7,19,Friday,30/03/2018 19:07,0
The Point,6,20,Friday,30/03/2018 20:05,0
The Point,6,21,Friday,30/03/2018 21:08,0
The Point,3,22,Friday,30/03/2018 22:04,0
The Point,1,23,Friday,30/03/2018 23:00,0
The Point,1,6,Saturday,31/03/2018 06:01,0
The Point,3,7,Saturday,31/03/2018 07:00,0
The Point,4,8,Saturday,31/03/2018 08:03,0
The Point,1,9,Saturday,31/03/2018 09:06,0
The Point,1,10,Saturday,31/03/2018 10:06,0
The Point,0,11,Saturday,31/03/2018 11:05,0
The Point,1,12,Saturday,31/03/2018 12:02,0
The Point,0,13,Saturday,31/03/2018 13:05,0
The Point,2,14,Saturday,31/03/2018 14:00,0
The Point,3,15,Saturday,31/03/2018 15:08,0
The Point,8,16,Saturday,31/03/2018 16:08,0
The Point,9,17,Saturday,31/03/2018 17:01,0
