address,round(avg(available_bikes)),HOUR,DOW,last_update
"Townsend Street",6,6,Thursday,"2018-03-29 06:09:37"
"Townsend Street",1,7,Thursday,"2018-03-29 07:04:48"
"Townsend Street",10,8,Thursday,"2018-03-29 08:00:25"
"Townsend Street",12,9,Thursday,"2018-03-29 09:05:14"
"Townsend Street",11,10,Thursday,"2018-03-29 10:05:19"
"Townsend Street",17,11,Thursday,"2018-03-29 11:06:23"
"Townsend Street",12,12,Thursday,"2018-03-29 12:03:14"
"Townsend Street",13,13,Thursday,"2018-03-29 13:05:24"
"Townsend Street",12,14,Thursday,"2018-03-29 14:01:07"
"Townsend Street",16,15,Thursday,"2018-03-29 15:04:22"
"Townsend Street",18,16,Thursday,"2018-03-29 16:01:34"
"Townsend Street",20,17,Thursday,"2018-03-29 17:02:15"
"Townsend Street",20,18,Thursday,"2018-03-29 18:03:01"
"Townsend Street",19,19,Thursday,"2018-03-29 19:03:36"
"Townsend Street",15,20,Thursday,"2018-03-29 20:01:12"
"Townsend Street",12,21,Thursday,"2018-03-29 21:03:46"
"Townsend Street",7,22,Thursday,"2018-03-29 22:08:55"
"Townsend Street",6,23,Thursday,"2018-03-29 23:05:41"
"Townsend Street",9,6,Friday,"2018-03-30 06:05:50"
"Townsend Street",10,7,Friday,"2018-03-30 07:04:52"
"Townsend Street",16,8,Friday,"2018-03-30 08:02:58"
"Townsend Street",16,9,Friday,"2018-03-30 09:02:14"
"Townsend Street",15,10,Friday,"2018-03-30 10:06:13"
"Townsend Street",16,11,Friday,"2018-03-30 11:04:04"
"Townsend Street",11,12,Friday,"2018-03-30 12:00:29"
"Townsend Street",14,13,Friday,"2018-03-30 13:02:03"
"Townsend Street",14,14,Friday,"2018-03-30 14:03:30"
"Townsend Street",17,15,Friday,"2018-03-30 15:01:37"
"Townsend Street",18,16,Friday,"2018-03-30 16:01:36"
"Townsend Street",16,17,Friday,"2018-03-30 17:09:19"
"Townsend Street",14,18,Friday,"2018-03-30 18:04:01"
"Townsend Street",16,19,Friday,"2018-03-30 19:04:25"
"Townsend Street",15,20,Friday,"2018-03-30 20:00:05"
"Townsend Street",13,21,Friday,"2018-03-30 21:02:34"
"Townsend Street",11,22,Friday,"2018-03-30 22:02:16"
"Townsend Street",10,23,Friday,"2018-03-30 23:05:50"
"Townsend Street",11,6,Saturday,"2018-03-31 06:02:10"
"Townsend Street",13,7,Saturday,"2018-03-31 07:04:35"
"Townsend Street",16,8,Saturday,"2018-03-31 08:01:08"
"Townsend Street",13,9,Saturday,"2018-03-31 09:05:53"
"Townsend Street",11,10,Saturday,"2018-03-31 10:07:19"
"Townsend Street",12,11,Saturday,"2018-03-31 11:02:17"
"Townsend Street",10,12,Saturday,"2018-03-31 12:01:32"
"Townsend Street",15,13,Saturday,"2018-03-31 13:03:47"
"Townsend Street",15,14,Saturday,"2018-03-31 14:06:11"
"Townsend Street",15,15,Saturday,"2018-03-31 15:04:17"
"Townsend Street",15,16,Saturday,"2018-03-31 16:03:37"
"Townsend Street",17,17,Saturday,"2018-03-31 17:03:10"
"Townsend Street",18,18,Saturday,"2018-03-31 18:05:58"
"Townsend Street",19,19,Saturday,"2018-03-31 19:02:56"
"Townsend Street",19,20,Saturday,"2018-03-31 20:07:06"
"Townsend Street",20,21,Saturday,"2018-03-31 21:02:13"
"Townsend Street",20,22,Saturday,"2018-03-31 22:04:09"
"Townsend Street",18,23,Saturday,"2018-03-31 23:08:49"
"Townsend Street",19,6,Sunday,"2018-04-01 06:01:00"
"Townsend Street",20,7,Sunday,"2018-04-01 07:07:41"
"Townsend Street",20,8,Sunday,"2018-04-01 08:04:43"
"Townsend Street",20,9,Sunday,"2018-04-01 09:04:53"
"Townsend Street",20,10,Sunday,"2018-04-01 10:05:36"
"Townsend Street",20,11,Sunday,"2018-04-01 11:06:32"
"Townsend Street",18,12,Sunday,"2018-04-01 12:06:35"
"Townsend Street",17,13,Sunday,"2018-04-01 13:11:22"
"Townsend Street",13,14,Sunday,"2018-04-01 14:01:28"
"Townsend Street",14,15,Sunday,"2018-04-01 15:01:19"
"Townsend Street",14,16,Sunday,"2018-04-01 16:01:17"
"Townsend Street",13,17,Sunday,"2018-04-01 17:02:20"
"Townsend Street",13,18,Sunday,"2018-04-01 18:04:23"
"Townsend Street",13,19,Sunday,"2018-04-01 19:08:02"
"Townsend Street",13,20,Sunday,"2018-04-01 20:08:57"
"Townsend Street",14,21,Sunday,"2018-04-01 21:02:42"
"Townsend Street",14,22,Sunday,"2018-04-01 22:04:57"
"Townsend Street",13,23,Sunday,"2018-04-01 23:06:22"
"Townsend Street",16,6,Monday,"2018-04-02 06:00:17"
"Townsend Street",19,7,Monday,"2018-04-02 07:00:54"
"Townsend Street",19,8,Monday,"2018-04-02 08:06:34"
"Townsend Street",19,9,Monday,"2018-04-02 09:00:55"
"Townsend Street",18,10,Monday,"2018-04-02 10:07:56"
"Townsend Street",17,11,Monday,"2018-04-02 11:01:56"
"Townsend Street",17,12,Monday,"2018-04-02 12:07:07"
"Townsend Street",15,13,Monday,"2018-04-02 13:04:54"
"Townsend Street",17,14,Monday,"2018-04-02 14:03:43"
"Townsend Street",16,15,Monday,"2018-04-02 15:02:48"
"Townsend Street",16,16,Monday,"2018-04-02 16:10:02"
"Townsend Street",16,17,Monday,"2018-04-02 17:03:24"
"Townsend Street",14,18,Monday,"2018-04-02 18:02:54"
"Townsend Street",14,19,Monday,"2018-04-02 19:07:52"
"Townsend Street",14,20,Monday,"2018-04-02 20:03:00"
"Townsend Street",13,21,Monday,"2018-04-02 21:06:00"
"Townsend Street",12,22,Monday,"2018-04-02 22:08:03"
"Townsend Street",11,23,Monday,"2018-04-02 23:08:29"
"Townsend Street",19,6,Tuesday,"2018-04-03 06:07:28"
"Townsend Street",19,7,Tuesday,"2018-04-03 07:04:19"
"Townsend Street",14,8,Tuesday,"2018-04-03 08:02:32"
"Townsend Street",18,9,Tuesday,"2018-04-03 09:01:26"
"Townsend Street",14,10,Tuesday,"2018-04-03 10:02:27"
"Townsend Street",15,11,Tuesday,"2018-04-03 11:02:12"
"Townsend Street",12,12,Tuesday,"2018-04-03 12:02:27"
"Townsend Street",11,13,Tuesday,"2018-04-03 13:02:35"
"Townsend Street",12,14,Tuesday,"2018-04-03 14:14:34"
"Townsend Street",8,15,Tuesday,"2018-04-03 15:04:18"
"Townsend Street",15,16,Tuesday,"2018-04-03 16:04:38"
"Townsend Street",17,17,Tuesday,"2018-04-03 17:05:21"
"Townsend Street",19,18,Tuesday,"2018-04-03 18:00:24"
"Townsend Street",18,19,Tuesday,"2018-04-03 19:04:27"
"Townsend Street",17,20,Tuesday,"2018-04-03 20:09:52"
"Townsend Street",7,21,Tuesday,"2018-04-03 21:00:50"
"Townsend Street",3,22,Tuesday,"2018-04-03 22:01:38"
"Townsend Street",0,23,Tuesday,"2018-04-03 23:09:00"
"Townsend Street",7,6,Wednesday,"2018-04-04 06:01:10"
"Townsend Street",10,7,Wednesday,"2018-04-04 07:01:57"
"Townsend Street",11,8,Wednesday,"2018-04-04 08:04:01"
"Townsend Street",11,9,Wednesday,"2018-04-04 09:01:27"
"Townsend Street",10,10,Wednesday,"2018-04-04 10:04:11"
"Townsend Street",12,11,Wednesday,"2018-04-04 11:08:11"
"Townsend Street",13,12,Wednesday,"2018-04-04 12:05:38"
"Townsend Street",19,13,Wednesday,"2018-04-04 13:04:08"
"Townsend Street",11,14,Wednesday,"2018-04-04 14:03:53"
"Townsend Street",4,15,Wednesday,"2018-04-04 15:01:36"
"Townsend Street",5,16,Wednesday,"2018-04-04 16:01:27"
"Townsend Street",6,17,Wednesday,"2018-04-04 17:01:10"
"Townsend Street",8,18,Wednesday,"2018-04-04 18:06:21"
"Townsend Street",6,19,Wednesday,"2018-04-04 19:11:57"
"Townsend Street",4,20,Wednesday,"2018-04-04 20:06:24"
"Townsend Street",0,21,Wednesday,"2018-04-04 21:02:31"
"Townsend Street",0,22,Wednesday,"2018-04-04 22:00:49"
"Townsend Street",0,23,Wednesday,"2018-04-04 23:06:22"
