address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Western Way,30,6,Thursday,29/03/2018 06:06,0
Western Way,15,7,Thursday,29/03/2018 07:05,0
Western Way,0,8,Thursday,29/03/2018 08:00,0
Western Way,0,9,Thursday,29/03/2018 09:08,0
Western Way,0,10,Thursday,29/03/2018 10:06,0
Western Way,0,11,Thursday,29/03/2018 11:07,10
Western Way,0,12,Thursday,29/03/2018 12:02,30
Western Way,12,13,Thursday,29/03/2018 13:05,30
Western Way,18,14,Thursday,29/03/2018 14:05,45
Western Way,17,15,Thursday,29/03/2018 15:03,40
Western Way,12,16,Thursday,29/03/2018 16:00,30
Western Way,12,17,Thursday,29/03/2018 17:00,30
Western Way,9,18,Thursday,29/03/2018 18:05,30
Western Way,10,19,Thursday,29/03/2018 19:01,40
Western Way,9,20,Thursday,29/03/2018 20:03,30
Western Way,9,21,Thursday,29/03/2018 21:07,25
Western Way,11,22,Thursday,29/03/2018 22:05,30
Western Way,11,23,Thursday,29/03/2018 23:08,40
Western Way,21,6,Friday,30/03/2018 06:11,0
Western Way,19,7,Friday,30/03/2018 07:06,0
Western Way,16,8,Friday,30/03/2018 08:07,0
Western Way,15,9,Friday,30/03/2018 09:01,0
Western Way,14,10,Friday,30/03/2018 10:05,20
Western Way,12,11,Friday,30/03/2018 11:07,20
Western Way,11,12,Friday,30/03/2018 12:07,20
Western Way,8,13,Friday,30/03/2018 13:02,20
Western Way,4,14,Friday,30/03/2018 14:08,20
Western Way,10,15,Friday,30/03/2018 15:04,0
Western Way,22,16,Friday,30/03/2018 16:01,0
Western Way,22,17,Friday,30/03/2018 17:09,20
Western Way,21,18,Friday,30/03/2018 18:06,0
Western Way,20,19,Friday,30/03/2018 19:07,0
Western Way,16,20,Friday,30/03/2018 20:02,0
Western Way,28,21,Friday,30/03/2018 21:07,0
Western Way,32,22,Friday,30/03/2018 22:05,0
Western Way,33,23,Friday,30/03/2018 23:03,0
Western Way,30,6,Saturday,31/03/2018 06:05,0
Western Way,29,7,Saturday,31/03/2018 07:03,0
Western Way,28,8,Saturday,31/03/2018 08:01,0
Western Way,26,9,Saturday,31/03/2018 09:07,0
Western Way,26,10,Saturday,31/03/2018 10:08,0
Western Way,23,11,Saturday,31/03/2018 11:01,0
Western Way,20,12,Saturday,31/03/2018 12:05,0
Western Way,18,13,Saturday,31/03/2018 13:03,0
Western Way,18,14,Saturday,31/03/2018 14:09,0
Western Way,17,15,Saturday,31/03/2018 15:05,0
Western Way,18,16,Saturday,31/03/2018 16:09,0
Western Way,18,17,Saturday,31/03/2018 17:01,0
Western Way,19,18,Saturday,31/03/2018 18:04,0
Western Way,18,19,Saturday,31/03/2018 19:00,0
Western Way,18,20,Saturday,31/03/2018 20:00,0
Western Way,17,21,Saturday,31/03/2018 21:03,0
Western Way,16,22,Saturday,31/03/2018 22:02,0
Western Way,17,23,Saturday,31/03/2018 23:03,0
Western Way,17,6,Sunday,01/04/2018 06:08,30
Western Way,14,7,Sunday,01/04/2018 07:06,30
Western Way,9,8,Sunday,01/04/2018 08:08,0
Western Way,5,9,Sunday,01/04/2018 09:03,0
Western Way,1,10,Sunday,01/04/2018 10:05,0
Western Way,0,11,Sunday,01/04/2018 11:07,0
Western Way,0,12,Sunday,01/04/2018 12:08,0
Western Way,0,13,Sunday,01/04/2018 13:10,0
Western Way,1,14,Sunday,01/04/2018 14:01,0
Western Way,1,15,Sunday,01/04/2018 15:04,0
Western Way,1,16,Sunday,01/04/2018 16:05,0
Western Way,6,17,Sunday,01/04/2018 17:00,0
Western Way,6,18,Sunday,01/04/2018 18:09,0
Western Way,4,19,Sunday,01/04/2018 19:07,0
Western Way,4,20,Sunday,01/04/2018 20:04,45
Western Way,2,21,Sunday,01/04/2018 21:02,50
Western Way,2,22,Sunday,01/04/2018 22:01,50
Western Way,1,23,Sunday,01/04/2018 23:03,60
Western Way,0,6,Monday,02/04/2018 06:02,70
Western Way,0,7,Monday,02/04/2018 07:00,70
Western Way,0,8,Monday,02/04/2018 08:01,60
Western Way,0,9,Monday,02/04/2018 09:02,70
Western Way,0,10,Monday,02/04/2018 10:07,65
Western Way,8,11,Monday,02/04/2018 11:00,70
Western Way,17,12,Monday,02/04/2018 12:05,70
Western Way,16,13,Monday,02/04/2018 13:05,70
Western Way,14,14,Monday,02/04/2018 14:01,60
Western Way,15,15,Monday,02/04/2018 15:02,60
Western Way,14,16,Monday,02/04/2018 16:04,60
Western Way,12,17,Monday,02/04/2018 17:01,50
Western Way,15,18,Monday,02/04/2018 18:01,40
Western Way,16,19,Monday,02/04/2018 19:06,0
Western Way,16,20,Monday,02/04/2018 20:09,0
Western Way,17,21,Monday,02/04/2018 21:03,40
Western Way,17,22,Monday,02/04/2018 22:06,50
Western Way,16,23,Monday,02/04/2018 23:00,60
Western Way,9,6,Tuesday,03/04/2018 06:01,0
Western Way,2,7,Tuesday,03/04/2018 07:07,20
Western Way,0,8,Tuesday,03/04/2018 08:01,20
Western Way,0,9,Tuesday,03/04/2018 09:00,0
Western Way,0,10,Tuesday,03/04/2018 10:01,0
Western Way,4,11,Tuesday,03/04/2018 11:02,0
Western Way,15,12,Tuesday,03/04/2018 12:01,30
Western Way,13,13,Tuesday,03/04/2018 13:04,40
Western Way,14,14,Tuesday,03/04/2018 14:05,20
Western Way,13,15,Tuesday,03/04/2018 15:03,20
Western Way,16,16,Tuesday,03/04/2018 16:00,30
Western Way,18,17,Tuesday,03/04/2018 17:02,0
Western Way,18,18,Tuesday,03/04/2018 18:04,0
Western Way,20,19,Tuesday,03/04/2018 19:10,0
Western Way,19,20,Tuesday,03/04/2018 20:06,0
Western Way,20,21,Tuesday,03/04/2018 21:08,0
Western Way,22,22,Tuesday,03/04/2018 22:09,0
Western Way,24,23,Tuesday,03/04/2018 23:03,0
Western Way,32,6,Wednesday,04/04/2018 06:03,40
Western Way,25,7,Wednesday,04/04/2018 07:08,40
Western Way,22,8,Wednesday,04/04/2018 08:09,30
Western Way,21,9,Wednesday,04/04/2018 09:07,40
Western Way,19,10,Wednesday,04/04/2018 10:00,40
Western Way,18,11,Wednesday,04/04/2018 11:02,20
Western Way,12,12,Wednesday,04/04/2018 12:01,0
Western Way,11,13,Wednesday,04/04/2018 13:06,10
Western Way,11,14,Wednesday,04/04/2018 14:01,0
Western Way,13,15,Wednesday,04/04/2018 15:08,20
Western Way,13,16,Wednesday,04/04/2018 16:09,20
Western Way,10,17,Wednesday,04/04/2018 17:01,40
Western Way,10,18,Wednesday,04/04/2018 18:05,0
Western Way,9,19,Wednesday,04/04/2018 19:07,0
Western Way,11,20,Wednesday,04/04/2018 20:01,0
Western Way,25,21,Wednesday,04/04/2018 21:09,40
Western Way,35,22,Wednesday,04/04/2018 22:06,30
Western Way,36,23,Wednesday,04/04/2018 23:01,30
