address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Wilton Terrace,17,6,Thursday,29/03/2018 06:07,0
Wilton Terrace,4,7,Thursday,29/03/2018 07:05,0
Wilton Terrace,9,8,Thursday,29/03/2018 08:00,0
Wilton Terrace,18,9,Thursday,29/03/2018 09:00,0
Wilton Terrace,19,10,Thursday,29/03/2018 10:08,0
Wilton Terrace,15,11,Thursday,29/03/2018 11:06,10
Wilton Terrace,11,12,Thursday,29/03/2018 12:01,30
Wilton Terrace,17,13,Thursday,29/03/2018 13:06,30
Wilton Terrace,13,14,Thursday,29/03/2018 14:03,45
Wilton Terrace,4,15,Thursday,29/03/2018 15:02,40
Wilton Terrace,1,16,Thursday,29/03/2018 16:02,30
Wilton Terrace,2,17,Thursday,29/03/2018 17:02,30
Wilton Terrace,2,18,Thursday,29/03/2018 18:03,30
Wilton Terrace,3,19,Thursday,29/03/2018 19:08,40
Wilton Terrace,5,20,Thursday,29/03/2018 20:00,30
Wilton Terrace,6,21,Thursday,29/03/2018 21:03,25
Wilton Terrace,5,22,Thursday,29/03/2018 22:09,30
Wilton Terrace,2,23,Thursday,29/03/2018 23:09,40
Wilton Terrace,14,6,Friday,30/03/2018 06:05,0
Wilton Terrace,18,7,Friday,30/03/2018 07:04,0
Wilton Terrace,17,8,Friday,30/03/2018 08:01,0
Wilton Terrace,17,9,Friday,30/03/2018 09:02,0
Wilton Terrace,15,10,Friday,30/03/2018 10:02,20
Wilton Terrace,13,11,Friday,30/03/2018 11:06,20
Wilton Terrace,13,12,Friday,30/03/2018 12:03,20
Wilton Terrace,16,13,Friday,30/03/2018 13:08,20
Wilton Terrace,13,14,Friday,30/03/2018 14:03,20
Wilton Terrace,12,15,Friday,30/03/2018 15:04,0
Wilton Terrace,12,16,Friday,30/03/2018 16:01,0
Wilton Terrace,13,17,Friday,30/03/2018 17:00,20
Wilton Terrace,7,18,Friday,30/03/2018 18:00,0
Wilton Terrace,8,19,Friday,30/03/2018 19:00,0
Wilton Terrace,6,20,Friday,30/03/2018 20:08,0
Wilton Terrace,8,21,Friday,30/03/2018 21:01,0
Wilton Terrace,8,22,Friday,30/03/2018 22:06,0
Wilton Terrace,8,23,Friday,30/03/2018 23:00,0
Wilton Terrace,8,6,Saturday,31/03/2018 06:08,0
Wilton Terrace,8,7,Saturday,31/03/2018 07:03,0
Wilton Terrace,7,8,Saturday,31/03/2018 08:03,0
Wilton Terrace,3,9,Saturday,31/03/2018 09:04,0
Wilton Terrace,2,10,Saturday,31/03/2018 10:09,0
Wilton Terrace,3,11,Saturday,31/03/2018 11:06,0
Wilton Terrace,2,12,Saturday,31/03/2018 12:04,0
Wilton Terrace,2,13,Saturday,31/03/2018 13:03,0
Wilton Terrace,6,14,Saturday,31/03/2018 14:04,0
Wilton Terrace,7,15,Saturday,31/03/2018 15:05,0
Wilton Terrace,8,16,Saturday,31/03/2018 16:01,0
Wilton Terrace,8,17,Saturday,31/03/2018 17:03,0
Wilton Terrace,5,18,Saturday,31/03/2018 18:00,0
Wilton Terrace,6,19,Saturday,31/03/2018 19:05,0
Wilton Terrace,7,20,Saturday,31/03/2018 20:04,0
Wilton Terrace,7,21,Saturday,31/03/2018 21:08,0
Wilton Terrace,9,22,Saturday,31/03/2018 22:11,0
Wilton Terrace,6,23,Saturday,31/03/2018 23:07,0
Wilton Terrace,7,6,Sunday,01/04/2018 06:06,30
Wilton Terrace,8,7,Sunday,01/04/2018 07:04,30
Wilton Terrace,8,8,Sunday,01/04/2018 08:00,0
Wilton Terrace,7,9,Sunday,01/04/2018 09:04,0
Wilton Terrace,7,10,Sunday,01/04/2018 10:09,0
Wilton Terrace,6,11,Sunday,01/04/2018 11:00,0
