address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
York Street West,4,6,Thursday,29/03/2018 06:01,0
York Street West,3,7,Thursday,29/03/2018 07:03,0
York Street West,2,8,Thursday,29/03/2018 08:00,0
York Street West,2,9,Thursday,29/03/2018 09:02,0
York Street West,0,10,Thursday,29/03/2018 10:08,0
York Street West,2,11,Thursday,29/03/2018 11:01,10
York Street West,5,12,Thursday,29/03/2018 12:00,30
York Street West,9,13,Thursday,29/03/2018 13:00,30
York Street West,6,14,Thursday,29/03/2018 14:05,45
York Street West,7,15,Thursday,29/03/2018 15:07,40
York Street West,7,16,Thursday,29/03/2018 16:05,30
York Street West,3,17,Thursday,29/03/2018 17:02,30
York Street West,4,18,Thursday,29/03/2018 18:08,30
York Street West,6,19,Thursday,29/03/2018 19:02,40
York Street West,7,20,Thursday,29/03/2018 20:02,30
York Street West,9,21,Thursday,29/03/2018 21:04,25
York Street West,10,22,Thursday,29/03/2018 22:06,30
York Street West,8,23,Thursday,29/03/2018 23:06,40
York Street West,6,6,Friday,30/03/2018 06:02,0
York Street West,7,7,Friday,30/03/2018 07:06,0
York Street West,9,8,Friday,30/03/2018 08:05,0
York Street West,11,9,Friday,30/03/2018 09:12,0
York Street West,13,10,Friday,30/03/2018 10:08,20
York Street West,14,11,Friday,30/03/2018 11:01,20
York Street West,8,12,Friday,30/03/2018 12:02,20
York Street West,8,13,Friday,30/03/2018 13:03,20
York Street West,12,14,Friday,30/03/2018 14:02,20
York Street West,12,15,Friday,30/03/2018 15:02,0
York Street West,10,16,Friday,30/03/2018 16:04,0
York Street West,9,17,Friday,30/03/2018 17:05,20
York Street West,7,18,Friday,30/03/2018 18:02,0
York Street West,7,19,Friday,30/03/2018 19:05,0
York Street West,7,20,Friday,30/03/2018 20:01,0
York Street West,6,21,Friday,30/03/2018 21:04,0
York Street West,7,22,Friday,30/03/2018 22:00,0
York Street West,7,23,Friday,30/03/2018 23:01,0
York Street West,8,6,Saturday,31/03/2018 06:08,0
York Street West,7,7,Saturday,31/03/2018 07:09,0
York Street West,8,8,Saturday,31/03/2018 08:08,0
York Street West,9,9,Saturday,31/03/2018 09:02,0
York Street West,9,10,Saturday,31/03/2018 10:08,0
York Street West,12,11,Saturday,31/03/2018 11:02,0
York Street West,14,12,Saturday,31/03/2018 12:00,0
York Street West,16,13,Saturday,31/03/2018 13:01,0
York Street West,19,14,Saturday,31/03/2018 14:04,0
York Street West,22,15,Saturday,31/03/2018 15:05,0
York Street West,23,16,Saturday,31/03/2018 16:08,0
York Street West,21,17,Saturday,31/03/2018 17:03,0
York Street West,19,18,Saturday,31/03/2018 18:04,0
York Street West,21,19,Saturday,31/03/2018 19:10,0
York Street West,22,20,Saturday,31/03/2018 20:04,0
York Street West,23,21,Saturday,31/03/2018 21:03,0
York Street West,24,22,Saturday,31/03/2018 22:01,0
York Street West,22,23,Saturday,31/03/2018 23:06,0
York Street West,23,6,Sunday,01/04/2018 06:08,30
York Street West,24,7,Sunday,01/04/2018 07:04,30
York Street West,25,8,Sunday,01/04/2018 08:05,0
York Street West,29,9,Sunday,01/04/2018 09:09,0
York Street West,30,10,Sunday,01/04/2018 10:08,0
York Street West,16,11,Sunday,01/04/2018 11:06,0
York Street West,19,12,Sunday,01/04/2018 12:08,0
York Street West,21,13,Sunday,01/04/2018 13:04,0
York Street West,21,14,Sunday,01/04/2018 14:06,0
York Street West,19,15,Sunday,01/04/2018 15:03,0
York Street West,16,16,Sunday,01/04/2018 16:02,0
