address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Bolton Street,1,6,Thursday,29/03/2018 06:09,0
Bolton Street,1,7,Thursday,29/03/2018 07:04,0
Bolton Street,6,8,Thursday,29/03/2018 08:00,0
Bolton Street,7,9,Thursday,29/03/2018 09:02,0
Bolton Street,2,10,Thursday,29/03/2018 10:04,0
Bolton Street,2,11,Thursday,29/03/2018 11:00,10
Bolton Street,5,12,Thursday,29/03/2018 12:05,30
Bolton Street,5,13,Thursday,29/03/2018 13:00,30
Bolton Street,2,14,Thursday,29/03/2018 14:11,45
Bolton Street,1,15,Thursday,29/03/2018 15:08,40
Bolton Street,2,16,Thursday,29/03/2018 16:02,30
Bolton Street,2,17,Thursday,29/03/2018 17:01,30
Bolton Street,3,18,Thursday,29/03/2018 18:00,30
Bolton Street,4,19,Thursday,29/03/2018 19:03,40
Bolton Street,6,20,Thursday,29/03/2018 20:08,30
Bolton Street,7,21,Thursday,29/03/2018 21:00,25
Bolton Street,8,22,Thursday,29/03/2018 22:09,30
Bolton Street,8,23,Thursday,29/03/2018 23:06,40
Bolton Street,6,6,Friday,30/03/2018 06:00,0
Bolton Street,3,7,Friday,30/03/2018 07:08,0
Bolton Street,2,8,Friday,30/03/2018 08:03,0
Bolton Street,2,9,Friday,30/03/2018 09:04,0
Bolton Street,2,10,Friday,30/03/2018 10:04,20
Bolton Street,3,11,Friday,30/03/2018 11:04,20
Bolton Street,5,12,Friday,30/03/2018 12:01,20
Bolton Street,5,13,Friday,30/03/2018 13:09,20
Bolton Street,4,14,Friday,30/03/2018 14:06,20
Bolton Street,3,15,Friday,30/03/2018 15:09,0
Bolton Street,5,16,Friday,30/03/2018 16:05,0
Bolton Street,8,17,Friday,30/03/2018 17:02,20
Bolton Street,9,18,Friday,30/03/2018 18:01,0
Bolton Street,8,19,Friday,30/03/2018 19:02,0
Bolton Street,7,20,Friday,30/03/2018 20:02,0
Bolton Street,11,21,Friday,30/03/2018 21:04,0
Bolton Street,10,22,Friday,30/03/2018 22:08,0
Bolton Street,8,23,Friday,30/03/2018 23:07,0
Bolton Street,8,6,Saturday,31/03/2018 06:00,0
Bolton Street,8,7,Saturday,31/03/2018 07:00,0
Bolton Street,4,8,Saturday,31/03/2018 08:01,0
Bolton Street,5,9,Saturday,31/03/2018 09:01,0
Bolton Street,4,10,Saturday,31/03/2018 10:04,0
Bolton Street,7,11,Saturday,31/03/2018 11:03,0
Bolton Street,7,12,Saturday,31/03/2018 12:06,0
Bolton Street,9,13,Saturday,31/03/2018 13:04,0
Bolton Street,18,14,Saturday,31/03/2018 14:05,0
Bolton Street,20,15,Saturday,31/03/2018 15:00,0
Bolton Street,19,16,Saturday,31/03/2018 16:06,0
Bolton Street,16,17,Saturday,31/03/2018 17:02,0
Bolton Street,15,18,Saturday,31/03/2018 18:10,0
Bolton Street,16,19,Saturday,31/03/2018 19:04,0
Bolton Street,17,20,Saturday,31/03/2018 20:04,0
Bolton Street,19,21,Saturday,31/03/2018 21:04,0
Bolton Street,15,22,Saturday,31/03/2018 22:02,0
Bolton Street,12,23,Saturday,31/03/2018 23:01,0
Bolton Street,10,6,Sunday,01/04/2018 06:02,30
Bolton Street,9,7,Sunday,01/04/2018 07:00,30
Bolton Street,8,8,Sunday,01/04/2018 08:02,0
Bolton Street,8,9,Sunday,01/04/2018 09:07,0
Bolton Street,9,10,Sunday,01/04/2018 10:00,0
Bolton Street,7,11,Sunday,01/04/2018 11:04,0
Bolton Street,8,12,Sunday,01/04/2018 12:01,0
Bolton Street,8,13,Sunday,01/04/2018 13:00,0
Bolton Street,9,14,Sunday,01/04/2018 14:08,0
Bolton Street,10,15,Sunday,01/04/2018 15:01,0
Bolton Street,10,16,Sunday,01/04/2018 16:05,0
Bolton Street,11,17,Sunday,01/04/2018 17:02,0
Bolton Street,9,18,Sunday,01/04/2018 18:01,0
Bolton Street,9,19,Sunday,01/04/2018 19:01,0
