address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Clonmel Street,5,6,Thursday,29/03/2018 06:01,0
Clonmel Street,13,7,Thursday,29/03/2018 07:01,0
Clonmel Street,20,8,Thursday,29/03/2018 08:05,0
Clonmel Street,27,9,Thursday,29/03/2018 09:03,0
Clonmel Street,25,10,Thursday,29/03/2018 10:00,0
Clonmel Street,18,11,Thursday,29/03/2018 11:06,10
Clonmel Street,15,12,Thursday,29/03/2018 12:06,30
Clonmel Street,19,13,Thursday,29/03/2018 13:03,30
Clonmel Street,17,14,Thursday,29/03/2018 14:07,45
Clonmel Street,11,15,Thursday,29/03/2018 15:07,40
Clonmel Street,2,16,Thursday,29/03/2018 16:01,30
Clonmel Street,2,17,Thursday,29/03/2018 17:04,30
Clonmel Street,1,18,Thursday,29/03/2018 18:02,30
Clonmel Street,3,19,Thursday,29/03/2018 19:01,40
Clonmel Street,2,20,Thursday,29/03/2018 20:04,30
Clonmel Street,2,21,Thursday,29/03/2018 21:06,25
Clonmel Street,1,22,Thursday,29/03/2018 22:00,30
Clonmel Street,2,23,Thursday,29/03/2018 23:00,40
Clonmel Street,4,6,Friday,30/03/2018 06:01,0
Clonmel Street,4,7,Friday,30/03/2018 07:02,0
Clonmel Street,5,8,Friday,30/03/2018 08:06,0
Clonmel Street,9,9,Friday,30/03/2018 09:00,0
Clonmel Street,9,10,Friday,30/03/2018 10:03,20
Clonmel Street,10,11,Friday,30/03/2018 11:02,20
Clonmel Street,11,12,Friday,30/03/2018 12:02,20
Clonmel Street,11,13,Friday,30/03/2018 13:09,20
Clonmel Street,13,14,Friday,30/03/2018 14:02,20
Clonmel Street,14,15,Friday,30/03/2018 15:04,0
Clonmel Street,17,16,Friday,30/03/2018 16:01,0
Clonmel Street,17,17,Friday,30/03/2018 17:09,20
Clonmel Street,17,18,Friday,30/03/2018 18:15,0
Clonmel Street,19,19,Friday,30/03/2018 19:03,0
Clonmel Street,22,20,Friday,30/03/2018 20:05,0
Clonmel Street,22,21,Friday,30/03/2018 21:09,0
Clonmel Street,24,22,Friday,30/03/2018 22:03,0
Clonmel Street,27,23,Friday,30/03/2018 23:01,0
Clonmel Street,25,6,Saturday,31/03/2018 06:05,0
Clonmel Street,26,7,Saturday,31/03/2018 07:06,0
Clonmel Street,26,8,Saturday,31/03/2018 08:07,0
Clonmel Street,27,9,Saturday,31/03/2018 09:08,0
Clonmel Street,27,10,Saturday,31/03/2018 10:05,0
Clonmel Street,27,11,Saturday,31/03/2018 11:08,0
Clonmel Street,27,12,Saturday,31/03/2018 12:08,0
Clonmel Street,27,13,Saturday,31/03/2018 13:04,0
Clonmel Street,26,14,Saturday,31/03/2018 14:07,0
Clonmel Street,25,15,Saturday,31/03/2018 15:02,0
Clonmel Street,27,16,Saturday,31/03/2018 16:05,0
Clonmel Street,28,17,Saturday,31/03/2018 17:10,0
Clonmel Street,29,18,Saturday,31/03/2018 18:06,0
Clonmel Street,28,19,Saturday,31/03/2018 19:06,0
Clonmel Street,27,20,Saturday,31/03/2018 20:02,0
Clonmel Street,28,21,Saturday,31/03/2018 21:08,0
Clonmel Street,30,22,Saturday,31/03/2018 22:02,0
Clonmel Street,33,23,Saturday,31/03/2018 23:01,0
Clonmel Street,32,6,Sunday,01/04/2018 06:06,30
Clonmel Street,33,7,Sunday,01/04/2018 07:00,30
Clonmel Street,33,8,Sunday,01/04/2018 08:00,0
Clonmel Street,33,9,Sunday,01/04/2018 09:01,0
Clonmel Street,32,10,Sunday,01/04/2018 10:07,0
Clonmel Street,31,11,Sunday,01/04/2018 11:06,0
Clonmel Street,31,12,Sunday,01/04/2018 12:09,0
Clonmel Street,30,13,Sunday,01/04/2018 13:02,0
Clonmel Street,29,14,Sunday,01/04/2018 14:04,0
Clonmel Street,29,15,Sunday,01/04/2018 15:10,0
Clonmel Street,30,16,Sunday,01/04/2018 16:00,0
Clonmel Street,32,17,Sunday,01/04/2018 17:05,0
