address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Custom House Quay,3,6,Thursday,29/03/2018 06:03,0
Custom House Quay,10,7,Thursday,29/03/2018 07:05,0
Custom House Quay,24,8,Thursday,29/03/2018 08:00,0
Custom House Quay,29,9,Thursday,29/03/2018 09:04,0
Custom House Quay,29,10,Thursday,29/03/2018 10:00,0
Custom House Quay,30,11,Thursday,29/03/2018 11:01,10
Custom House Quay,24,12,Thursday,29/03/2018 12:00,30
Custom House Quay,22,13,Thursday,29/03/2018 13:06,30
Custom House Quay,20,14,Thursday,29/03/2018 14:04,45
Custom House Quay,27,15,Thursday,29/03/2018 15:06,40
Custom House Quay,25,16,Thursday,29/03/2018 16:07,30
Custom House Quay,21,17,Thursday,29/03/2018 17:00,30
Custom House Quay,18,18,Thursday,29/03/2018 18:03,30
Custom House Quay,22,19,Thursday,29/03/2018 19:00,40
Custom House Quay,23,20,Thursday,29/03/2018 20:02,30
Custom House Quay,22,21,Thursday,29/03/2018 21:08,25
Custom House Quay,22,22,Thursday,29/03/2018 22:01,30
Custom House Quay,20,23,Thursday,29/03/2018 23:09,40
Custom House Quay,3,6,Friday,30/03/2018 06:11,0
Custom House Quay,7,7,Friday,30/03/2018 07:05,0
Custom House Quay,17,8,Friday,30/03/2018 08:01,0
Custom House Quay,24,9,Friday,30/03/2018 09:02,0
Custom House Quay,27,10,Friday,30/03/2018 10:07,20
Custom House Quay,24,11,Friday,30/03/2018 11:04,20
Custom House Quay,23,12,Friday,30/03/2018 12:07,20
Custom House Quay,23,13,Friday,30/03/2018 13:04,20
Custom House Quay,23,14,Friday,30/03/2018 14:06,20
Custom House Quay,29,15,Friday,30/03/2018 15:07,0
Custom House Quay,28,16,Friday,30/03/2018 16:02,0
Custom House Quay,28,17,Friday,30/03/2018 17:05,20
Custom House Quay,22,18,Friday,30/03/2018 18:08,0
Custom House Quay,19,19,Friday,30/03/2018 19:04,0
Custom House Quay,4,20,Friday,30/03/2018 20:01,0
Custom House Quay,2,21,Friday,30/03/2018 21:01,0
Custom House Quay,0,22,Friday,30/03/2018 22:03,0
Custom House Quay,0,23,Friday,30/03/2018 23:04,0
Custom House Quay,0,6,Saturday,31/03/2018 06:05,0
Custom House Quay,1,7,Saturday,31/03/2018 07:03,0
Custom House Quay,2,8,Saturday,31/03/2018 08:06,0
Custom House Quay,1,9,Saturday,31/03/2018 09:07,0
Custom House Quay,3,10,Saturday,31/03/2018 10:04,0
Custom House Quay,5,11,Saturday,31/03/2018 11:03,0
Custom House Quay,5,12,Saturday,31/03/2018 12:03,0
Custom House Quay,7,13,Saturday,31/03/2018 13:01,0
Custom House Quay,7,14,Saturday,31/03/2018 14:04,0
Custom House Quay,4,15,Saturday,31/03/2018 15:08,0
Custom House Quay,6,16,Saturday,31/03/2018 16:05,0
Custom House Quay,10,17,Saturday,31/03/2018 17:04,0
Custom House Quay,11,18,Saturday,31/03/2018 18:08,0
Custom House Quay,12,19,Saturday,31/03/2018 19:01,0
Custom House Quay,12,20,Saturday,31/03/2018 20:00,0
Custom House Quay,13,21,Saturday,31/03/2018 21:00,0
Custom House Quay,10,22,Saturday,31/03/2018 22:01,0
Custom House Quay,9,23,Saturday,31/03/2018 23:04,0
Custom House Quay,9,6,Sunday,01/04/2018 06:08,30
Custom House Quay,10,7,Sunday,01/04/2018 07:08,30
