address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Excise Walk,5,6,Thursday,29/03/2018 06:09,0
Excise Walk,10,7,Thursday,29/03/2018 07:05,0
Excise Walk,20,8,Thursday,29/03/2018 08:00,0
Excise Walk,33,9,Thursday,29/03/2018 09:04,0
Excise Walk,39,10,Thursday,29/03/2018 10:00,0
Excise Walk,36,11,Thursday,29/03/2018 11:01,10
Excise Walk,37,12,Thursday,29/03/2018 12:05,30
Excise Walk,38,13,Thursday,29/03/2018 13:10,30
Excise Walk,39,14,Thursday,29/03/2018 14:11,45
Excise Walk,38,15,Thursday,29/03/2018 15:02,40
Excise Walk,37,16,Thursday,29/03/2018 16:01,30
Excise Walk,34,17,Thursday,29/03/2018 17:06,30
Excise Walk,27,18,Thursday,29/03/2018 18:02,30
Excise Walk,24,19,Thursday,29/03/2018 19:03,40
Excise Walk,27,20,Thursday,29/03/2018 20:01,30
Excise Walk,25,21,Thursday,29/03/2018 21:02,25
Excise Walk,25,22,Thursday,29/03/2018 22:05,30
Excise Walk,26,23,Thursday,29/03/2018 23:13,40
Excise Walk,7,6,Friday,30/03/2018 06:07,0
Excise Walk,9,7,Friday,30/03/2018 07:00,0
Excise Walk,11,8,Friday,30/03/2018 08:03,0
Excise Walk,9,9,Friday,30/03/2018 09:00,0
Excise Walk,11,10,Friday,30/03/2018 10:07,20
Excise Walk,9,11,Friday,30/03/2018 11:02,20
Excise Walk,8,12,Friday,30/03/2018 12:05,20
Excise Walk,10,13,Friday,30/03/2018 13:02,20
Excise Walk,11,14,Friday,30/03/2018 14:00,20
Excise Walk,12,15,Friday,30/03/2018 15:03,0
Excise Walk,15,16,Friday,30/03/2018 16:00,0
Excise Walk,17,17,Friday,30/03/2018 17:05,20
Excise Walk,19,18,Friday,30/03/2018 18:02,0
Excise Walk,15,19,Friday,30/03/2018 19:00,0
Excise Walk,14,20,Friday,30/03/2018 20:04,0
Excise Walk,10,21,Friday,30/03/2018 21:09,0
Excise Walk,12,22,Friday,30/03/2018 22:05,0
Excise Walk,11,23,Friday,30/03/2018 23:05,0
Excise Walk,9,6,Saturday,31/03/2018 06:02,0
Excise Walk,9,7,Saturday,31/03/2018 07:01,0
Excise Walk,9,8,Saturday,31/03/2018 08:06,0
Excise Walk,9,9,Saturday,31/03/2018 09:07,0
Excise Walk,11,10,Saturday,31/03/2018 10:01,0
Excise Walk,15,11,Saturday,31/03/2018 11:06,0
Excise Walk,17,12,Saturday,31/03/2018 12:06,0
Excise Walk,6,13,Saturday,31/03/2018 13:05,0
Excise Walk,2,14,Saturday,31/03/2018 14:03,0
Excise Walk,13,15,Saturday,31/03/2018 15:03,0
Excise Walk,14,16,Saturday,31/03/2018 16:05,0
Excise Walk,16,17,Saturday,31/03/2018 17:00,0
Excise Walk,18,18,Saturday,31/03/2018 18:05,0
Excise Walk,19,19,Saturday,31/03/2018 19:08,0
Excise Walk,19,20,Saturday,31/03/2018 20:02,0
Excise Walk,19,21,Saturday,31/03/2018 21:03,0
Excise Walk,18,22,Saturday,31/03/2018 22:00,0
Excise Walk,18,23,Saturday,31/03/2018 23:01,0
Excise Walk,15,6,Sunday,01/04/2018 06:03,30
Excise Walk,14,7,Sunday,01/04/2018 07:04,30
Excise Walk,15,8,Sunday,01/04/2018 08:05,0
Excise Walk,16,9,Sunday,01/04/2018 09:00,0
Excise Walk,15,10,Sunday,01/04/2018 10:04,0
