address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Fenian Street,2,6,Thursday,29/03/2018 06:09,0
Fenian Street,7,7,Thursday,29/03/2018 07:05,0
Fenian Street,32,8,Thursday,29/03/2018 08:00,0
Fenian Street,35,9,Thursday,29/03/2018 09:03,0
Fenian Street,28,10,Thursday,29/03/2018 10:01,0
Fenian Street,32,11,Thursday,29/03/2018 11:01,10
Fenian Street,34,12,Thursday,29/03/2018 12:05,30
Fenian Street,35,13,Thursday,29/03/2018 13:04,30
Fenian Street,30,14,Thursday,29/03/2018 14:07,45
Fenian Street,31,15,Thursday,29/03/2018 15:01,40
Fenian Street,30,16,Thursday,29/03/2018 16:01,30
Fenian Street,20,17,Thursday,29/03/2018 17:01,30
Fenian Street,17,18,Thursday,29/03/2018 18:01,30
Fenian Street,16,19,Thursday,29/03/2018 19:06,40
Fenian Street,17,20,Thursday,29/03/2018 20:05,30
Fenian Street,19,21,Thursday,29/03/2018 21:05,25
Fenian Street,19,22,Thursday,29/03/2018 22:00,30
Fenian Street,17,23,Thursday,29/03/2018 23:05,40
Fenian Street,21,6,Friday,30/03/2018 06:05,0
Fenian Street,27,7,Friday,30/03/2018 07:01,0
Fenian Street,31,8,Friday,30/03/2018 08:06,0
Fenian Street,31,9,Friday,30/03/2018 09:02,0
Fenian Street,31,10,Friday,30/03/2018 10:10,20
Fenian Street,32,11,Friday,30/03/2018 11:00,20
Fenian Street,32,12,Friday,30/03/2018 12:04,20
Fenian Street,33,13,Friday,30/03/2018 13:04,20
Fenian Street,33,14,Friday,30/03/2018 14:00,20
Fenian Street,29,15,Friday,30/03/2018 15:03,0
Fenian Street,20,16,Friday,30/03/2018 16:03,0
Fenian Street,20,17,Friday,30/03/2018 17:04,20
Fenian Street,19,18,Friday,30/03/2018 18:03,0
Fenian Street,19,19,Friday,30/03/2018 19:03,0
Fenian Street,18,20,Friday,30/03/2018 20:00,0
Fenian Street,18,21,Friday,30/03/2018 21:07,0
Fenian Street,19,22,Friday,30/03/2018 22:06,0
Fenian Street,20,23,Friday,30/03/2018 23:05,0
Fenian Street,21,6,Saturday,31/03/2018 06:02,0
Fenian Street,21,7,Saturday,31/03/2018 07:01,0
Fenian Street,21,8,Saturday,31/03/2018 08:03,0
Fenian Street,20,9,Saturday,31/03/2018 09:09,0
Fenian Street,19,10,Saturday,31/03/2018 10:03,0
Fenian Street,18,11,Saturday,31/03/2018 11:09,0
