address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Fownes Street Upper,8,6,Thursday,29/03/2018 06:07,0
Fownes Street Upper,5,7,Thursday,29/03/2018 07:05,0
Fownes Street Upper,15,8,Thursday,29/03/2018 08:00,0
Fownes Street Upper,27,9,Thursday,29/03/2018 09:09,0
Fownes Street Upper,28,10,Thursday,29/03/2018 10:07,0
Fownes Street Upper,29,11,Thursday,29/03/2018 11:01,10
Fownes Street Upper,29,12,Thursday,29/03/2018 12:00,30
Fownes Street Upper,16,13,Thursday,29/03/2018 13:00,30
Fownes Street Upper,20,14,Thursday,29/03/2018 14:04,45
Fownes Street Upper,24,15,Thursday,29/03/2018 15:06,40
Fownes Street Upper,21,16,Thursday,29/03/2018 16:02,30
Fownes Street Upper,25,17,Thursday,29/03/2018 17:11,30
Fownes Street Upper,29,18,Thursday,29/03/2018 18:05,30
Fownes Street Upper,30,19,Thursday,29/03/2018 19:13,40
Fownes Street Upper,28,20,Thursday,29/03/2018 20:03,30
Fownes Street Upper,21,21,Thursday,29/03/2018 21:02,25
Fownes Street Upper,10,22,Thursday,29/03/2018 22:02,30
Fownes Street Upper,8,23,Thursday,29/03/2018 23:09,40
Fownes Street Upper,4,6,Friday,30/03/2018 06:11,0
Fownes Street Upper,5,7,Friday,30/03/2018 07:05,0
Fownes Street Upper,7,8,Friday,30/03/2018 08:03,0
Fownes Street Upper,13,9,Friday,30/03/2018 09:00,0
Fownes Street Upper,21,10,Friday,30/03/2018 10:09,20
Fownes Street Upper,28,11,Friday,30/03/2018 11:00,20
Fownes Street Upper,22,12,Friday,30/03/2018 12:03,20
Fownes Street Upper,29,13,Friday,30/03/2018 13:01,20
Fownes Street Upper,21,14,Friday,30/03/2018 14:03,20
Fownes Street Upper,17,15,Friday,30/03/2018 15:02,0
Fownes Street Upper,25,16,Friday,30/03/2018 16:02,0
Fownes Street Upper,19,17,Friday,30/03/2018 17:02,20
Fownes Street Upper,25,18,Friday,30/03/2018 18:04,0
Fownes Street Upper,28,19,Friday,30/03/2018 19:05,0
Fownes Street Upper,25,20,Friday,30/03/2018 20:01,0
Fownes Street Upper,28,21,Friday,30/03/2018 21:05,0
Fownes Street Upper,29,22,Friday,30/03/2018 22:00,0
Fownes Street Upper,23,23,Friday,30/03/2018 23:08,0
Fownes Street Upper,6,6,Saturday,31/03/2018 06:02,0
Fownes Street Upper,10,7,Saturday,31/03/2018 07:08,0
Fownes Street Upper,18,8,Saturday,31/03/2018 08:08,0
Fownes Street Upper,16,9,Saturday,31/03/2018 09:04,0
Fownes Street Upper,25,10,Saturday,31/03/2018 10:09,0
Fownes Street Upper,30,11,Saturday,31/03/2018 11:07,0
Fownes Street Upper,26,12,Saturday,31/03/2018 12:04,0
Fownes Street Upper,29,13,Saturday,31/03/2018 13:00,0
Fownes Street Upper,30,14,Saturday,31/03/2018 14:01,0
Fownes Street Upper,30,15,Saturday,31/03/2018 15:00,0
Fownes Street Upper,30,16,Saturday,31/03/2018 16:06,0
Fownes Street Upper,30,17,Saturday,31/03/2018 17:06,0
Fownes Street Upper,30,18,Saturday,31/03/2018 18:03,0
Fownes Street Upper,30,19,Saturday,31/03/2018 19:02,0
Fownes Street Upper,30,20,Saturday,31/03/2018 20:00,0
Fownes Street Upper,25,21,Saturday,31/03/2018 21:00,0
Fownes Street Upper,23,22,Saturday,31/03/2018 22:00,0
Fownes Street Upper,18,23,Saturday,31/03/2018 23:00,0
Fownes Street Upper,25,6,Sunday,01/04/2018 06:07,30
Fownes Street Upper,29,7,Sunday,01/04/2018 07:02,30
Fownes Street Upper,30,8,Sunday,01/04/2018 08:02,0
Fownes Street Upper,19,9,Sunday,01/04/2018 09:08,0
Fownes Street Upper,23,10,Sunday,01/04/2018 10:07,0
Fownes Street Upper,30,11,Sunday,01/04/2018 11:04,0
Fownes Street Upper,29,12,Sunday,01/04/2018 12:01,0
Fownes Street Upper,29,13,Sunday,01/04/2018 13:10,0
Fownes Street Upper,30,14,Sunday,01/04/2018 14:01,0
Fownes Street Upper,30,15,Sunday,01/04/2018 15:00,0
Fownes Street Upper,29,16,Sunday,01/04/2018 16:01,0
Fownes Street Upper,29,17,Sunday,01/04/2018 17:10,0
Fownes Street Upper,29,18,Sunday,01/04/2018 18:02,0
Fownes Street Upper,28,19,Sunday,01/04/2018 19:03,0
Fownes Street Upper,28,20,Sunday,01/04/2018 20:01,45
Fownes Street Upper,28,21,Sunday,01/04/2018 21:03,50
Fownes Street Upper,28,22,Sunday,01/04/2018 22:00,50
Fownes Street Upper,27,23,Sunday,01/04/2018 23:03,60
Fownes Street Upper,30,6,Monday,02/04/2018 06:01,70
Fownes Street Upper,22,7,Monday,02/04/2018 07:00,70
Fownes Street Upper,14,8,Monday,02/04/2018 08:01,60
Fownes Street Upper,17,9,Monday,02/04/2018 09:02,70
Fownes Street Upper,21,10,Monday,02/04/2018 10:04,65
Fownes Street Upper,24,11,Monday,02/04/2018 11:09,70
Fownes Street Upper,29,12,Monday,02/04/2018 12:02,70
Fownes Street Upper,15,13,Monday,02/04/2018 13:05,70
Fownes Street Upper,9,14,Monday,02/04/2018 14:04,60
Fownes Street Upper,11,15,Monday,02/04/2018 15:03,60
Fownes Street Upper,17,16,Monday,02/04/2018 16:02,60
Fownes Street Upper,19,17,Monday,02/04/2018 17:08,50
Fownes Street Upper,17,18,Monday,02/04/2018 18:00,40
Fownes Street Upper,17,19,Monday,02/04/2018 19:08,0
Fownes Street Upper,17,20,Monday,02/04/2018 20:01,0
Fownes Street Upper,20,21,Monday,02/04/2018 21:02,40
Fownes Street Upper,19,22,Monday,02/04/2018 22:01,50
Fownes Street Upper,18,23,Monday,02/04/2018 23:06,60
Fownes Street Upper,16,6,Tuesday,03/04/2018 06:03,0
Fownes Street Upper,11,7,Tuesday,03/04/2018 07:01,20
Fownes Street Upper,17,8,Tuesday,03/04/2018 08:05,20
Fownes Street Upper,19,9,Tuesday,03/04/2018 09:01,0
Fownes Street Upper,19,10,Tuesday,03/04/2018 10:09,0
Fownes Street Upper,27,11,Tuesday,03/04/2018 11:03,0
Fownes Street Upper,29,12,Tuesday,03/04/2018 12:07,30
Fownes Street Upper,8,13,Tuesday,03/04/2018 13:04,40
Fownes Street Upper,9,14,Tuesday,03/04/2018 14:01,20
Fownes Street Upper,12,15,Tuesday,03/04/2018 15:04,20
Fownes Street Upper,13,16,Tuesday,03/04/2018 16:04,30
Fownes Street Upper,14,17,Tuesday,03/04/2018 17:00,0
