address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Francis Street,16,6,Thursday,29/03/2018 06:02,0
Francis Street,6,7,Thursday,29/03/2018 07:04,0
Francis Street,2,8,Thursday,29/03/2018 08:09,0
Francis Street,0,9,Thursday,29/03/2018 09:02,0
Francis Street,0,10,Thursday,29/03/2018 10:05,0
Francis Street,0,11,Thursday,29/03/2018 11:08,10
Francis Street,3,12,Thursday,29/03/2018 12:01,30
Francis Street,12,13,Thursday,29/03/2018 13:01,30
Francis Street,16,14,Thursday,29/03/2018 14:04,45
Francis Street,12,15,Thursday,29/03/2018 15:02,40
Francis Street,8,16,Thursday,29/03/2018 16:08,30
Francis Street,9,17,Thursday,29/03/2018 17:06,30
Francis Street,11,18,Thursday,29/03/2018 18:04,30
Francis Street,15,19,Thursday,29/03/2018 19:06,40
Francis Street,14,20,Thursday,29/03/2018 20:02,30
Francis Street,14,21,Thursday,29/03/2018 21:00,25
Francis Street,18,22,Thursday,29/03/2018 22:07,30
Francis Street,20,23,Thursday,29/03/2018 23:04,40
Francis Street,13,6,Friday,30/03/2018 06:00,0
Francis Street,9,7,Friday,30/03/2018 07:00,0
Francis Street,3,8,Friday,30/03/2018 08:04,0
Francis Street,2,9,Friday,30/03/2018 09:08,0
Francis Street,0,10,Friday,30/03/2018 10:06,20
Francis Street,0,11,Friday,30/03/2018 11:07,20
Francis Street,1,12,Friday,30/03/2018 12:02,20
Francis Street,2,13,Friday,30/03/2018 13:05,20
Francis Street,9,14,Friday,30/03/2018 14:12,20
Francis Street,20,15,Friday,30/03/2018 15:06,0
Francis Street,21,16,Friday,30/03/2018 16:05,0
Francis Street,24,17,Friday,30/03/2018 17:03,20
Francis Street,27,18,Friday,30/03/2018 18:03,0
Francis Street,28,19,Friday,30/03/2018 19:04,0
Francis Street,29,20,Friday,30/03/2018 20:03,0
Francis Street,28,21,Friday,30/03/2018 21:06,0
Francis Street,29,22,Friday,30/03/2018 22:06,0
Francis Street,30,23,Friday,30/03/2018 23:07,0
Francis Street,29,6,Saturday,31/03/2018 06:03,0
Francis Street,29,7,Saturday,31/03/2018 07:02,0
Francis Street,26,8,Saturday,31/03/2018 08:01,0
Francis Street,24,9,Saturday,31/03/2018 09:08,0
Francis Street,23,10,Saturday,31/03/2018 10:01,0
Francis Street,21,11,Saturday,31/03/2018 11:03,0
Francis Street,20,12,Saturday,31/03/2018 12:03,0
Francis Street,19,13,Saturday,31/03/2018 13:05,0
Francis Street,15,14,Saturday,31/03/2018 14:05,0
Francis Street,13,15,Saturday,31/03/2018 15:05,0
Francis Street,11,16,Saturday,31/03/2018 16:00,0
Francis Street,14,17,Saturday,31/03/2018 17:03,0
Francis Street,16,18,Saturday,31/03/2018 18:02,0
Francis Street,14,19,Saturday,31/03/2018 19:10,0
Francis Street,19,20,Saturday,31/03/2018 20:04,0
Francis Street,21,21,Saturday,31/03/2018 21:07,0
Francis Street,22,22,Saturday,31/03/2018 22:01,0
Francis Street,21,23,Saturday,31/03/2018 23:07,0
Francis Street,19,6,Sunday,01/04/2018 06:01,30
Francis Street,18,7,Sunday,01/04/2018 07:04,30
Francis Street,16,8,Sunday,01/04/2018 08:08,0
Francis Street,15,9,Sunday,01/04/2018 09:10,0
Francis Street,14,10,Sunday,01/04/2018 10:03,0
Francis Street,14,11,Sunday,01/04/2018 11:07,0
Francis Street,14,12,Sunday,01/04/2018 12:01,0
Francis Street,12,13,Sunday,01/04/2018 13:05,0
Francis Street,12,14,Sunday,01/04/2018 14:05,0
Francis Street,11,15,Sunday,01/04/2018 15:02,0
Francis Street,13,16,Sunday,01/04/2018 16:03,0
Francis Street,16,17,Sunday,01/04/2018 17:06,0
Francis Street,21,18,Sunday,01/04/2018 18:00,0
Francis Street,23,19,Sunday,01/04/2018 19:04,0
Francis Street,24,20,Sunday,01/04/2018 20:08,45
Francis Street,23,21,Sunday,01/04/2018 21:00,50
Francis Street,25,22,Sunday,01/04/2018 22:06,50
Francis Street,25,23,Sunday,01/04/2018 23:04,60
Francis Street,25,6,Monday,02/04/2018 06:08,70
Francis Street,25,7,Monday,02/04/2018 07:09,70
Francis Street,25,8,Monday,02/04/2018 08:09,60
Francis Street,25,9,Monday,02/04/2018 09:10,70
Francis Street,24,10,Monday,02/04/2018 10:09,65
Francis Street,23,11,Monday,02/04/2018 11:02,70
Francis Street,22,12,Monday,02/04/2018 12:04,70
Francis Street,21,13,Monday,02/04/2018 13:02,70
Francis Street,20,14,Monday,02/04/2018 14:02,60
Francis Street,20,15,Monday,02/04/2018 15:09,60
Francis Street,20,16,Monday,02/04/2018 16:09,60
Francis Street,19,17,Monday,02/04/2018 17:08,50
Francis Street,19,18,Monday,02/04/2018 18:08,40
Francis Street,21,19,Monday,02/04/2018 19:04,0
Francis Street,23,20,Monday,02/04/2018 20:04,0
Francis Street,24,21,Monday,02/04/2018 21:07,40
Francis Street,25,22,Monday,02/04/2018 22:08,50
Francis Street,26,23,Monday,02/04/2018 23:07,60
Francis Street,12,6,Tuesday,03/04/2018 06:06,0
Francis Street,3,7,Tuesday,03/04/2018 07:07,20
Francis Street,2,8,Tuesday,03/04/2018 08:05,20
Francis Street,0,9,Tuesday,03/04/2018 09:03,0
Francis Street,1,10,Tuesday,03/04/2018 10:00,0
