address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Grattan Street,9,6,Thursday,29/03/2018 06:02,0
Grattan Street,20,7,Thursday,29/03/2018 07:05,0
Grattan Street,21,8,Thursday,29/03/2018 08:05,0
Grattan Street,21,9,Thursday,29/03/2018 09:07,0
Grattan Street,21,10,Thursday,29/03/2018 10:07,0
Grattan Street,21,11,Thursday,29/03/2018 11:04,10
Grattan Street,20,12,Thursday,29/03/2018 12:04,30
Grattan Street,18,13,Thursday,29/03/2018 13:01,30
Grattan Street,19,14,Thursday,29/03/2018 14:00,45
Grattan Street,12,15,Thursday,29/03/2018 15:02,40
Grattan Street,8,16,Thursday,29/03/2018 16:01,30
Grattan Street,9,17,Thursday,29/03/2018 17:02,30
Grattan Street,6,18,Thursday,29/03/2018 18:03,30
Grattan Street,4,19,Thursday,29/03/2018 19:08,40
Grattan Street,4,20,Thursday,29/03/2018 20:01,30
Grattan Street,4,21,Thursday,29/03/2018 21:02,25
Grattan Street,5,22,Thursday,29/03/2018 22:08,30
Grattan Street,5,23,Thursday,29/03/2018 23:09,40
Grattan Street,7,6,Friday,30/03/2018 06:08,0
Grattan Street,5,7,Friday,30/03/2018 07:02,0
Grattan Street,4,8,Friday,30/03/2018 08:08,0
Grattan Street,5,9,Friday,30/03/2018 09:09,0
Grattan Street,6,10,Friday,30/03/2018 10:05,20
Grattan Street,5,11,Friday,30/03/2018 11:00,20
Grattan Street,3,12,Friday,30/03/2018 12:01,20
Grattan Street,1,13,Friday,30/03/2018 13:05,20
Grattan Street,2,14,Friday,30/03/2018 14:03,20
Grattan Street,2,15,Friday,30/03/2018 15:04,0
Grattan Street,3,16,Friday,30/03/2018 16:08,0
Grattan Street,2,17,Friday,30/03/2018 17:01,20
Grattan Street,0,18,Friday,30/03/2018 18:05,0
Grattan Street,1,19,Friday,30/03/2018 19:07,0
Grattan Street,2,20,Friday,30/03/2018 20:07,0
Grattan Street,2,21,Friday,30/03/2018 21:08,0
Grattan Street,2,22,Friday,30/03/2018 22:08,0
Grattan Street,3,23,Friday,30/03/2018 23:00,0
Grattan Street,3,6,Saturday,31/03/2018 06:02,0
Grattan Street,3,7,Saturday,31/03/2018 07:03,0
Grattan Street,4,8,Saturday,31/03/2018 08:04,0
Grattan Street,3,9,Saturday,31/03/2018 09:05,0
Grattan Street,1,10,Saturday,31/03/2018 10:01,0
Grattan Street,3,11,Saturday,31/03/2018 11:08,0
Grattan Street,1,12,Saturday,31/03/2018 12:04,0
Grattan Street,2,13,Saturday,31/03/2018 13:03,0
Grattan Street,2,14,Saturday,31/03/2018 14:08,0
Grattan Street,0,15,Saturday,31/03/2018 15:09,0
Grattan Street,2,16,Saturday,31/03/2018 16:04,0
Grattan Street,2,17,Saturday,31/03/2018 17:08,0
Grattan Street,3,18,Saturday,31/03/2018 18:09,0
Grattan Street,3,19,Saturday,31/03/2018 19:09,0
Grattan Street,3,20,Saturday,31/03/2018 20:00,0
Grattan Street,3,21,Saturday,31/03/2018 21:01,0
Grattan Street,3,22,Saturday,31/03/2018 22:02,0
Grattan Street,3,23,Saturday,31/03/2018 23:03,0
Grattan Street,3,6,Sunday,01/04/2018 06:02,30
Grattan Street,3,7,Sunday,01/04/2018 07:03,30
Grattan Street,2,8,Sunday,01/04/2018 08:05,0
Grattan Street,1,9,Sunday,01/04/2018 09:06,0
Grattan Street,1,10,Sunday,01/04/2018 10:06,0
Grattan Street,2,11,Sunday,01/04/2018 11:06,0
Grattan Street,4,12,Sunday,01/04/2018 12:05,0
Grattan Street,8,13,Sunday,01/04/2018 13:03,0
Grattan Street,17,14,Sunday,01/04/2018 14:01,0
Grattan Street,20,15,Sunday,01/04/2018 15:07,0
Grattan Street,18,16,Sunday,01/04/2018 16:01,0
Grattan Street,16,17,Sunday,01/04/2018 17:02,0
Grattan Street,17,18,Sunday,01/04/2018 18:05,0
Grattan Street,19,19,Sunday,01/04/2018 19:09,0
Grattan Street,20,20,Sunday,01/04/2018 20:08,45
Grattan Street,20,21,Sunday,01/04/2018 21:09,50
