address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Greek Street,4,6,Thursday,29/03/2018 06:00,0
Greek Street,4,7,Thursday,29/03/2018 07:04,0
Greek Street,2,8,Thursday,29/03/2018 08:04,0
Greek Street,2,9,Thursday,29/03/2018 09:04,0
Greek Street,2,10,Thursday,29/03/2018 10:07,0
Greek Street,1,11,Thursday,29/03/2018 11:06,10
Greek Street,1,12,Thursday,29/03/2018 12:05,30
Greek Street,3,13,Thursday,29/03/2018 13:10,30
Greek Street,5,14,Thursday,29/03/2018 14:10,45
Greek Street,2,15,Thursday,29/03/2018 15:01,40
Greek Street,0,16,Thursday,29/03/2018 16:05,30
Greek Street,1,17,Thursday,29/03/2018 17:06,30
Greek Street,0,18,Thursday,29/03/2018 18:05,30
Greek Street,2,19,Thursday,29/03/2018 19:03,40
Greek Street,3,20,Thursday,29/03/2018 20:04,30
Greek Street,3,21,Thursday,29/03/2018 21:05,25
Greek Street,3,22,Thursday,29/03/2018 22:06,30
Greek Street,1,23,Thursday,29/03/2018 23:04,40
Greek Street,0,6,Friday,30/03/2018 06:05,0
Greek Street,0,7,Friday,30/03/2018 07:05,0
Greek Street,0,8,Friday,30/03/2018 08:01,0
Greek Street,1,9,Friday,30/03/2018 09:03,0
Greek Street,2,10,Friday,30/03/2018 10:00,20
Greek Street,3,11,Friday,30/03/2018 11:09,20
Greek Street,1,12,Friday,30/03/2018 12:06,20
Greek Street,3,13,Friday,30/03/2018 13:08,20
Greek Street,4,14,Friday,30/03/2018 14:07,20
Greek Street,5,15,Friday,30/03/2018 15:04,0
Greek Street,4,16,Friday,30/03/2018 16:08,0
Greek Street,2,17,Friday,30/03/2018 17:06,20
Greek Street,1,18,Friday,30/03/2018 18:04,0
Greek Street,0,19,Friday,30/03/2018 19:01,0
Greek Street,0,20,Friday,30/03/2018 20:02,0
Greek Street,1,21,Friday,30/03/2018 21:09,0
Greek Street,1,22,Friday,30/03/2018 22:07,0
Greek Street,0,23,Friday,30/03/2018 23:07,0
Greek Street,0,6,Saturday,31/03/2018 06:02,0
Greek Street,0,7,Saturday,31/03/2018 07:03,0
Greek Street,0,8,Saturday,31/03/2018 08:03,0
Greek Street,0,9,Saturday,31/03/2018 09:03,0
Greek Street,0,10,Saturday,31/03/2018 10:04,0
Greek Street,0,11,Saturday,31/03/2018 11:07,0
Greek Street,1,12,Saturday,31/03/2018 12:00,0
Greek Street,0,13,Saturday,31/03/2018 13:04,0
Greek Street,0,14,Saturday,31/03/2018 14:06,0
Greek Street,1,15,Saturday,31/03/2018 15:05,0
Greek Street,4,16,Saturday,31/03/2018 16:03,0
Greek Street,10,17,Saturday,31/03/2018 17:05,0
Greek Street,16,18,Saturday,31/03/2018 18:01,0
Greek Street,15,19,Saturday,31/03/2018 19:10,0
Greek Street,15,20,Saturday,31/03/2018 20:01,0
Greek Street,14,21,Saturday,31/03/2018 21:00,0
Greek Street,14,22,Saturday,31/03/2018 22:11,0
Greek Street,13,23,Saturday,31/03/2018 23:01,0
Greek Street,13,6,Sunday,01/04/2018 06:02,30
Greek Street,12,7,Sunday,01/04/2018 07:05,30
Greek Street,12,8,Sunday,01/04/2018 08:06,0
Greek Street,13,9,Sunday,01/04/2018 09:01,0
Greek Street,15,10,Sunday,01/04/2018 10:04,0
Greek Street,13,11,Sunday,01/04/2018 11:07,0
Greek Street,12,12,Sunday,01/04/2018 12:08,0
Greek Street,9,13,Sunday,01/04/2018 13:04,0
Greek Street,9,14,Sunday,01/04/2018 14:01,0
Greek Street,7,15,Sunday,01/04/2018 15:03,0
Greek Street,6,16,Sunday,01/04/2018 16:08,0
Greek Street,6,17,Sunday,01/04/2018 17:01,0
Greek Street,7,18,Sunday,01/04/2018 18:04,0
Greek Street,7,19,Sunday,01/04/2018 19:00,0
Greek Street,4,20,Sunday,01/04/2018 20:03,45
Greek Street,6,21,Sunday,01/04/2018 21:05,50
Greek Street,7,22,Sunday,01/04/2018 22:03,50
Greek Street,6,23,Sunday,01/04/2018 23:04,60
Greek Street,4,6,Monday,02/04/2018 06:07,70
Greek Street,3,7,Monday,02/04/2018 07:09,70
Greek Street,3,8,Monday,02/04/2018 08:00,60
Greek Street,3,9,Monday,02/04/2018 09:01,70
Greek Street,3,10,Monday,02/04/2018 10:06,65
Greek Street,2,11,Monday,02/04/2018 11:05,70
Greek Street,1,12,Monday,02/04/2018 12:02,70
Greek Street,0,13,Monday,02/04/2018 13:05,70
Greek Street,2,14,Monday,02/04/2018 14:01,60
Greek Street,2,15,Monday,02/04/2018 15:08,60
Greek Street,1,16,Monday,02/04/2018 16:08,60
Greek Street,1,17,Monday,02/04/2018 17:09,50
Greek Street,0,18,Monday,02/04/2018 18:00,40
Greek Street,1,19,Monday,02/04/2018 19:08,0
Greek Street,1,20,Monday,02/04/2018 20:04,0
Greek Street,2,21,Monday,02/04/2018 21:05,40
Greek Street,3,22,Monday,02/04/2018 22:04,50
Greek Street,3,23,Monday,02/04/2018 23:04,60
Greek Street,1,6,Tuesday,03/04/2018 06:02,0
Greek Street,2,7,Tuesday,03/04/2018 07:06,20
Greek Street,8,8,Tuesday,03/04/2018 08:01,20
Greek Street,6,9,Tuesday,03/04/2018 09:02,0
Greek Street,2,10,Tuesday,03/04/2018 10:10,0
Greek Street,1,11,Tuesday,03/04/2018 11:04,0
Greek Street,1,12,Tuesday,03/04/2018 12:03,30
Greek Street,2,13,Tuesday,03/04/2018 13:04,40
Greek Street,1,14,Tuesday,03/04/2018 14:09,20
Greek Street,1,15,Tuesday,03/04/2018 15:03,20
Greek Street,1,16,Tuesday,03/04/2018 16:03,30
Greek Street,1,17,Tuesday,03/04/2018 17:06,0
Greek Street,6,18,Tuesday,03/04/2018 18:05,0
Greek Street,8,19,Tuesday,03/04/2018 19:00,0
Greek Street,7,20,Tuesday,03/04/2018 20:04,0
Greek Street,5,21,Tuesday,03/04/2018 21:06,0
Greek Street,6,22,Tuesday,03/04/2018 22:10,0
Greek Street,5,23,Tuesday,03/04/2018 23:09,0
Greek Street,3,6,Wednesday,04/04/2018 06:00,40
Greek Street,6,7,Wednesday,04/04/2018 07:02,40
Greek Street,11,8,Wednesday,04/04/2018 08:02,30
Greek Street,9,9,Wednesday,04/04/2018 09:10,40
Greek Street,9,10,Wednesday,04/04/2018 10:07,40
Greek Street,7,11,Wednesday,04/04/2018 11:05,20
Greek Street,7,12,Wednesday,04/04/2018 12:04,0
Greek Street,9,13,Wednesday,04/04/2018 13:00,10
Greek Street,7,14,Wednesday,04/04/2018 14:04,0
Greek Street,6,15,Wednesday,04/04/2018 15:03,20
Greek Street,5,16,Wednesday,04/04/2018 16:05,20
Greek Street,3,17,Wednesday,04/04/2018 17:00,40
Greek Street,0,18,Wednesday,04/04/2018 18:00,0
Greek Street,0,19,Wednesday,04/04/2018 19:07,0
Greek Street,0,20,Wednesday,04/04/2018 20:01,0
Greek Street,1,21,Wednesday,04/04/2018 21:02,40
Greek Street,1,22,Wednesday,04/04/2018 22:06,30
Greek Street,0,23,Wednesday,04/04/2018 23:02,30
