address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Hanover Quay,35,6,Thursday,29/03/2018 06:04,0
Hanover Quay,35,7,Thursday,29/03/2018 07:05,0
Hanover Quay,36,8,Thursday,29/03/2018 08:00,0
Hanover Quay,24,9,Thursday,29/03/2018 09:04,0
Hanover Quay,21,10,Thursday,29/03/2018 10:05,0
Hanover Quay,29,11,Thursday,29/03/2018 11:00,10
Hanover Quay,29,12,Thursday,29/03/2018 12:00,30
Hanover Quay,31,13,Thursday,29/03/2018 13:01,30
Hanover Quay,27,14,Thursday,29/03/2018 14:06,45
Hanover Quay,6,15,Thursday,29/03/2018 15:02,40
Hanover Quay,0,16,Thursday,29/03/2018 16:02,30
Hanover Quay,1,17,Thursday,29/03/2018 17:01,30
Hanover Quay,5,18,Thursday,29/03/2018 18:03,30
Hanover Quay,2,19,Thursday,29/03/2018 19:04,40
Hanover Quay,5,20,Thursday,29/03/2018 20:03,30
Hanover Quay,11,21,Thursday,29/03/2018 21:09,25
Hanover Quay,11,22,Thursday,29/03/2018 22:02,30
Hanover Quay,7,23,Thursday,29/03/2018 23:02,40
Hanover Quay,28,6,Friday,30/03/2018 06:04,0
Hanover Quay,23,7,Friday,30/03/2018 07:11,0
Hanover Quay,10,8,Friday,30/03/2018 08:05,0
Hanover Quay,13,9,Friday,30/03/2018 09:02,0
Hanover Quay,13,10,Friday,30/03/2018 10:02,20
Hanover Quay,14,11,Friday,30/03/2018 11:02,20
Hanover Quay,10,12,Friday,30/03/2018 12:01,20
Hanover Quay,6,13,Friday,30/03/2018 13:03,20
Hanover Quay,14,14,Friday,30/03/2018 14:01,20
Hanover Quay,8,15,Friday,30/03/2018 15:02,0
Hanover Quay,14,16,Friday,30/03/2018 16:03,0
Hanover Quay,13,17,Friday,30/03/2018 17:03,20
Hanover Quay,12,18,Friday,30/03/2018 18:09,0
Hanover Quay,13,19,Friday,30/03/2018 19:08,0
Hanover Quay,11,20,Friday,30/03/2018 20:09,0
Hanover Quay,9,21,Friday,30/03/2018 21:09,0
Hanover Quay,10,22,Friday,30/03/2018 22:09,0
Hanover Quay,12,23,Friday,30/03/2018 23:06,0
Hanover Quay,23,6,Saturday,31/03/2018 06:02,0
Hanover Quay,20,7,Saturday,31/03/2018 07:08,0
Hanover Quay,17,8,Saturday,31/03/2018 08:06,0
Hanover Quay,21,9,Saturday,31/03/2018 09:04,0
Hanover Quay,25,10,Saturday,31/03/2018 10:04,0
Hanover Quay,17,11,Saturday,31/03/2018 11:03,0
Hanover Quay,7,12,Saturday,31/03/2018 12:02,0
Hanover Quay,1,13,Saturday,31/03/2018 13:06,0
Hanover Quay,0,14,Saturday,31/03/2018 14:00,0
Hanover Quay,2,15,Saturday,31/03/2018 15:05,0
Hanover Quay,1,16,Saturday,31/03/2018 16:04,0
Hanover Quay,2,17,Saturday,31/03/2018 17:01,0
Hanover Quay,1,18,Saturday,31/03/2018 18:04,0
Hanover Quay,2,19,Saturday,31/03/2018 19:06,0
Hanover Quay,2,20,Saturday,31/03/2018 20:03,0
Hanover Quay,1,21,Saturday,31/03/2018 21:06,0
Hanover Quay,1,22,Saturday,31/03/2018 22:07,0
