address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
John Street West,8,6,Thursday,29/03/2018 06:03,0
John Street West,1,7,Thursday,29/03/2018 07:09,0
John Street West,2,8,Thursday,29/03/2018 08:00,0
John Street West,1,9,Thursday,29/03/2018 09:04,0
John Street West,1,10,Thursday,29/03/2018 10:01,0
John Street West,0,11,Thursday,29/03/2018 11:09,10
John Street West,4,12,Thursday,29/03/2018 12:00,30
John Street West,5,13,Thursday,29/03/2018 13:00,30
John Street West,4,14,Thursday,29/03/2018 14:01,45
John Street West,5,15,Thursday,29/03/2018 15:01,40
John Street West,13,16,Thursday,29/03/2018 16:10,30
John Street West,12,17,Thursday,29/03/2018 17:05,30
John Street West,16,18,Thursday,29/03/2018 18:02,30
John Street West,20,19,Thursday,29/03/2018 19:01,40
John Street West,24,20,Thursday,29/03/2018 20:05,30
John Street West,25,21,Thursday,29/03/2018 21:07,25
John Street West,25,22,Thursday,29/03/2018 22:10,30
John Street West,24,23,Thursday,29/03/2018 23:05,40
John Street West,20,6,Friday,30/03/2018 06:06,0
John Street West,18,7,Friday,30/03/2018 07:01,0
John Street West,18,8,Friday,30/03/2018 08:00,0
John Street West,19,9,Friday,30/03/2018 09:04,0
John Street West,17,10,Friday,30/03/2018 10:07,20
John Street West,13,11,Friday,30/03/2018 11:05,20
John Street West,13,12,Friday,30/03/2018 12:13,20
John Street West,11,13,Friday,30/03/2018 13:01,20
John Street West,11,14,Friday,30/03/2018 14:01,20
John Street West,10,15,Friday,30/03/2018 15:04,0
John Street West,10,16,Friday,30/03/2018 16:03,0
John Street West,7,17,Friday,30/03/2018 17:09,20
John Street West,8,18,Friday,30/03/2018 18:09,0
John Street West,11,19,Friday,30/03/2018 19:05,0
John Street West,11,20,Friday,30/03/2018 20:05,0
John Street West,11,21,Friday,30/03/2018 21:06,0
John Street West,11,22,Friday,30/03/2018 22:01,0
John Street West,14,23,Friday,30/03/2018 23:00,0
John Street West,13,6,Saturday,31/03/2018 06:11,0
John Street West,14,7,Saturday,31/03/2018 07:01,0
John Street West,12,8,Saturday,31/03/2018 08:08,0
John Street West,11,9,Saturday,31/03/2018 09:03,0
John Street West,9,10,Saturday,31/03/2018 10:02,0
John Street West,9,11,Saturday,31/03/2018 11:01,0
John Street West,14,12,Saturday,31/03/2018 12:03,0
John Street West,12,13,Saturday,31/03/2018 13:05,0
John Street West,12,14,Saturday,31/03/2018 14:10,0
John Street West,15,15,Saturday,31/03/2018 15:07,0
John Street West,18,16,Saturday,31/03/2018 16:09,0
John Street West,18,17,Saturday,31/03/2018 17:06,0
John Street West,19,18,Saturday,31/03/2018 18:00,0
John Street West,20,19,Saturday,31/03/2018 19:02,0
John Street West,22,20,Saturday,31/03/2018 20:02,0
John Street West,22,21,Saturday,31/03/2018 21:08,0
John Street West,21,22,Saturday,31/03/2018 22:05,0
John Street West,22,23,Saturday,31/03/2018 23:06,0
John Street West,21,6,Sunday,01/04/2018 06:05,30
John Street West,20,7,Sunday,01/04/2018 07:07,30
John Street West,18,8,Sunday,01/04/2018 08:08,0
John Street West,16,9,Sunday,01/04/2018 09:08,0
John Street West,14,10,Sunday,01/04/2018 10:03,0
John Street West,11,11,Sunday,01/04/2018 11:09,0
John Street West,9,12,Sunday,01/04/2018 12:04,0
John Street West,10,13,Sunday,01/04/2018 13:00,0
John Street West,13,14,Sunday,01/04/2018 14:05,0
John Street West,13,15,Sunday,01/04/2018 15:01,0
John Street West,14,16,Sunday,01/04/2018 16:04,0
John Street West,8,17,Sunday,01/04/2018 17:05,0
John Street West,9,18,Sunday,01/04/2018 18:02,0
